"","species","season","median","mean","sum","min","max","pathogen"
"1","Acanthis flammea","breeding",3.08929482604441,2.81972799385068,3682.56475996899,0.435974013881181,4.15247685046507,"Borrelia"
"2","Accipiter badius","breeding",9.91066289759899,10.2807983751696,71.9655886261871,7.8695412124921,11.7021726472801,"Borrelia"
"3","Accipiter badius","non-breeding",9.93772269913669,10.0400142216685,120.480170660022,7.8695412124921,11.5388280332724,"Borrelia"
"4","Accipiter brevipes","breeding",13.1007043949979,12.9233550267324,4225.93709374149,6.80042662836908,16.2141298958198,"Borrelia"
"5","Accipiter gentilis","breeding",27.6988261793313,27.0070461153293,87286.7730447443,8.12921383588596,34.0316918715699,"Borrelia"
"6","Accipiter gentilis","non-breeding",27.7973374603849,27.1678415768064,111360.98262333,7.30267279304317,34.8248747026676,"Borrelia"
"7","Accipiter nisus","breeding",16.2352915842648,15.7363343796174,56918.3214510762,3.46466296562636,21.4441895446499,"Borrelia"
"8","Accipiter nisus","non-breeding",16.3420383271647,15.9447981407808,61228.0248605981,3.40701385041292,22.1602934507716,"Borrelia"
"9","Acridotheres cristatellus","breeding",17.0050954271503,17.0050954271503,34.0101908543005,16.8869019701694,17.1232888841311,"Borrelia"
"10","Acridotheres cristatellus","non-breeding",16.9739700400901,17.126774715108,85.6338735755399,16.8869019701694,17.7420584843351,"Borrelia"
"11","Acridotheres tristis","breeding",6.02231280560338,6.24811644129611,68.7292808542572,5.52002184868842,8.02280902766718,"Borrelia"
"12","Acridotheres tristis","non-breeding",3.77635700621677,3.69923952739571,14.7969581095828,2.94138377185339,4.30286032529593,"Borrelia"
"13","Acrocephalus agricola","breeding",6.13745956168682,6.22217195966103,1922.65113553526,4.62619428351158,7.85187647855061,"Borrelia"
"14","Acrocephalus arundinaceus","breeding",10.2307697301044,10.1740401121959,25974.324406436,3.61055609790108,14.2596441969274,"Borrelia"
"15","Acrocephalus dumetorum","breeding",5.80878302749054,5.83387316026225,8097.41594644401,0.954094356120388,8.09531861136641,"Borrelia"
"16","Acrocephalus dumetorum","non-breeding",6.05618708052828,6.13019659218398,10844.3177715735,2.1909465517709,8.60259432287707,"Borrelia"
"17","Acrocephalus melanopogon","breeding",6.05995780673286,6.07849777654502,1355.50500416954,2.33666599964914,7.84711398982281,"Borrelia"
"18","Acrocephalus melanopogon","non-breeding",5.82107102041428,5.794270137249,2323.50232503685,2.8849417508649,8.00806217164736,"Borrelia"
"19","Acrocephalus paludicola","breeding",6.21099671403416,6.25207403204724,312.603701602362,5.29882602145919,6.86628727823311,"Borrelia"
"20","Acrocephalus palustris","breeding",2.27012222452052,2.22449623443863,5407.75034592031,0.294814446939354,3.54895790899872,"Borrelia"
"21","Acrocephalus schoenobaenus","breeding",6.44507657041882,6.25548694628134,18328.5767526043,1.06239718213822,9.2303840872045,"Borrelia"
"22","Acrocephalus scirpaceus","breeding",6.52979028930335,6.44083379093295,15947.50446635,1.51711986915748,9.56087077885898,"Borrelia"
"23","Actitis hypoleucos","breeding",12.9113367888614,12.5003294144506,39513.5412790783,2.55375654805063,17.876494884882,"Borrelia"
"24","Actitis hypoleucos","non-breeding",12.4595649833167,12.702303787535,3175.57594688374,7.43660134175867,17.6236628353515,"Borrelia"
