"","species","season","median","mean","sum","min","max","pathogen"
"1","Acanthis flammea","breeding",14.7146587855669,13.6828270984017,17869.7721905126,3.49290727409703,19.1400726410606,"Campylobacter"
"2","Accipiter badius","breeding",14.5096203941956,14.1757993577273,99.230595504091,10.6959443638139,16.4714534969417,"Campylobacter"
"3","Accipiter badius","non-breeding",14.5135402540508,13.9917504554839,167.901005465806,10.6959443638139,15.915187379962,"Campylobacter"
"4","Accipiter brevipes","breeding",14.1412646459176,13.8792481133582,4538.51413306813,7.35611639699087,17.6767795542728,"Campylobacter"
"5","Accipiter gentilis","breeding",19.6562894347769,18.9124928453589,61125.1768762,5.34847905637379,23.5846382939867,"Campylobacter"
"6","Accipiter gentilis","non-breeding",19.8069047444018,19.1273812642376,78403.1358021098,4.79957131722871,24.1080836669555,"Campylobacter"
"7","Accipiter nisus","breeding",17.511338207951,16.8014844449211,60770.9692372796,4.23593474808965,22.1275856632933,"Campylobacter"
"8","Accipiter nisus","non-breeding",17.4076958081256,16.7481561697334,64312.9196917761,4.17846238570717,22.9700001348762,"Campylobacter"
"9","Acridotheres cristatellus","breeding",15.4767973863384,15.4767973863384,30.9535947726768,15.3887721981699,15.5648225745069,"Campylobacter"
"10","Acridotheres cristatellus","non-breeding",15.5006444737768,15.6220726912549,78.1103634562747,15.3887721981699,16.2093586976242,"Campylobacter"
"11","Acridotheres tristis","breeding",23.2063950229305,23.7953634421623,261.748997863785,22.0183004787828,27.5910315914327,"Campylobacter"
"12","Acridotheres tristis","non-breeding",16.9874841221902,16.7505356724992,67.002142689997,14.2487939560586,18.7783804895581,"Campylobacter"
"13","Acrocephalus agricola","breeding",14.3672668096132,14.5844290605669,4506.58857971518,11.5864697556574,17.3145135202007,"Campylobacter"
"14","Acrocephalus arundinaceus","breeding",13.6924058088807,13.4463914507328,34328.6373737209,5.41072651792311,18.2948654611661,"Campylobacter"
"15","Acrocephalus dumetorum","breeding",13.4864311835658,13.4527617885654,18672.4333625288,3.00656201323616,16.5669666101035,"Campylobacter"
"16","Acrocephalus dumetorum","non-breeding",13.445792986099,13.5491575178247,23968.4596490319,5.41718537582932,17.4816203618351,"Campylobacter"
"17","Acrocephalus melanopogon","breeding",13.74309838104,13.6769640582514,3049.96298499005,6.13253305569682,17.0647611905526,"Campylobacter"
"18","Acrocephalus melanopogon","non-breeding",12.7260979446741,12.6474267011109,5071.61810714549,7.37611931171353,16.0637797467957,"Campylobacter"
"19","Acrocephalus paludicola","breeding",12.9942938317736,13.0171554938817,650.857774694083,11.3690648174752,13.9753191527738,"Campylobacter"
"20","Acrocephalus palustris","breeding",11.621220719276,11.3175372613463,27512.933082333,2.61109203731324,15.1981002845525,"Campylobacter"
"21","Acrocephalus schoenobaenus","breeding",12.7586554486635,12.3468437893329,36176.2523027454,2.81768347242714,16.7342474700671,"Campylobacter"
