"","species","season","median","mean","sum","min","max","pathogen"
"1","Acanthis flammea","breeding",11.5297025830694,11.7947269751855,15403.9134295923,9.14355471675858,16.9865500213588,"Plasmodium"
"2","Accipiter badius","breeding",11.6357990743934,11.2413801027099,78.6896607189693,9.73567244281752,12.6525273224986,"Plasmodium"
"3","Accipiter badius","non-breeding",10.7992685389963,11.1128705730961,133.354446877153,10.0462313942215,12.6525273224986,"Plasmodium"
"4","Accipiter brevipes","breeding",11.1553891009383,11.1956346859228,3660.97254229674,9.62654995783536,13.8418838901404,"Plasmodium"
"5","Accipiter gentilis","breeding",11.9968215462743,12.0545631932952,38960.3482407299,9.066238766478,16.0775857801631,"Plasmodium"
"6","Accipiter gentilis","non-breeding",11.9066296141517,11.9500690687198,48983.3331126825,9.29828664471045,16.7347917700485,"Plasmodium"
"7","Accipiter nisus","breeding",11.8773683927108,11.994020833481,43382.3733547007,9.6195113498413,16.4976945413791,"Plasmodium"
"8","Accipiter nisus","non-breeding",12.1595418064277,12.3178359547186,47300.4900661195,9.98385244322893,16.5359891495674,"Plasmodium"
"9","Acridotheres cristatellus","breeding",15.2876400048321,15.2876400048321,30.5752800096643,15.2751618832878,15.3001181263764,"Plasmodium"
"10","Acridotheres cristatellus","non-breeding",15.2751618832878,15.2051262716271,76.0256313581354,15.0478726320101,15.3001181263764,"Plasmodium"
"11","Acridotheres tristis","breeding",21.4732765213197,21.3131116437498,234.444228081247,19.626508056999,22.0570554753693,"Plasmodium"
"12","Acridotheres tristis","non-breeding",22.3157875862662,22.2892272649019,89.1569090596077,21.6483225725097,22.8770113145657,"Plasmodium"
"13","Acrocephalus agricola","breeding",6.74716505717648,6.74782515099491,2085.07797165743,5.90129518486919,7.69402921544216,"Plasmodium"
"14","Acrocephalus arundinaceus","breeding",6.92889041241487,7.04782860079844,17993.1064178384,5.82375871384661,9.76066713358679,"Plasmodium"
"15","Acrocephalus dumetorum","breeding",6.31602473108878,6.34999887355892,8813.79843649978,5.3168274104304,10.1921644317507,"Plasmodium"
"16","Acrocephalus dumetorum","non-breeding",6.7490506938322,6.76015182749959,11958.7085828468,5.81416975362004,9.83877458652132,"Plasmodium"
"17","Acrocephalus melanopogon","breeding",7.12014696017563,7.26329616546062,1619.71504489772,6.16061096155663,9.421819243433,"Plasmodium"
"18","Acrocephalus melanopogon","non-breeding",7.9142791980731,7.92019253178493,3175.99720524576,6.23401444837624,9.11866777063041,"Plasmodium"
"19","Acrocephalus paludicola","breeding",6.87490093419806,6.90310817823323,345.155408911661,6.73940401290101,7.14945795112825,"Plasmodium"
"20","Acrocephalus palustris","breeding",10.1837979732398,10.2519848430377,24922.5751534247,8.95842100392567,14.5855075652321,"Plasmodium"
"21","Acrocephalus schoenobaenus","breeding",6.87940937721558,6.92242797812156,20282.7139758962,5.12858845022853,10.4722066794957,"Plasmodium"
"22","Acrocephalus scirpaceus","breeding",6.6920180108003,6.77321551382349,16770.481612227,5.32719248611544,9.22641759147642,"Plasmodium"
"23","Actitis hypoleucos","breeding",6.25705773055645,6.3502813604891,20073.239380506,4.71860416787918,9.75805313898869,"Plasmodium"
"24","Actitis hypoleucos","non-breeding",7.42007112826629,7.42020721064455,1855.05180266114,6.75398431535095,8.53333805500681,"Plasmodium"
"25","Actitis macularius","breeding",7.86008554374027,7.86008554374027,7.86008554374027,7.86008554374027,7.86008554374027,"Plasmodium"
"26","Aegithalos caudatus","breeding",14.6661380996111,14.7437976300327,50468.019287602,11.5769073978709,19.5832749273722,"Plasmodium"
"27","Aegithalos caudatus","non-breeding",14.4359491147644,14.5837730618301,55564.1753655728,11.9672237072878,19.5832749273722,"Plasmodium"
"28","Aegolius funereus","breeding",12.2876399016926,12.299265660344,16960.6873456143,10.3586380019268,17.568473509672,"Plasmodium"
"29","Aegolius funereus","non-breeding",11.8184203991248,11.9911422905383,28227.1489519271,9.69241772172343,16.8886250888588,"Plasmodium"
"30","Aegypius monachus","breeding",11.6990856490197,11.804520577935,1546.39219570949,10.2113585217315,13.3048440414269,"Plasmodium"
"31","Aegypius monachus","non-breeding",11.7468458101369,11.9178573474923,5935.09295905116,10.2113585217315,14.4560752855417,"Plasmodium"
"32","Agapornis fischeri","breeding",14.714959817747,14.714959817747,14.714959817747,14.714959817747,14.714959817747,"Plasmodium"
