"","species","season","median","mean","sum","min","max","pathogen"
"1","Acanthis flammea","breeding",12.3081636471276,23.9851337867467,31324.5847254912,3.44577418019524,94.3232885748669,"Sindbis virus"
"2","Accipiter badius","breeding",22.2165079010762,22.452783390926,157.169483736482,7.85138848770609,55.3113042800962,"Sindbis virus"
"3","Accipiter badius","non-breeding",22.6631217215988,23.9225219111043,287.070262933252,9.00582995833801,55.3113042800962,"Sindbis virus"
"4","Accipiter brevipes","breeding",25.3787432933166,29.4839328885381,9641.24605455195,6.99097014462036,87.6819790016724,"Sindbis virus"
"5","Accipiter gentilis","breeding",54.8792016056107,55.9884237357815,180954.585514046,11.3386634013022,98.0198024571914,"Sindbis virus"
"6","Accipiter gentilis","non-breeding",54.4534654468835,55.1810277485088,226187.032741138,9.20000953768035,98.0198024571914,"Sindbis virus"
"7","Accipiter nisus","breeding",35.966881655259,40.1200188456639,145114.108164766,4.95712874038996,97.094157449903,"Sindbis virus"
"8","Accipiter nisus","non-breeding",33.303626145223,37.8839938648409,145474.536440989,3.88517127696079,97.1405985745248,"Sindbis virus"
"9","Acridotheres cristatellus","breeding",0.431813604369853,0.431813604369853,0.863627208739707,0.417869274781254,0.445757933958453,"Sindbis virus"
"10","Acridotheres cristatellus","non-breeding",0.432967952960763,0.413331533155475,2.06665766577737,0.334032346753361,0.445757933958453,"Sindbis virus"
"11","Acridotheres tristis","breeding",6.78990753166566,6.69558947251437,73.6514841976581,0.765496666545255,12.6021961749676,"Sindbis virus"
"12","Acridotheres tristis","non-breeding",54.3394584723976,55.5023466248866,222.009386499546,40.6031440104236,72.7273255443276,"Sindbis virus"
"13","Acrocephalus agricola","breeding",0.287773498196601,0.345147037352084,106.650434541794,0.065886664691602,2.43457841335893,"Sindbis virus"
"14","Acrocephalus arundinaceus","breeding",1.25004619126719,3.74445130780986,9559.58418883858,0.0905630902798759,76.8201338347407,"Sindbis virus"
