"","species","season","median","mean","sum","min","max","pathogen"
"1","Acanthis flammea","breeding",30.9432103091172,31.0034595530839,40490.5181763276,30.4272771006855,32.1278294901915,"Trichomonas"
"2","Accipiter badius","breeding",19.7100706709289,19.7659536697804,138.361675688463,19.4650129128143,19.9952141344449,"Trichomonas"
"3","Accipiter badius","non-breeding",19.5986864829732,19.6457551183131,235.749061419758,19.4592047425182,19.9762906576466,"Trichomonas"
"4","Accipiter brevipes","breeding",18.5174242139099,18.5648851356844,6070.71743936881,18.1696643914731,19.5856858907771,"Trichomonas"
"5","Accipiter gentilis","breeding",28.3249458693553,28.4043921933385,91802.9955688701,27.8859984747334,29.7264390726846,"Trichomonas"
"6","Accipiter gentilis","non-breeding",28.331602268304,28.424814737833,116513.315610377,27.8446227742976,29.8969637466957,"Trichomonas"
"7","Accipiter nisus","breeding",28.7471765855255,28.8512471711965,104354.961018218,28.1920937611736,30.3023051978029,"Trichomonas"
"8","Accipiter nisus","non-breeding",28.8422793886795,28.953509910205,111181.478055187,28.1920937611736,30.4289189687566,"Trichomonas"
"9","Acridotheres cristatellus","breeding",21.3775516324957,21.3775516324957,42.7551032649915,21.3595645023593,21.3955387626322,"Trichomonas"
"10","Acridotheres cristatellus","non-breeding",21.3595645023593,21.3437458574885,106.718729287442,21.2691943106728,21.3955387626322,"Trichomonas"
"11","Acridotheres tristis","breeding",20.0724180219208,20.0958720699571,221.054592769528,19.7924696864749,20.4024895917389,"Trichomonas"
"12","Acridotheres tristis","non-breeding",20.0245195650136,20.0068081995401,80.0272327981602,19.8568691696371,20.1213244984959,"Trichomonas"
"13","Acrocephalus agricola","breeding",8.1783173928805,8.19029491613386,2530.80112908536,8.02930036933903,8.44475351039438,"Trichomonas"
"14","Acrocephalus arundinaceus","breeding",6.98278342487228,7.02652972434137,17938.7303862435,6.86763659355281,7.93067202442838,"Trichomonas"
"15","Acrocephalus dumetorum","breeding",8.08311378491567,8.0971504007254,11238.8447562068,7.85442501432689,9.19028828576757,"Trichomonas"
"16","Acrocephalus dumetorum","non-breeding",7.99747466277866,8.03055898545258,14206.0588452656,7.85205263498329,8.97482548694852,"Trichomonas"
"17","Acrocephalus melanopogon","breeding",8.59361786541828,8.64695341283834,1928.27061106295,8.36138798427717,9.35350713294993,"Trichomonas"
"18","Acrocephalus melanopogon","non-breeding",8.8170629850428,8.83958012734838,3544.6716310667,8.43212928588902,9.38275875354162,"Trichomonas"
"19","Acrocephalus paludicola","breeding",7.39894735432045,7.39887700860561,369.943850430281,7.33501296514144,7.43692794033606,"Trichomonas"
"20","Acrocephalus palustris","breeding",23.3385703906414,23.3722354118277,56817.9042861531,22.8948830833656,24.8353713092487,"Trichomonas"
"21","Acrocephalus schoenobaenus","breeding",7.0954841986041,7.16420425155698,20991.118457062,6.96347471982127,8.33230266690628,"Trichomonas"
"22","Acrocephalus scirpaceus","breeding",9.36492354836528,9.42630987427832,23339.5432487131,9.19017364693471,10.3980745641212,"Trichomonas"
"23","Actitis hypoleucos","breeding",7.42076706454731,7.49047994620588,23677.4071099568,7.25524521627895,8.69172040389545,"Trichomonas"
"24","Actitis hypoleucos","non-breeding",7.43566601044576,7.50707936893417,1876.76984223354,7.26136231397997,8.10185990348718,"Trichomonas"
"25","Actitis macularius","breeding",7.06885993450575,7.06885993450575,7.06885993450575,7.06885993450575,7.06885993450575,"Trichomonas"
"26","Aegithalos caudatus","breeding",25.9702596391618,26.0766842875286,89260.4903162105,25.4375141598739,27.6402320474148,"Trichomonas"
"27","Aegithalos caudatus","non-breeding",25.9429919456082,26.0552047025976,99270.329916897,25.4375141598739,27.6591474855095,"Trichomonas"
"28","Aegolius funereus","breeding",26.2172980918146,26.2387232285633,36183.1993321889,25.8424005228009,27.7062994814152,"Trichomonas"
"29","Aegolius funereus","non-breeding",26.228622034119,26.254117771414,61802.1932339085,25.802346185922,27.3086573737324,"Trichomonas"
"30","Aegypius monachus","breeding",37.8399084886302,37.8331517299564,4956.14287662429,36.9856308182241,38.5786417097132,"Trichomonas"
"31","Aegypius monachus","non-breeding",37.8629216762476,37.9030880087046,18875.7378283349,36.9856308182241,39.0291163808893,"Trichomonas"
"32","Agapornis fischeri","breeding",31.27762812595,31.27762812595,31.27762812595,31.27762812595,31.27762812595,"Trichomonas"
"33","Agapornis personatus","breeding",31.2555406868045,31.2555406868045,31.2555406868045,31.2555406868045,31.2555406868045,"Trichomonas"
"34","Aix galericulata","breeding",12.3633348177483,12.4040992255207,3808.05846223485,12.2828387245195,13.6750400808281,"Trichomonas"
"35","Aix sponsa","breeding",7.33183536785696,7.35655415027422,419.32358656563,7.26615935869966,7.69352632262234,"Trichomonas"
"36","Alaemon alaudipes","non-breeding",29.3219533426075,29.3219533426075,29.3219533426075,29.3219533426075,29.3219533426075,"Trichomonas"
"37","Alauda arvensis","breeding",23.5858231455099,23.6441504675266,87719.7982345236,23.1127778226604,24.8940141334061,"Trichomonas"
"38","Alauda arvensis","non-breeding",23.7502894501039,23.822294311447,41474.6143962291,23.1127778226604,24.8940141334061,"Trichomonas"
"39","Alauda leucoptera","breeding",13.2596748721528,13.2612351035533,941.547692352282,13.1228471755462,13.3364452491743,"Trichomonas"
"40","Alaudala rufescens","breeding",22.1875477220984,22.2685438104822,5990.2382850197,21.8351203044818,23.1344243678431,"Trichomonas"
"41","Alca torda","breeding",14.8697793032383,14.9487559601189,3019.64870394403,14.7089363660231,16.4245201863509,"Trichomonas"
"42","Alca torda","non-breeding",14.8513780473684,14.970985111404,8323.86772194061,14.719819629423,16.4245201863509,"Trichomonas"
"43","Alcedo atthis","breeding",13.6555808921385,13.7168361644094,33743.4169644471,13.4254543268248,15.0455098918466,"Trichomonas"
"44","Alcedo atthis","non-breeding",13.7467249274659,13.8487892237059,26091.118897462,13.4256692833096,14.9129334004271,"Trichomonas"
"45","Alectoris barbara","breeding",12.752053238905,12.7706765134454,268.184206782353,12.5717836455471,13.0189584859174,"Trichomonas"
"46","Alectoris barbara","non-breeding",12.7394733131548,12.7419731410766,280.323409103684,12.5717836455471,12.8965466071429,"Trichomonas"
"47","Alectoris chukar","breeding",17.1938954555898,17.3345988945827,6951.17415672765,16.8698077705839,18.2875166138484,"Trichomonas"
"48","Alectoris chukar","non-breeding",17.1787988467051,17.3412107780556,10664.8446285042,16.8698077705839,18.5748819417695,"Trichomonas"
"49","Alectoris graeca","breeding",12.9066011644316,12.9910872814776,2650.18180542142,12.772297226104,13.6540603071789,"Trichomonas"
"50","Alectoris rufa","breeding",16.2939178622116,16.3293793794066,10385.4852853026,15.9094953110118,17.2876217290357,"Trichomonas"
"51","Alle alle","breeding",10.022424211683,10.022424211683,10.022424211683,10.022424211683,10.022424211683,"Trichomonas"
"52","Alle alle","non-breeding",9.45380534707778,9.55889174745208,3804.43891548593,9.35917448510105,10.791453056344,"Trichomonas"
"53","Alopochen aegyptiaca","breeding",7.01917496283714,7.05961094232369,2943.85776294898,7.00095299187121,7.81464450334578,"Trichomonas"
"54","Amandava amandava","breeding",32.9521489425212,32.9144664006071,954.519525617605,32.3204071621488,33.3001115670194,"Trichomonas"
"55","Amazona aestiva","breeding",50.7678009362159,50.7678009362159,50.7678009362159,50.7678009362159,50.7678009362159,"Trichomonas"
"56","Amazona oratrix","breeding",54.6646233630862,54.6646233630862,109.329246726172,54.6189237131873,54.710323012985,"Trichomonas"
"57","Ammomanes cinctura","non-breeding",28.189082207464,28.1518240772007,168.910944463204,27.7326367537832,28.5059806196879,"Trichomonas"
"58","Ammomanes deserti","breeding",25.6671005034143,25.6706318396466,102.682527358586,25.635238320575,25.7130880311827,"Trichomonas"
"59","Ammomanes deserti","non-breeding",25.7611236319751,25.7471263518428,540.689653388699,25.338464975761,26.1294975937938,"Trichomonas"
