"","species","season","median","mean","sum","min","max","pathogen"
"1","Acanthis flammea","breeding",6.4781823057735,8.46021244421278,11049.0374521419,1.92520944595494,43.3820591998303,"Avian influenza virus"
"2","Accipiter badius","breeding",6.14126936183614,5.76944975662761,40.3861482963932,2.56860154244119,10.2801176353555,"Avian influenza virus"
"3","Accipiter badius","non-breeding",4.47025823912206,5.45308190638851,65.4369828766621,3.28937469272742,10.2801176353555,"Avian influenza virus"
"4","Accipiter brevipes","breeding",5.19135630111084,5.66488025983862,1852.41584496723,2.46614774756175,16.8689606733935,"Avian influenza virus"
"5","Accipiter gentilis","breeding",5.25197843377358,6.0492648736152,19551.2240715243,1.32433670463045,30.5240252642765,"Avian influenza virus"
"6","Accipiter gentilis","non-breeding",5.06948599167132,5.89014102518145,24143.6880622188,1.52908228048141,35.1770523854626,"Avian influenza virus"
"7","Accipiter nisus","breeding",6.52361295766741,7.56606201888038,27366.4463222904,2.36243442516987,38.434510525379,"Avian influenza virus"
"8","Accipiter nisus","non-breeding",7.19435205576923,8.31107369324477,31914.5229820599,3.05729033720217,38.8075134834942,"Avian influenza virus"
"9","Acridotheres cristatellus","breeding",10.9118014294426,10.9118014294426,21.8236028588853,10.9033015761085,10.9203012827768,"Avian influenza virus"
"10","Acridotheres cristatellus","non-breeding",10.9033015761085,10.6242640448286,53.1213202241429,9.93702240380073,10.9509915166098,"Avian influenza virus"
"11","Acridotheres tristis","breeding",6.95189892078469,6.63457123569847,72.9802835926831,3.86504206793073,8.03580533599481,"Avian influenza virus"
"12","Acridotheres tristis","non-breeding",10.5492464584946,10.7130449731197,42.852179892479,8.55176568470914,13.2019212907807,"Avian influenza virus"
"13","Acrocephalus agricola","breeding",7.19883243084363,7.34681983554556,2270.16732918358,4.40148905047002,11.3306843273494,"Avian influenza virus"
"14","Acrocephalus arundinaceus","breeding",8.09387673525488,9.19698137497724,23479.8934503169,4.06036913324214,33.5026020683312,"Avian influenza virus"
"15","Acrocephalus dumetorum","breeding",6.15555789133818,6.52186132570608,9052.34352008004,3.19245761720426,44.5710937502678,"Avian influenza virus"
"16","Acrocephalus dumetorum","non-breeding",7.89498762466455,8.09329025711688,14317.0304648398,3.96716617297744,35.4201317504687,"Avian influenza virus"
"17","Acrocephalus melanopogon","breeding",9.78175242388715,10.6349154855442,2371.58615327636,5.47976424164473,31.559473112822,"Avian influenza virus"
"18","Acrocephalus melanopogon","non-breeding",14.0754245951338,14.4687420072952,5801.96554492537,5.42594514916424,27.2703744060995,"Avian influenza virus"
"19","Acrocephalus paludicola","breeding",7.99196087008652,8.10305793373391,405.152896686695,7.54472252977148,9.88723268610964,"Avian influenza virus"
"20","Acrocephalus palustris","breeding",6.19489645493733,6.86101920326008,16679.1376831253,3.45609253574945,38.8171995406379,"Avian influenza virus"
"21","Acrocephalus schoenobaenus","breeding",8.03092406156622,8.9596030957608,26251.6370705791,2.28821286706308,45.7050584549446,"Avian influenza virus"
"22","Acrocephalus scirpaceus","breeding",10.4962853050686,11.508552538742,28495.1760859251,4.28152544828672,37.1507086646203,"Avian influenza virus"
"23","Actitis hypoleucos","breeding",6.56885006027264,7.70941461936232,24369.4596118043,1.97380792601853,42.5501990321599,"Avian influenza virus"
"24","Actitis hypoleucos","non-breeding",12.2550944015175,12.4696612152929,3117.41530382322,8.64042244205611,20.9757802662809,"Avian influenza virus"
"25","Actitis macularius","breeding",16.5975827670031,16.5975827670031,16.5975827670031,16.5975827670031,16.5975827670031,"Avian influenza virus"
"26","Aegithalos caudatus","breeding",12.0268263459926,13.3321779214324,45636.0450250633,4.50040894971378,50.7749634960919,"Avian influenza virus"
"27","Aegithalos caudatus","non-breeding",11.1846577939411,12.6787522980139,48306.0462554328,4.75563535547548,50.7749634960919,"Avian influenza virus"
"28","Aegolius funereus","breeding",5.53092032090804,6.18978437725801,8535.7126562388,2.27035540414822,38.1067339339079,"Avian influenza virus"
"29","Aegolius funereus","non-breeding",4.62657817932315,5.43284437585584,12788.9156607646,1.78674658275294,33.3007288269384,"Avian influenza virus"
"30","Aegypius monachus","breeding",6.56787607815782,7.05607702983,924.346090907729,3.92726110195005,13.3152216965533,"Avian influenza virus"
"31","Aegypius monachus","non-breeding",6.69621539396266,7.41808566397003,3694.20666065708,3.51908591570075,21.6546875517434,"Avian influenza virus"
"32","Agapornis fischeri","breeding",15.6807390487123,15.6807390487123,15.6807390487123,15.6807390487123,15.6807390487123,"Avian influenza virus"
"33","Agapornis personatus","breeding",15.6391130949668,15.6391130949668,15.6391130949668,15.6391130949668,15.6391130949668,"Avian influenza virus"
"34","Aix galericulata","breeding",7.95123008061882,8.33703251783292,2559.46898297471,2.24763266541043,29.0560129293555,"Avian influenza virus"
"35","Aix sponsa","breeding",15.7118631008691,15.9376089326444,908.443709160729,10.4277304615312,25.4688482969203,"Avian influenza virus"
"36","Alaemon alaudipes","non-breeding",14.4353607127691,14.4353607127691,14.4353607127691,14.4353607127691,14.4353607127691,"Avian influenza virus"
"37","Alauda arvensis","breeding",5.90089125817366,6.92335970103083,25685.6644908244,2.17500739721365,37.4598401710913,"Avian influenza virus"
"38","Alauda arvensis","non-breeding",8.57642845526719,9.26514872106491,16130.623923374,3.24490678431421,28.413051956814,"Avian influenza virus"
"39","Alauda leucoptera","breeding",3.30144848909548,3.35450900540219,238.170139383556,2.79218543249858,4.11045185793446,"Avian influenza virus"
"40","Alaudala rufescens","breeding",5.5254230425942,6.12183382101714,1646.77329785361,3.466686936259,14.1276096240415,"Avian influenza virus"
"41","Alca torda","breeding",10.8067473130835,12.9815742611054,2622.27800074328,4.03613268777538,45.5371951924435,"Avian influenza virus"
"42","Alca torda","non-breeding",12.4594725594598,14.2248064749736,7908.99240008532,5.20611963367394,45.5371951924435,"Avian influenza virus"
"43","Alcedo atthis","breeding",14.3393576752624,15.5569137439083,38270.0078100145,7.23143131136256,44.9577562554856,"Avian influenza virus"
"44","Alcedo atthis","non-breeding",18.0901312943102,18.8269947959607,35470.05819559,7.7808672670326,43.5072350614261,"Avian influenza virus"
"45","Alectoris barbara","breeding",11.5381957922772,11.5790395860562,243.159831307179,9.36841111557736,14.9253156177978,"Avian influenza virus"
"46","Alectoris barbara","non-breeding",10.9736110136453,11.0851278972611,243.872813739744,8.93454218671443,13.0772780037823,"Avian influenza virus"
"47","Alectoris chukar","breeding",9.04197314727882,9.75350873034502,3911.15700086835,4.56977458426347,20.3990180718846,"Avian influenza virus"
"48","Alectoris chukar","non-breeding",9.05166075483579,10.0028415157234,6151.74753216992,4.41875348839229,30.6956597643792,"Avian influenza virus"
"49","Alectoris graeca","breeding",9.97188260504842,10.2808635764818,2097.29616960228,3.39046784462791,21.5281200764958,"Avian influenza virus"
"50","Alectoris rufa","breeding",11.5433466172634,12.0788254455889,7682.13298339456,4.10626155210526,33.3388440681954,"Avian influenza virus"
"51","Alle alle","breeding",2.83437720723899,2.83437720723899,2.83437720723899,2.83437720723899,2.83437720723899,"Avian influenza virus"
"52","Alle alle","non-breeding",8.15863177940493,9.95853702386675,3963.49773549897,2.29825361937655,38.0514518353097,"Avian influenza virus"
"53","Alopochen aegyptiaca","breeding",10.789554998044,11.2183910730285,4678.0690774529,7.46224108803336,28.4193172130619,"Avian influenza virus"
"54","Amandava amandava","breeding",15.1032813867567,15.1310806717063,438.801339479482,11.2072857526148,22.8306953238911,"Avian influenza virus"
"55","Amazona aestiva","breeding",16.9197961825012,16.9197961825012,16.9197961825012,16.9197961825012,16.9197961825012,"Avian influenza virus"
"56","Amazona oratrix","breeding",18.6715035467266,18.6715035467266,37.3430070934532,18.0889422645925,19.2540648288607,"Avian influenza virus"
"57","Ammomanes cinctura","non-breeding",14.4531757135806,13.9391798110971,83.6350788665829,11.7814586788995,15.0945261125868,"Avian influenza virus"
"58","Ammomanes deserti","breeding",10.545782468802,10.724242480625,42.8969699225,9.58128266655426,12.2241223183418,"Avian influenza virus"
"59","Ammomanes deserti","non-breeding",9.87685225366475,10.9145007878848,229.204516545582,7.92148549958709,14.8750639021626,"Avian influenza virus"
"60","Ammoperdix griseogularis","breeding",13.0345474682924,12.4478718476856,385.884027278253,6.92657681352899,17.0005670516737,"Avian influenza virus"
"61","Ammoperdix griseogularis","non-breeding",11.9666550115526,11.275638836337,710.365246689229,6.12435045183634,18.2821424946907,"Avian influenza virus"
"62","Anas acuta","breeding",5.41982548840645,6.23902134194171,5103.51945770832,1.99301616934048,26.2315950627851,"Avian influenza virus"
"63","Anas acuta","non-breeding",11.6879271145866,12.4354129147702,13032.3127346792,5.04116761900975,34.0388725668382,"Avian influenza virus"
"64","Anas bahamensis","breeding",15.9415089390086,15.9576379305714,47.8729137917141,15.1015238388996,16.8298810138059,"Avian influenza virus"
"65","Anas crecca","breeding",8.03037056050993,9.21706750533117,22286.8692278908,2.51552856550931,47.663131469851,"Avian influenza virus"
"66","Anas crecca","non-breeding",13.9732607041138,14.8361869192555,23277.9772763119,5.41090987753169,47.663131469851,"Avian influenza virus"
"67","Anas platyrhynchos","breeding",10.2360457749917,11.5815427995145,47831.7717619947,3.59493591195702,49.41250998716,"Avian influenza virus"
"68","Anas platyrhynchos","non-breeding",13.8464612140773,14.8675934221145,36871.631686844,5.08778066100336,49.41250998716,"Avian influenza virus"
"69","Anas rubripes","breeding",35.7300069690477,35.7300069690477,35.7300069690477,35.7300069690477,35.7300069690477,"Avian influenza virus"
"70","Anser albifrons","breeding",1.1113836345808,2.56402136244501,143.58519629692,0.778688612552601,6.12132227639341,"Avian influenza virus"
"71","Anser albifrons","non-breeding",5.4548605326708,6.53845003681842,3066.53306726784,2.70691967208601,30.3583937856962,"Avian influenza virus"
"72","Anser anser","breeding",5.77008128930448,6.82440769770872,9752.07860002576,2.09107025418095,35.998765870047,"Avian influenza virus"
"73","Anser anser","non-breeding",8.16119414499141,9.04815986537437,3791.17898359186,3.32187781110739,28.9175371066998,"Avian influenza virus"
"74","Anser brachyrhynchus","breeding",5.9122406381582,7.0784757079686,42.4708542478116,2.9024217351887,16.5161913520631,"Avian influenza virus"
"75","Anser caerulescens","breeding",5.93028023556612,6.09613014409266,97.5380823054826,1.848386043232,17.9745065330977,"Avian influenza virus"
"76","Anser canagicus","breeding",8.61745886893323,8.53449546292776,25.6034863887833,8.31701473350013,8.66901278634992,"Avian influenza virus"
"77","Anser cygnoid","breeding",9.46953381594797,10.8409079436199,216.818158872398,8.59500687757342,17.5294288798946,"Avian influenza virus"
"78","Anser erythropus","breeding",1.19733393500207,1.27393436950335,19.1090155425502,1.0214218430942,1.87817337962792,"Avian influenza virus"
"79","Anser erythropus","non-breeding",5.18498544951906,5.76092185685372,1831.97315047948,2.38418362600776,16.0114024277855,"Avian influenza virus"
"80","Anser fabalis","breeding",2.89010433708746,2.97926965007414,926.552861173058,1.20216795592631,8.38416206157258,"Avian influenza virus"
"81","Anser fabalis","non-breeding",7.75950627580481,8.15040406656652,3137.90556562811,5.28776921523563,21.0981248074455,"Avian influenza virus"
"82","Anser indicus","breeding",7.63093872655019,7.60325038840636,387.765769808724,2.62628783586689,12.3031491534184,"Avian influenza virus"
"83","Anthropoides virgo","breeding",2.79391288417434,2.93098306214614,577.40366324279,1.7694806560534,4.73158851926085,"Avian influenza virus"
"84","Anthus campestris","breeding",5.71896291655651,6.56967048258612,10347.2310100731,2.41753192929153,24.5569519478963,"Avian influenza virus"
"85","Anthus cervinus","breeding",2.048283408659,2.11764760256292,279.529483538306,1.13214782510004,5.01289562980506,"Avian influenza virus"
"86","Anthus cervinus","non-breeding",10.2582716586325,10.5196249504648,1220.27649425392,4.75132812132281,17.6043783382262,"Avian influenza virus"
"87","Anthus hodgsoni","breeding",2.73279097062536,2.75182023050308,393.51029296194,1.73534125406623,3.62110117959861,"Avian influenza virus"
"88","Anthus petrosus","breeding",10.9757391554589,11.7251825615479,3541.00513358747,2.90943333069451,39.3546433904508,"Avian influenza virus"
"89","Anthus pratensis","breeding",5.81838429032718,6.80879374628603,14162.2909922749,1.39721552192241,38.1559834503031,"Avian influenza virus"
"90","Anthus pratensis","non-breeding",9.67006026696283,10.2170772370813,18962.8953520228,3.4252784905064,31.0217568643106,"Avian influenza virus"
"91","Anthus spinoletta","breeding",7.28665155312936,7.83844491422054,3472.4310969997,2.86283786715919,23.5421536119513,"Avian influenza virus"
"92","Anthus spinoletta","non-breeding",8.35903373649348,8.77025654112178,13155.3848116827,2.86283786715919,26.6325695315291,"Avian influenza virus"
"93","Anthus trivialis","breeding",5.32625496485772,6.14971072352538,21376.3944749742,1.99971701388996,36.639098335723,"Avian influenza virus"
"94","Apus affinis","breeding",7.18307325208658,7.57689204939168,287.921897876884,3.31097730998891,12.0814518710171,"Avian influenza virus"
"95","Apus apus","breeding",4.53792405380643,5.35876622749735,21740.5145849567,1.57038081798649,31.4916815767526,"Avian influenza virus"
"96","Apus caffer","breeding",10.2074340750836,10.1035201843775,515.279529403254,7.17288348588654,13.8006217218351,"Avian influenza virus"
"97","Apus pallidus","breeding",8.89144220279105,9.09595462808227,4666.22472420621,4.40134644586651,20.5294661955379,"Avian influenza virus"
"98","Apus pallidus","non-breeding",9.57407054829281,9.7784320848449,127.119617102984,9.18533476529327,11.74346560128,"Avian influenza virus"
"99","Aquila adalberti","breeding",10.3598258593283,11.2413142942056,843.098572065421,7.91509672149973,16.9412661822061,"Avian influenza virus"
"100","Aquila adalberti","non-breeding",11.5059028471112,11.4645157843783,894.232231181509,7.69891223469081,16.2452807727891,"Avian influenza virus"
"101","Aquila chrysaetos","breeding",6.29263465142388,7.1887046526657,10222.3380160906,1.62576500844269,36.2665603087744,"Avian influenza virus"
"102","Aquila chrysaetos","non-breeding",4.98675671210599,5.92449548423808,22163.5376065346,1.83932218287683,36.2665603087744,"Avian influenza virus"
"103","Aquila fasciata","breeding",8.82532230582269,8.7288672366432,2234.59001258066,5.44495423364642,14.9544606872815,"Avian influenza virus"
"104","Aquila fasciata","non-breeding",8.83539221642647,8.89896996471983,4636.36335161903,4.10358402207836,16.7255011575089,"Avian influenza virus"
"105","Aquila heliaca","breeding",7.88715354391254,7.81883899118301,2806.9631978347,4.42681413793,13.7062731846571,"Avian influenza virus"
"106","Aquila heliaca","non-breeding",10.2353347917977,11.2135651855492,3229.50677343816,6.0457275742522,33.2989187229445,"Avian influenza virus"
"107","Aquila nipalensis","breeding",3.66739246552501,3.76567596083538,478.240847026093,2.59789736233002,6.65699711418493,"Avian influenza virus"
"108","Aratinga nenday","breeding",12.9096592615288,12.9096592615288,12.9096592615288,12.9096592615288,12.9096592615288,"Avian influenza virus"
"109","Ardea alba","breeding",6.65866991712972,7.49290294640458,6773.58426354974,3.82241372218957,31.6735162181309,"Avian influenza virus"
"110","Ardea alba","non-breeding",11.0842716626428,11.3753167182248,6609.0590132886,5.02546790053604,24.3433339854878,"Avian influenza virus"
"111","Ardea cinerea","breeding",10.823995219018,12.3126980900186,36236.2704789248,4.5068298410116,50.0425814404515,"Avian influenza virus"
"112","Ardea cinerea","non-breeding",15.9759282881718,16.7618364213122,29852.830666357,6.15358614734979,50.0425814404515,"Avian influenza virus"
"113","Ardea purpurea","breeding",7.63240687970139,8.35184519394134,7324.56823508655,3.99333800996768,28.7670774386769,"Avian influenza virus"
"114","Ardenna gravis","non-breeding",13.2424613193202,14.9660886667169,2364.64200934127,6.62649766477936,37.4314594204918,"Avian influenza virus"
"115","Ardenna grisea","non-breeding",14.2118156275601,15.2928817587734,7677.02664290426,7.91082516590799,41.4582161731505,"Avian influenza virus"
"116","Ardeola ralloides","breeding",7.43517782465181,7.94533709061096,2812.64933007628,3.8491199008883,18.9279003014439,"Avian influenza virus"
"117","Arenaria interpres","breeding",6.31457222441451,8.44727737447885,1630.32453327442,1.71415300942695,43.2939312706731,"Avian influenza virus"
"118","Arenaria interpres","non-breeding",13.7785019944786,14.9365529897404,5108.30112249121,8.50294805352673,34.8155540549561,"Avian influenza virus"
"119","Argya altirostris","breeding",15.5856213259864,15.2900234332932,76.4501171664658,14.3612750595264,15.7871542245059,"Avian influenza virus"
"120","Asio flammeus","breeding",3.95565166396507,4.61406247198266,7931.5733893382,1.31140125794682,28.0596857025377,"Avian influenza virus"
"121","Asio flammeus","non-breeding",6.24957415809371,7.12124900605503,12269.9120374328,3.26965584860926,27.2218491387274,"Avian influenza virus"
"122","Asio otus","breeding",7.26113958642291,8.23669318451033,26546.8621336768,2.48678458521741,34.9028472200195,"Avian influenza virus"
"123","Asio otus","non-breeding",7.54961979759858,8.54633907269347,28160.187244525,3.23735156352524,32.8654297838203,"Avian influenza virus"
"124","Athene noctua","breeding",5.29381162307686,5.79501317531284,13629.8709883358,2.1250313489569,19.5114415919202,"Avian influenza virus"
"125","Athene noctua","non-breeding",4.80033264235975,5.4642186997234,18326.9895188723,1.81548939087724,22.2536624636328,"Avian influenza virus"
"126","Aythya affinis","breeding",11.6498798883466,11.6498798883466,11.6498798883466,11.6498798883466,11.6498798883466,"Avian influenza virus"
"127","Aythya collaris","breeding",10.5619856811671,10.5619856811671,21.1239713623341,3.04135133871619,18.0826200236179,"Avian influenza virus"
"128","Aythya ferina","breeding",9.75412141599418,10.6414244938995,20537.949273226,4.34805579516265,38.718657635659,"Avian influenza virus"
"129","Aythya ferina","non-breeding",14.3901459789574,15.2092358627886,22418.4136617504,6.6825406311058,40.8042078177301,"Avian influenza virus"
"130","Aythya fuligula","breeding",7.91654094070333,8.93961807386258,19291.6958033954,2.34380453054817,45.9704598856349,"Avian influenza virus"
"131","Aythya fuligula","non-breeding",13.2585840574598,13.5469697424061,12260.0076168775,5.68824091613274,36.2832253389464,"Avian influenza virus"
"132","Aythya marila","breeding",4.21786835681043,5.22828549913552,1024.74395783056,1.74336673291969,35.8947395002127,"Avian influenza virus"
"133","Aythya marila","non-breeding",10.7106830886689,12.5096777452528,8381.48408931939,4.97782881045526,42.1722269225399,"Avian influenza virus"
"134","Aythya nyroca","breeding",8.88196717690364,9.77148963937692,4397.17033771962,4.52931724834525,32.2205162559931,"Avian influenza virus"
"135","Aythya nyroca","non-breeding",10.7170545946318,10.9349528319786,11722.269435881,3.25644106206992,32.2205162559931,"Avian influenza virus"
"136","Bombycilla garrulus","breeding",3.33849374502074,3.51197218213479,2310.87769584469,1.48673571129515,19.0948887128757,"Avian influenza virus"
"137","Bombycilla garrulus","non-breeding",5.31181665967697,5.77093706068208,15789.2837980262,2.60070619946723,37.5762934684489,"Avian influenza virus"
"138","Bonasa bonasia","breeding",4.83432038232371,5.47761373014618,9191.43583918529,2.24318911900203,22.7804892511574,"Avian influenza virus"
"139","Bonasa bonasia","non-breeding",4.89288440015981,5.51879611446903,12980.2084612312,1.75892466066541,22.7804892511574,"Avian influenza virus"
"140","Botaurus stellaris","breeding",5.20479803524909,5.51282352799096,10380.646703207,2.74046806907864,27.8605640135372,"Avian influenza virus"
"141","Botaurus stellaris","non-breeding",8.88483416316179,9.26396906487233,5734.39685115597,4.06199589355474,20.8622665231572,"Avian influenza virus"
"142","Branta canadensis","breeding",5.73620742868134,6.13154530481613,4402.44952885798,1.9476756785841,32.8216641533706,"Avian influenza virus"
"143","Branta hutchinsii","breeding",6.60572636645993,6.58157633288198,92.1420686603477,6.20508448622179,6.89416909565852,"Avian influenza virus"
"144","Branta leucopsis","breeding",4.52150737912793,5.28057932396829,1821.79986676906,1.0209359818652,28.5920956729166,"Avian influenza virus"
"145","Branta ruficollis","non-breeding",5.8274367277651,6.49029596624281,2193.72003659007,2.94834620533997,16.2185539782328,"Avian influenza virus"
"146","Bubo bubo","breeding",8.97747622410868,9.95043526401331,19781.4653048585,3.60298396500017,44.4710261236175,"Avian influenza virus"
"147","Bubo bubo","non-breeding",7.72975678192824,8.78431173049455,33204.6983412694,2.79811330565747,44.4710261236175,"Avian influenza virus"
"148","Bubo scandiacus","breeding",2.15260052411308,2.82840118592343,70.7100296480858,1.13081783037612,11.2678690711954,"Avian influenza virus"
"149","Bubo scandiacus","non-breeding",3.3734597131389,3.65409032570373,4863.59422351166,1.36900544289755,27.127859730125,"Avian influenza virus"
