"","species","season","median","mean","sum","min","max","pathogen"
"1","Acanthis flammea","breeding",10.9506699240691,12.6841257019337,16565.4681667254,4.3308443883773,29.5410949532646,"Chlamydia"
"2","Accipiter badius","breeding",23.8357528446752,21.6243152615585,151.370206830909,12.2653421583705,29.5315063725666,"Chlamydia"
"3","Accipiter badius","non-breeding",18.1317984919771,20.2702449279059,243.24293913487,13.004233117907,29.5315063725666,"Chlamydia"
"4","Accipiter brevipes","breeding",20.5579771632177,20.6249195039453,6744.34867779013,11.4292336438297,37.9304796341035,"Chlamydia"
"5","Accipiter gentilis","breeding",20.9630107778752,21.4124018949281,69204.8829244076,7.00231030669519,43.7273014244122,"Chlamydia"
"6","Accipiter gentilis","non-breeding",20.3628834178892,20.9378181623418,85824.1166474391,7.35558117946106,45.252731623757,"Chlamydia"
"7","Accipiter nisus","breeding",18.9142113873687,19.7714045995847,71513.1704366977,7.99586452366494,40.7011680908896,"Chlamydia"
"8","Accipiter nisus","non-breeding",20.9036864707493,21.9431250188035,84261.6000722054,8.88956724719539,42.4364010800019,"Chlamydia"
"9","Acridotheres cristatellus","breeding",36.4967629454031,36.4967629454031,72.9935258908063,36.3054512678983,36.688074622908,"Chlamydia"
"10","Acridotheres cristatellus","non-breeding",36.3054512678983,35.9690636103581,179.84531805179,35.0420385774332,36.688074622908,"Chlamydia"
"11","Acridotheres tristis","breeding",29.2658622199048,28.6984929660016,315.683422626017,21.0068769545027,32.7963578641404,"Chlamydia"
"12","Acridotheres tristis","non-breeding",29.1270521027841,28.9374165411775,115.74966616471,26.9451633563511,30.5503986027908,"Chlamydia"
"13","Acrocephalus agricola","breeding",4.79397638818089,4.9217125980557,1520.80919279921,2.43500905650943,9.47790315260024,"Chlamydia"
"14","Acrocephalus arundinaceus","breeding",6.19845175195235,6.92869003862534,17688.9456686105,2.67442903923337,18.2519945969358,"Chlamydia"
"15","Acrocephalus dumetorum","breeding",3.34856931101721,3.45159244809035,4790.8103179494,1.45440649183702,14.4355334551634,"Chlamydia"
"16","Acrocephalus dumetorum","non-breeding",4.72924201598637,4.83258032069647,8548.83458731205,2.40324002345578,17.0235149661061,"Chlamydia"
"17","Acrocephalus melanopogon","breeding",6.63143166593379,7.44342903879389,1659.88467565104,3.026750590497,16.5280027478919,"Chlamydia"
"18","Acrocephalus melanopogon","non-breeding",10.5847018481065,10.7032100173821,4291.98721697021,3.71473943130424,16.961449291063,"Chlamydia"
"19","Acrocephalus paludicola","breeding",4.78362438799817,4.81718714491265,240.859357245633,4.11366347583758,5.62158524840209,"Chlamydia"
"20","Acrocephalus palustris","breeding",11.6214595137972,12.016467553138,29212.0326216785,6.29171246357485,31.5639111325675,"Chlamydia"
"21","Acrocephalus schoenobaenus","breeding",4.47231905487024,4.8322929292077,14158.6182825786,1.21735265963483,17.3018516216367,"Chlamydia"
"22","Acrocephalus scirpaceus","breeding",5.56908456961557,6.1432096683745,15210.5871388953,1.95636300691859,16.0060849398855,"Chlamydia"
"23","Actitis hypoleucos","breeding",4.57758900288776,5.19949638534267,16435.6080740682,1.38399563113828,18.2242932803693,"Chlamydia"
"24","Actitis hypoleucos","non-breeding",9.76594566824695,10.2169324161493,2554.23310403732,6.10090234298348,17.9352850651435,"Chlamydia"
"25","Actitis macularius","breeding",8.68800942873798,8.68800942873798,8.68800942873798,8.68800942873798,8.68800942873798,"Chlamydia"
"26","Aegithalos caudatus","breeding",24.6220704420001,25.2900395269674,86567.8053008095,8.72873203590029,48.3130267016019,"Chlamydia"
"27","Aegithalos caudatus","non-breeding",23.4789446217682,24.4363381374148,93102.4483035504,10.9708853260905,48.65540959114,"Chlamydia"
"28","Aegolius funereus","breeding",16.5709732540767,16.732871847718,23074.6302780031,8.16264770627295,38.6217903349881,"Chlamydia"
"29","Aegolius funereus","non-breeding",14.2468133438692,15.3751378535076,36193.0745071569,6.10900868077515,35.4937793103734,"Chlamydia"
"30","Aegypius monachus","breeding",36.3268384418784,36.6223030988011,4797.52170594294,21.3014165058668,50.0321109216521,"Chlamydia"
"31","Aegypius monachus","non-breeding",36.9144995439729,37.753652391664,18801.3188910487,21.3014165058668,56.6934482644952,"Chlamydia"
"32","Agapornis fischeri","breeding",40.0884979249273,40.0884979249273,40.0884979249273,40.0884979249273,40.0884979249273,"Chlamydia"
"33","Agapornis personatus","breeding",40.1881852510265,40.1881852510265,40.1881852510265,40.1881852510265,40.1881852510265,"Chlamydia"
"34","Aix galericulata","breeding",25.8395207582799,25.8014368730285,7921.04112001975,10.2372964512663,36.5446439968004,"Chlamydia"
"35","Aix sponsa","breeding",20.6564668120484,20.901183419467,1191.36745490962,14.450947369456,29.4708692423039,"Chlamydia"
"36","Alaemon alaudipes","non-breeding",50.465224699874,50.465224699874,50.465224699874,50.465224699874,50.465224699874,"Chlamydia"
"37","Alauda arvensis","breeding",18.3246031830441,18.8291876488386,69856.286177191,7.81268326862765,39.1683885346577,"Chlamydia"
"38","Alauda arvensis","non-breeding",23.0980550444144,24.1364897676873,42021.6286855436,10.7324038284407,39.1683885346577,"Chlamydia"
"39","Alauda leucoptera","breeding",14.4919128031417,14.5464080895793,1032.79497436013,11.843497784739,17.3308506829346,"Chlamydia"
"40","Alaudala rufescens","breeding",22.9059478606181,24.4637138535365,6580.73902660131,15.546271290641,40.6210004717063,"Chlamydia"
"41","Alca torda","breeding",4.95703709728927,5.35043789842662,1080.78845548218,1.92793621402513,13.1018331882868,"Chlamydia"
"42","Alca torda","non-breeding",6.12570013427661,6.871268602382,3820.42534292439,2.60042356367204,13.5335765409035,"Chlamydia"
"43","Alcedo atthis","breeding",11.1176934808909,11.7641648573904,28939.8455491804,5.0722158896364,26.5008081725879,"Chlamydia"
"44","Alcedo atthis","non-breeding",13.6123316764014,14.6664211223869,27631.5373945769,5.62746519421492,27.3693293848945,"Chlamydia"
"45","Alectoris barbara","breeding",54.7147022695585,55.0216275666103,1155.45417889882,50.6917779241672,59.3615630756054,"Chlamydia"
"46","Alectoris barbara","non-breeding",54.5086683308389,54.5083195412462,1199.18302990742,50.6917779241672,57.6022122253695,"Chlamydia"
"47","Alectoris chukar","breeding",44.8034507535009,45.6928283501022,18322.824168391,25.8450055736398,62.5324014352785,"Chlamydia"
"48","Alectoris chukar","non-breeding",44.5858656896093,45.8106534043698,28173.5518436875,25.8450055736398,62.7493829353272,"Chlamydia"
"49","Alectoris graeca","breeding",44.3434097892727,44.912198306625,9162.08845455151,26.0861099979994,58.3593252820356,"Chlamydia"
"50","Alectoris rufa","breeding",48.3792992624021,48.515500623106,30855.8583962954,27.4088247766174,60.2268459731018,"Chlamydia"
"51","Alle alle","breeding",2.8284823487432,2.8284823487432,2.8284823487432,2.8284823487432,2.8284823487432,"Chlamydia"
"52","Alle alle","non-breeding",7.17484448602977,6.94182724215488,2762.84724237764,2.47949990248512,16.2732066143524,"Chlamydia"
"53","Alopochen aegyptiaca","breeding",13.0995652903054,13.8749728615527,5785.86368326746,9.88266699520557,24.7332185783602,"Chlamydia"
"54","Amandava amandava","breeding",38.1168228917799,37.6142584143866,1090.81349401721,30.0354535073636,42.4403554047675,"Chlamydia"
"55","Amazona aestiva","breeding",23.1837018193758,23.1837018193758,23.1837018193758,23.1837018193758,23.1837018193758,"Chlamydia"
"56","Amazona oratrix","breeding",21.0226878493402,21.0226878493402,42.0453756986804,20.3031482836259,21.7422274150545,"Chlamydia"
"57","Ammomanes cinctura","non-breeding",35.1693451084602,34.4175552231615,206.505331338969,29.2990985003351,37.9077938105825,"Chlamydia"
"58","Ammomanes deserti","breeding",33.1551485408492,33.5345490805534,134.138196322214,32.9028333491778,34.9250658913374,"Chlamydia"
"59","Ammomanes deserti","non-breeding",33.5313003947252,34.1551428275029,717.257999377561,28.3905848887842,39.6457839290505,"Chlamydia"
"60","Ammoperdix griseogularis","breeding",49.1793248559758,46.8433056760252,1452.14247595678,33.7568606436763,54.461654219961,"Chlamydia"
"61","Ammoperdix griseogularis","non-breeding",47.0575960167061,44.7582038999449,2819.76684569653,27.9642033431826,57.5315127613162,"Chlamydia"
"62","Anas acuta","breeding",4.76833872385335,5.41239329287268,4427.33771356985,1.96439312109255,18.1985936666682,"Chlamydia"
"63","Anas acuta","non-breeding",11.0731968527421,12.0362920378648,12614.0340556824,4.59900534996583,22.3001452848759,"Chlamydia"
"64","Anas bahamensis","breeding",13.4564989822446,13.4261986590036,40.2785959770109,12.8719069464248,13.9501900483416,"Chlamydia"
"65","Anas crecca","breeding",7.39230353921194,8.03969963117404,19439.9937081788,2.65117523145828,25.5157278981933,"Chlamydia"
"66","Anas crecca","non-breeding",13.1639495023724,14.0514734248726,22046.7618036252,5.5221612460251,25.8270533754019,"Chlamydia"
"67","Anas platyrhynchos","breeding",9.98013461890216,10.5854659434998,43717.974346654,3.26227495040327,26.384961743152,"Chlamydia"
"68","Anas platyrhynchos","non-breeding",12.7758821591002,13.5896836688505,33702.4154987493,4.87011211640222,27.2404200108408,"Chlamydia"
"69","Anas rubripes","breeding",20.963649174546,20.963649174546,20.963649174546,20.963649174546,20.963649174546,"Chlamydia"
"70","Anser albifrons","breeding",7.61402786903755,12.5444497486549,702.489185924675,5.99760523964233,25.3963273492309,"Chlamydia"
"71","Anser albifrons","non-breeding",25.0325754383857,26.2873779927782,12328.780278613,15.3106646136554,43.2109036208638,"Chlamydia"
"72","Anser anser","breeding",10.0966764824399,10.3198079849371,14747.0056104752,3.91730123412161,21.9024924648695,"Chlamydia"
"73","Anser anser","non-breeding",12.8557264335403,14.0438970125718,5884.39284826759,7.21065540622721,25.3370068255693,"Chlamydia"
"74","Anser brachyrhynchus","breeding",12.1042651215753,13.6421971199773,81.853182719864,8.41932045584175,20.4697458468089,"Chlamydia"
"75","Anser caerulescens","breeding",22.9181916949622,21.1233862884224,337.974180614759,10.0809707726704,31.8003459336093,"Chlamydia"
"76","Anser canagicus","breeding",10.7451885302748,10.7746034001441,32.3238102004323,10.5459926649429,11.0326290052146,"Chlamydia"
"77","Anser cygnoid","breeding",10.7019277166112,11.681605967183,233.63211934366,10.2808615782425,15.798019946423,"Chlamydia"
"78","Anser erythropus","breeding",7.08774713173225,7.85980305458038,117.897045818706,6.34563647152829,9.82294984659908,"Chlamydia"
"79","Anser erythropus","non-breeding",25.6653209609487,26.6775489090313,8483.46055307194,13.4529119870722,43.4807769328783,"Chlamydia"
"80","Anser fabalis","breeding",4.28828458822146,4.39051240555407,1365.44935812731,2.37945351649306,11.110835635305,"Chlamydia"
"81","Anser fabalis","non-breeding",11.0998592970094,11.6028391282559,4467.0930643785,8.19398053463303,21.9623474486066,"Chlamydia"
"82","Anser indicus","breeding",11.8311225056232,11.5644351849503,589.786194432467,4.61072878874314,15.9976534463653,"Chlamydia"
"83","Anthropoides virgo","breeding",19.0237025721976,18.6311431623968,3670.33520299216,11.4012185133179,24.5869822182236,"Chlamydia"
"84","Anthus campestris","breeding",18.3595912444319,19.2911554189831,30383.5697848984,8.32479892253773,35.1550401285265,"Chlamydia"
"85","Anthus cervinus","breeding",6.50334931332161,6.33548731694623,836.284325836902,4.21947648504832,10.9431887162294,"Chlamydia"
"86","Anthus cervinus","non-breeding",30.3629470765575,29.3744919331182,3407.44106424171,14.1950318774749,36.9058919798305,"Chlamydia"
"87","Anthus hodgsoni","breeding",7.81494996985359,7.79778269058337,1115.08292475342,4.88589036639439,9.48215943844448,"Chlamydia"
"88","Anthus petrosus","breeding",21.2736452647109,20.5161004154143,6195.86232545512,8.60766376939066,31.8157238952872,"Chlamydia"
"89","Anthus pratensis","breeding",16.0598190172365,16.1506349917884,33593.3207829199,5.28196007462717,36.6661248431511,"Chlamydia"
"90","Anthus pratensis","non-breeding",24.0344366131755,25.1296828953666,46640.6914538004,10.9982591121149,40.0231797260399,"Chlamydia"
"91","Anthus spinoletta","breeding",17.1092631830815,17.461207325657,7735.31484526604,8.54749264379895,33.4300883483257,"Chlamydia"
"92","Anthus spinoletta","non-breeding",21.873976407276,22.4052785193852,33607.9177790778,8.54749264379895,36.5812921477705,"Chlamydia"
"93","Anthus trivialis","breeding",12.7206948292006,13.2418902147281,46028.8103863948,4.4950854217958,33.9325105940789,"Chlamydia"
"94","Apus affinis","breeding",24.35609415271,24.0796483318592,915.02663661065,11.0010384398938,30.6450587253271,"Chlamydia"
"95","Apus apus","breeding",10.7635840116239,11.6341644680264,47199.805246783,3.83644175791764,28.2589303957358,"Chlamydia"
"96","Apus caffer","breeding",24.9411668129241,24.8057230299373,1265.0918745268,18.1538539705351,30.1677497741322,"Chlamydia"
"97","Apus pallidus","breeding",24.8517992156098,24.0228762034456,12323.7354923676,9.22767156704675,33.4397316361909,"Chlamydia"
"98","Apus pallidus","non-breeding",31.0669508808564,30.5179769856946,396.733700814029,26.4290762275322,32.5145097047191,"Chlamydia"
"99","Aquila adalberti","breeding",28.0079125834528,28.2774721018759,2120.81040764069,20.7683175769195,35.5541035119606,"Chlamydia"
"100","Aquila adalberti","non-breeding",28.7204410289257,28.502012501401,2223.15697510928,20.3921548673625,35.2320235458108,"Chlamydia"
"101","Aquila chrysaetos","breeding",19.9811120403443,20.4172558861358,29033.3378700852,6.2128483132351,41.11093318589,"Chlamydia"
"102","Aquila chrysaetos","non-breeding",17.5507045348786,18.8128790869472,70378.9806642694,6.77031655000413,42.8699090594017,"Chlamydia"
"103","Aquila fasciata","breeding",33.1304193790163,32.4978106905472,8319.43953678008,21.0048371370614,41.9783188443051,"Chlamydia"
"104","Aquila fasciata","non-breeding",32.4692706137762,31.6993947704228,16515.3846753903,14.411311428389,43.3532412893569,"Chlamydia"
"105","Aquila heliaca","breeding",12.6840350820207,12.769997045949,4584.42893949568,6.87626560834514,21.3381032377909,"Chlamydia"
"106","Aquila heliaca","non-breeding",16.4179760516645,17.389049656579,5008.04630109476,8.29854585547227,30.1879751191163,"Chlamydia"
"107","Aquila nipalensis","breeding",14.6708060993416,14.9348618580149,1896.7274559679,9.85650423518822,22.4049056169975,"Chlamydia"
"108","Aratinga nenday","breeding",40.7891729608534,40.7891729608534,40.7891729608534,40.7891729608534,40.7891729608534,"Chlamydia"
"109","Ardea alba","breeding",9.28213560826377,10.2147732840913,9234.15504881851,5.71799291992863,25.2177064125569,"Chlamydia"
"110","Ardea alba","non-breeding",14.5884112019035,14.77094852982,8581.92109582541,7.02879362515643,24.2670172568982,"Chlamydia"
"111","Ardea cinerea","breeding",12.5453915344986,13.1064673023854,38572.3332709202,5.33406995266238,29.7934076614871,"Chlamydia"
"112","Ardea cinerea","non-breeding",16.8905644369222,17.7623777840039,31634.794833311,6.90193148833208,31.037905587926,"Chlamydia"
"113","Ardea purpurea","breeding",9.4850876771405,10.056682602919,8819.71064275996,4.36756513536974,20.6717437710486,"Chlamydia"
"114","Ardenna gravis","non-breeding",13.261239703925,12.4747555238775,1971.01137277264,6.92770760610468,17.5786866692108,"Chlamydia"
"115","Ardenna grisea","non-breeding",8.9732791918476,9.36858621655699,4703.03028071161,5.21427297198711,15.3066327582685,"Chlamydia"
"116","Ardeola ralloides","breeding",12.0298195389781,13.0293228416666,4612.38028594999,6.11626720666617,22.218844234587,"Chlamydia"
"117","Arenaria interpres","breeding",3.97436940881394,4.44776455695869,858.418559493028,1.34146084084453,15.1993895487314,"Chlamydia"
"118","Arenaria interpres","non-breeding",8.70621368215842,9.24805650200696,3162.83532368638,3.89144228219544,15.4504595682798,"Chlamydia"
"119","Argya altirostris","breeding",23.9727300226693,24.0408019427363,120.204009713682,23.1880453778362,25.0051494147339,"Chlamydia"
"120","Asio flammeus","breeding",13.2854344258463,14.1166503195714,24266.5218993433,4.84048976237682,37.7527280497049,"Chlamydia"
"121","Asio flammeus","non-breeding",20.2531924014466,21.3506787852265,36787.2195469452,10.0392390333057,39.161850229733,"Chlamydia"
"122","Asio otus","breeding",17.5542391912789,18.1876402876603,58618.7646471292,5.83178730114381,37.4723315908686,"Chlamydia"
"123","Asio otus","non-breeding",18.3463937194297,19.0735592935989,62847.3778724084,9.24849916264721,38.1929830329005,"Chlamydia"
"124","Athene noctua","breeding",30.1254007899392,31.1352597895147,73230.1310249386,15.3433806704837,50.74129686733,"Chlamydia"
"125","Athene noctua","non-breeding",28.6663191015285,29.7706207952689,99850.662147332,15.9904630177506,51.0444638838058,"Chlamydia"
"126","Aythya affinis","breeding",10.7547918761334,10.7547918761334,10.7547918761334,10.7547918761334,10.7547918761334,"Chlamydia"
