"","species","season","median","mean","sum","min","max","pathogen"
"1","Acanthis flammea","breeding",23.1068123595885,22.3507891945968,29190.1306881434,2.69975745453344,45.464915807892,"Escherichia"
"2","Accipiter badius","breeding",21.3669774941587,23.8546839128495,166.982787389947,13.3757827534434,35.4961869928784,"Escherichia"
"3","Accipiter badius","non-breeding",25.9421060302903,24.075803129249,288.909637550988,13.3757827534434,30.7699073516182,"Escherichia"
"4","Accipiter brevipes","breeding",26.010730726571,26.1547007400631,8552.58714200064,9.18092289150156,39.174001543064,"Escherichia"
"5","Accipiter gentilis","breeding",39.9939879274098,38.9010082109327,125728.058537735,9.2263068287502,65.12426771899,"Escherichia"
"6","Accipiter gentilis","non-breeding",40.7362112116451,39.9356732529827,163696.324663976,7.8222788283247,62.8387858135824,"Escherichia"
"7","Accipiter nisus","breeding",32.3665817073106,31.4929853299328,113910.127938367,5.81838708099174,52.1902819281264,"Escherichia"
"8","Accipiter nisus","non-breeding",30.4838129334075,29.4497898627455,113087.193072943,5.75724678505652,47.3308563310013,"Escherichia"
"9","Acridotheres cristatellus","breeding",18.095245287164,18.095245287164,36.190490574328,18.0593248298545,18.1311657444735,"Escherichia"
"10","Acridotheres cristatellus","non-breeding",18.1311657444735,18.5303491913007,92.6517459565035,18.0361188117321,19.6522755401509,"Escherichia"
"11","Acridotheres tristis","breeding",23.6296105501379,24.87706744917,273.64774194087,21.1990586692897,34.4451818446245,"Escherichia"
"12","Acridotheres tristis","non-breeding",16.3529219907605,16.3762328846563,65.5049315386252,13.2120738951483,19.5870136619559,"Escherichia"
"13","Acrocephalus agricola","breeding",18.1263940700647,18.3154526309686,5659.4748629693,12.0772459693222,25.6086228281193,"Escherichia"
"14","Acrocephalus arundinaceus","breeding",18.8534903266663,18.0987531439456,46206.1167764931,3.61076718097984,30.5283533136378,"Escherichia"
"15","Acrocephalus dumetorum","breeding",20.5936817391778,20.2774234163781,28145.0637019328,2.14155768761663,31.2688608689184,"Escherichia"
"16","Acrocephalus dumetorum","non-breeding",17.0180277834797,17.4285311662278,30831.0716330569,2.70876243565146,28.1203298946433,"Escherichia"
"17","Acrocephalus melanopogon","breeding",13.6954603708894,13.6076340878343,3034.50240158704,3.08565880967564,22.4439982395818,"Escherichia"
"18","Acrocephalus melanopogon","non-breeding",9.60423719874471,9.76192875043787,3914.53342892559,3.86880452883355,22.2920329671778,"Escherichia"
"19","Acrocephalus paludicola","breeding",17.3425339963269,17.195460226415,859.773011320751,14.2041319117816,18.4049752192191,"Escherichia"
"20","Acrocephalus palustris","breeding",16.2886660470185,15.9734325106504,38831.4144333911,2.089778609546,25.2371781051014,"Escherichia"
"21","Acrocephalus schoenobaenus","breeding",18.0459909828966,18.2162993770787,53373.7571748406,2.28225358537211,39.3623077829077,"Escherichia"
"22","Acrocephalus scirpaceus","breeding",13.840532946987,13.6205350068154,33724.4446768749,2.67497270714472,27.5703559602447,"Escherichia"
"23","Actitis hypoleucos","breeding",23.1515710057174,22.8380075967667,72190.9420133794,3.10536595206897,44.4610993419684,"Escherichia"
"24","Actitis hypoleucos","non-breeding",14.0085017985631,14.029513779057,3507.37844476425,7.53867197868203,18.8562171340858,"Escherichia"
"25","Actitis macularius","breeding",9.0661700882693,9.0661700882693,9.0661700882693,9.0661700882693,9.0661700882693,"Escherichia"
"26","Aegithalos caudatus","breeding",22.8320244952337,22.3997192550196,76674.239009932,3.63470437047847,42.2562083171381,"Escherichia"
"27","Aegithalos caudatus","non-breeding",24.2222101521561,23.4828826382711,89469.782851813,3.63470437047847,41.4842000448259,"Escherichia"
"28","Aegolius funereus","breeding",32.7690463223536,32.3902014994328,44666.0878677178,5.2462360091762,49.98697123275,"Escherichia"
"29","Aegolius funereus","non-breeding",36.0076609159379,35.0747819410886,82566.0366893225,6.22877779619022,53.929236865686,"Escherichia"
"30","Aegypius monachus","breeding",50.4279429361335,49.2973137279056,6457.94809835563,33.183628339266,60.4002295872361,"Escherichia"
"31","Aegypius monachus","non-breeding",49.8461256968854,48.672305638341,24238.8082078938,21.8156018643717,63.3563699262805,"Escherichia"
"32","Agapornis fischeri","breeding",16.0706198981709,16.0706198981709,16.0706198981709,16.0706198981709,16.0706198981709,"Escherichia"
"33","Agapornis personatus","breeding",16.3655230713199,16.3655230713199,16.3655230713199,16.3655230713199,16.3655230713199,"Escherichia"
"34","Aix galericulata","breeding",33.1626215742441,33.1852933614654,10187.8850619699,10.883307716704,58.1487013363497,"Escherichia"
"35","Aix sponsa","breeding",41.4639556489927,41.4793433473928,2364.32257080139,28.0576518418341,51.9369719676093,"Escherichia"
"36","Alaemon alaudipes","non-breeding",13.2148194171978,13.2148194171978,13.2148194171978,13.2148194171978,13.2148194171978,"Escherichia"
"37","Alauda arvensis","breeding",24.313737933906,23.5102786730209,87223.1338769077,3.66486086443431,41.9513499187839,"Escherichia"
"38","Alauda arvensis","non-breeding",18.271081200735,18.4130555531909,32057.1297181054,4.81769927296746,34.7807426431127,"Escherichia"
"39","Alauda leucoptera","breeding",29.90742854616,29.8355678777472,2118.32531932005,26.4648218029925,32.7678962488591,"Escherichia"
"40","Alaudala rufescens","breeding",22.978154187089,22.4986641180376,6052.14064775212,10.2131407424639,30.9964058877569,"Escherichia"
"41","Alca torda","breeding",26.7745320004695,26.8156167105064,5416.75457552229,5.59465320505202,47.0976817760568,"Escherichia"
"42","Alca torda","non-breeding",24.0391067184422,23.6499038578203,13149.3465449481,5.59465320505202,42.0870607144822,"Escherichia"
"43","Alcedo atthis","breeding",24.8102637841041,24.120079760873,59335.3962117475,5.5066771381576,39.6379599422296,"Escherichia"
"44","Alcedo atthis","non-breeding",19.9427108862421,19.9670421564105,37617.9074226774,5.84793156230473,37.88130123766,"Escherichia"
"45","Alectoris barbara","breeding",35.517060298227,35.7192345220558,750.103924963171,29.5688197703032,40.9315635122456,"Escherichia"
"46","Alectoris barbara","non-breeding",36.6700135093102,36.6989992452017,807.377983394437,32.4375928546356,42.1721134616131,"Escherichia"
"47","Alectoris chukar","breeding",42.2702385724491,41.9307968963915,16814.249555453,22.9892004871492,56.7424908085598,"Escherichia"
"48","Alectoris chukar","non-breeding",42.2398772355654,41.5217521201432,25535.8775538881,14.9474700807347,58.0855454578614,"Escherichia"
"49","Alectoris graeca","breeding",37.7772958739368,37.9151072709579,7734.68188327541,20.3294242281169,61.0363927401799,"Escherichia"
"50","Alectoris rufa","breeding",39.470597851403,39.0634053168912,24844.3257815428,15.2412894551311,62.1185133080547,"Escherichia"
"51","Alle alle","breeding",37.987835840298,37.987835840298,37.987835840298,37.987835840298,37.987835840298,"Escherichia"
"52","Alle alle","non-breeding",19.5054318531873,19.7064419911069,7843.16391246056,3.85776923666251,41.9172692712278,"Escherichia"
"53","Alopochen aegyptiaca","breeding",42.6149887384999,42.168740413291,17584.3647523424,19.1384502052027,51.5459314080784,"Escherichia"
"54","Amandava amandava","breeding",12.7009891729045,12.9059157846782,374.271557755669,7.1259005948912,17.2240381124767,"Escherichia"
"55","Amazona aestiva","breeding",29.2900801413586,29.2900801413586,29.2900801413586,29.2900801413586,29.2900801413586,"Escherichia"
"56","Amazona oratrix","breeding",30.6079004541369,30.6079004541369,61.2158009082738,29.8432680295125,31.3725328787612,"Escherichia"
"57","Ammomanes cinctura","non-breeding",9.54864314862044,9.83976443518074,59.0385866110844,9.02600067838716,11.4861483517749,"Escherichia"
"58","Ammomanes deserti","breeding",14.4168962155984,14.2919113092346,57.1676452369386,12.3871437849653,15.9467090207764,"Escherichia"
"59","Ammomanes deserti","non-breeding",15.1331221168739,14.4345342123251,303.125218458826,10.0307632445263,18.6159766854559,"Escherichia"
"60","Ammoperdix griseogularis","breeding",29.9627985953124,31.6050827886374,979.757566447759,24.1912748009423,44.1134814181468,"Escherichia"
"61","Ammoperdix griseogularis","non-breeding",32.5884226565333,34.5303473397042,2175.41188240136,22.6891236692687,46.932474665443,"Escherichia"
"62","Anas acuta","breeding",48.0838057718788,46.9247854290788,38384.4744809864,15.0518103147601,66.8663324414424,"Escherichia"
"63","Anas acuta","non-breeding",31.7319820791378,31.3432090379178,32847.6830717379,10.9189152531017,50.356869929862,"Escherichia"
"64","Anas bahamensis","breeding",24.7750727907052,24.8531717394726,74.5595152184177,23.7020087503946,26.0824336773179,"Escherichia"
"65","Anas crecca","breeding",44.0694496085009,43.1220231403594,104269.051953389,8.09774287908169,67.1072532480015,"Escherichia"
"66","Anas crecca","non-breeding",31.6541482908438,31.2649328377126,49054.679622371,8.09774287908169,52.96262191345,"Escherichia"
"67","Anas platyrhynchos","breeding",48.1811763118456,46.6552216721314,192686.065505903,10.7560272521165,69.4891672880939,"Escherichia"
"68","Anas platyrhynchos","non-breeding",40.5888120181638,39.8524732739075,98834.1337192905,10.7560272521165,63.2702537164233,"Escherichia"
"69","Anas rubripes","breeding",15.1247087706574,15.1247087706574,15.1247087706574,15.1247087706574,15.1247087706574,"Escherichia"
"70","Anser albifrons","breeding",65.3279361182762,56.4143955958057,3159.20615336512,33.9637747339974,70.6266000560899,"Escherichia"
"71","Anser albifrons","non-breeding",36.5860800501335,34.9341196310986,16384.1021069852,9.2153376686946,50.2434250272857,"Escherichia"
"72","Anser anser","breeding",43.2031249926156,41.3981190475152,59157.9121188992,9.78043853123503,62.4389170027152,"Escherichia"
"73","Anser anser","non-breeding",35.9736563329231,35.1517870059736,14728.5987555029,12.2451098404341,54.7205964597507,"Escherichia"
"74","Anser brachyrhynchus","breeding",42.004179670175,40.8582490276748,245.149494166049,19.5156183726774,54.6902243618558,"Escherichia"
"75","Anser caerulescens","breeding",35.206396010289,37.9628850524108,607.406160838573,15.1606695275644,57.7582263266872,"Escherichia"
"76","Anser canagicus","breeding",33.6550671937903,33.8200128870181,101.460038661054,33.4416430231072,34.3633284441567,"Escherichia"
"77","Anser cygnoid","breeding",36.7050714182269,34.1423703272358,682.847406544717,23.0557548551261,39.0145024519654,"Escherichia"
"78","Anser erythropus","breeding",62.8044269605566,61.8336785937649,927.505178906474,54.8765308731126,65.1420403382054,"Escherichia"
"79","Anser erythropus","non-breeding",36.3490262771533,35.5097035029874,11292.08571395,15.688356501162,51.4773106765224,"Escherichia"
"80","Anser fabalis","breeding",56.8086698120396,56.9540993204574,17712.7248886622,35.07267389524,71.224579938051,"Escherichia"
"81","Anser fabalis","non-breeding",36.8370607866158,36.6242475620056,14100.3353113721,16.8247511146186,45.1379200538813,"Escherichia"
"82","Anser indicus","breeding",34.6107512519015,35.2064050455868,1795.52665732492,24.453768776214,55.8386456560045,"Escherichia"
"83","Anthropoides virgo","breeding",46.0278113570158,45.4409197547295,8951.86119168172,34.9306720649199,54.1248035327333,"Escherichia"
"84","Anthus campestris","breeding",17.6164199878331,16.9670780625078,26723.1479484497,3.82982631578674,30.522908112862,"Escherichia"
"85","Anthus cervinus","breeding",34.9335612885979,35.0558903507678,4627.37752630134,20.0681831326049,45.1369480718675,"Escherichia"
"86","Anthus cervinus","non-breeding",11.9664707255899,11.9758029815355,1389.19314585811,6.44773975486154,21.5102139286199,"Escherichia"
"87","Anthus hodgsoni","breeding",27.9838795025114,28.0443658230703,4010.34431269905,23.3827051033743,35.4062701892585,"Escherichia"
"88","Anthus petrosus","breeding",14.7037631386756,16.6245836771275,5020.62427049249,3.37448007415421,36.8185999848273,"Escherichia"
"89","Anthus pratensis","breeding",22.0857522480882,22.0479387266249,45859.7125513798,3.04105572432773,46.9145210783867,"Escherichia"
"90","Anthus pratensis","non-breeding",14.9216488111416,15.0309909360141,27897.5191772421,3.88273253535545,31.1214900988779,"Escherichia"
"91","Anthus spinoletta","breeding",15.0192861191926,15.4585460875524,6848.13591678572,4.34678901114749,29.3103700875591,"Escherichia"
"92","Anthus spinoletta","non-breeding",13.7906079912637,14.0346943513136,21052.0415269704,3.70859646782941,29.3103700875591,"Escherichia"
"93","Anthus trivialis","breeding",19.1964433358873,19.0218332903964,66119.8925174177,2.56965447938406,34.820864667941,"Escherichia"
"94","Apus affinis","breeding",12.3844287726392,12.2981911251059,467.331262754024,7.15298747903224,22.086121479152,"Escherichia"
"95","Apus apus","breeding",22.0890333824185,21.6082856228501,87664.8147719027,3.42843108707662,39.9519532479879,"Escherichia"
"96","Apus caffer","breeding",10.021917358329,10.271599702896,523.851584847695,6.92369631952133,13.9187878267454,"Escherichia"
"97","Apus pallidus","breeding",12.7225761386008,13.028729221414,6683.73809058536,4.90185727110722,21.8938334649606,"Escherichia"
"98","Apus pallidus","non-breeding",12.3483690082358,12.0172564475928,156.224333818706,9.86044785785135,12.6665850541296,"Escherichia"
"99","Aquila adalberti","breeding",38.7393388956449,37.3299621105782,2799.74715829336,27.0960489852585,44.9652545069846,"Escherichia"
"100","Aquila adalberti","non-breeding",36.3520523329946,36.8310319893533,2872.82049516956,27.7186456324672,45.5045702149739,"Escherichia"
"101","Aquila chrysaetos","breeding",45.1043660757284,44.9573273758567,63929.3195284682,10.667134835983,69.7503479705694,"Escherichia"
"102","Aquila chrysaetos","non-breeding",50.088568895795,48.7479086257981,182365.926169111,10.667134835983,68.0914031859216,"Escherichia"
"103","Aquila fasciata","breeding",32.1479818760988,32.8761529177773,8416.29514695098,20.6261063651361,42.1738996179345,"Escherichia"
"104","Aquila fasciata","non-breeding",31.9938342644542,32.5172549954702,16941.48985264,18.7065707718552,47.0648517156293,"Escherichia"
"105","Aquila heliaca","breeding",43.5210049987007,44.3188198808984,15910.4563372425,31.1690384431411,55.1527252933823,"Escherichia"
"106","Aquila heliaca","non-breeding",37.7630941757687,36.5449455479694,10524.9443178152,12.6895482215068,48.6016707085671,"Escherichia"
"107","Aquila nipalensis","breeding",47.7754306669681,47.5013619886638,6032.6729725603,35.6105465986844,54.032472984537,"Escherichia"
"108","Aratinga nenday","breeding",21.2440126290826,21.2440126290826,21.2440126290826,21.2440126290826,21.2440126290826,"Escherichia"
"109","Ardea alba","breeding",41.0760862224368,39.4821050922444,35691.8230033889,10.3850493528662,52.7469532349762,"Escherichia"
"110","Ardea alba","non-breeding",30.223630805347,30.4005121912679,17662.6975831266,14.1839830143034,47.4039586075804,"Escherichia"
"111","Ardea cinerea","breeding",45.4595032701852,43.6285308837317,128398.766390822,9.85796009430692,64.2279177521203,"Escherichia"
"112","Ardea cinerea","non-breeding",35.7155440042889,35.4948613077017,63216.3479890168,9.85796009430692,58.2600881102339,"Escherichia"
"113","Ardea purpurea","breeding",33.6512002529336,32.9485881963446,28895.9118481942,10.0011313984529,47.3703662493471,"Escherichia"
"114","Ardenna gravis","non-breeding",17.3975466456546,16.9369290076473,2676.03478320827,5.78753343796736,29.7509594078302,"Escherichia"
"115","Ardenna grisea","non-breeding",18.5890287511033,18.6986333429378,9386.7139381548,5.64633715930084,30.0482012938894,"Escherichia"
"116","Ardeola ralloides","breeding",25.5286858833143,25.2837896101756,8950.46152200216,10.9170377646399,38.0533637266282,"Escherichia"
"117","Arenaria interpres","breeding",29.0533275289715,29.0358630481064,5603.92156828453,4.10208627909796,53.6025416008254,"Escherichia"
"118","Arenaria interpres","non-breeding",15.8020107500134,15.5793673391482,5328.14362998869,5.36103716450206,24.0669746821854,"Escherichia"
"119","Argya altirostris","breeding",16.6680514059362,17.0838556429716,85.4192782148581,16.3364488262834,18.2974201136635,"Escherichia"
"120","Asio flammeus","breeding",37.4836892302422,36.6789720913262,63051.1530249897,7.60228296075322,57.5131325381156,"Escherichia"
"121","Asio flammeus","non-breeding",29.0233944745628,28.2496169233481,48674.0899589288,7.85061460719789,41.2637358617706,"Escherichia"
"122","Asio otus","breeding",33.6921899531242,32.5735464132683,104984.540089964,7.41716061003907,54.4355637962643,"Escherichia"
"123","Asio otus","non-breeding",32.8247420508138,31.9184647886535,105171.341478613,7.91850646942294,50.2481223234793,"Escherichia"
"124","Athene noctua","breeding",32.9318524735726,32.4848723480007,76404.4197624976,10.6450968582276,51.0782570757124,"Escherichia"
"125","Athene noctua","non-breeding",34.7914325680242,34.032955370619,114146.532313056,9.18583098909931,53.9201377939905,"Escherichia"
"126","Aythya affinis","breeding",31.1029559482229,31.1029559482229,31.1029559482229,31.1029559482229,31.1029559482229,"Escherichia"
"127","Aythya collaris","breeding",38.8106120034335,38.8106120034335,77.6212240068671,20.1142674171696,57.5069565896974,"Escherichia"
"128","Aythya ferina","breeding",48.2228558770628,46.9919373153575,90694.4390186399,14.3196940315087,65.1637895822006,"Escherichia"
"129","Aythya ferina","non-breeding",38.5982617782258,38.1412359632167,56220.1818097814,13.4332973577635,56.535995300201,"Escherichia"
"130","Aythya fuligula","breeding",47.139706129427,46.1511071509981,99594.0892318539,9.6129922725652,70.4516104166087,"Escherichia"
"131","Aythya fuligula","non-breeding",35.4687697460362,35.9324444285019,32518.8622077942,12.8505542203528,54.9842675561011,"Escherichia"
"132","Aythya marila","breeding",54.2969126170972,52.9607196614573,10380.3010536456,11.0745264984857,69.7817106522961,"Escherichia"
"133","Aythya marila","non-breeding",34.1545816023767,33.0382186123518,22135.6064702757,9.1511551772515,52.2127600278991,"Escherichia"
"134","Aythya nyroca","breeding",34.559050974638,33.4278189377765,15042.5185219994,10.2860573674571,49.2263754195797,"Escherichia"
"135","Aythya nyroca","non-breeding",30.5763029577383,31.3657166379367,33624.0482358681,10.2860573674571,55.1612911564478,"Escherichia"
"136","Bombycilla garrulus","breeding",32.4693304327284,32.3975730903733,21317.6030934657,7.66820709610586,46.956784195856,"Escherichia"
"137","Bombycilla garrulus","non-breeding",24.5667147849898,24.5671920152769,67215.8373537976,3.55267690982813,37.4449085753893,"Escherichia"
"138","Bonasa bonasia","breeding",50.2499165350495,48.9226940985087,82092.2806972975,16.9888258578385,64.7141394117588,"Escherichia"
"139","Bonasa bonasia","non-breeding",50.0613754955128,48.9619498359233,115158.506014092,16.9888258578385,68.7771345639733,"Escherichia"
"140","Botaurus stellaris","breeding",46.2399221308725,45.9466615117097,86517.5636265493,12.7212424002931,58.8036080275994,"Escherichia"
"141","Botaurus stellaris","non-breeding",35.1573397774376,34.8099428349891,21547.3546148583,17.293121153581,51.4078283884523,"Escherichia"
"142","Branta canadensis","breeding",39.7509350381148,40.8462310633994,29327.5939035208,9.93111466408076,60.6633189336651,"Escherichia"
"143","Branta hutchinsii","breeding",36.101197743815,36.2186352952444,507.060894133422,35.233145200627,37.4614442648972,"Escherichia"
"144","Branta leucopsis","breeding",42.093174197996,41.2223865396019,14221.7233561627,10.1777670837142,68.5201678619137,"Escherichia"
"145","Branta ruficollis","non-breeding",36.1807901551148,35.1169539912948,11869.5304490576,17.0580496906643,49.7235634260374,"Escherichia"
"146","Bubo bubo","breeding",47.1785958295242,46.13507620038,91716.5314863554,11.0650534857178,65.7728081926881,"Escherichia"
"147","Bubo bubo","non-breeding",50.5185341477324,49.2836722571568,186292.281132053,11.0650534857178,69.7298910207589,"Escherichia"
"148","Bubo scandiacus","breeding",60.2533299492684,57.9079548297111,1447.69887074278,27.1699377788402,70.5631950819357,"Escherichia"
"149","Bubo scandiacus","non-breeding",51.9985577069136,51.5270374162899,68582.4868010818,12.4034307949739,67.6376736237296,"Escherichia"
"150","Bubulcus ibis","breeding",30.4612194445574,30.8539369664355,12434.1365974735,15.7906405703586,47.2562030411145,"Escherichia"
"151","Bucanetes githagineus","breeding",18.8022877296652,20.4885498712366,594.167946265862,14.0549357050906,28.1139772996979,"Escherichia"
"152","Bucanetes githagineus","non-breeding",19.5944848046569,20.9881070499222,1364.22695824494,12.9663795563544,29.1393019420756,"Escherichia"
"153","Bucanetes mongolicus","breeding",25.8997499383814,26.1976318185863,288.173950004449,23.8403170919479,28.6164374440366,"Escherichia"
"154","Bucephala clangula","breeding",47.5516168157006,46.8066766089974,72831.1888036,8.97812576500817,62.3993913725582,"Escherichia"
"155","Bucephala clangula","non-breeding",36.2117658780547,34.4550023830698,35488.6524545619,8.97812576500817,54.3425809591933,"Escherichia"
"156","Burhinus oedicnemus","breeding",24.3141119593212,24.8143624134006,18610.7718100505,9.76567682483291,41.988914151146,"Escherichia"
"157","Burhinus oedicnemus","non-breeding",21.3701366924476,21.853728879163,5681.96950858238,9.02288280776829,29.9524267045971,"Escherichia"
"158","Buteo buteo","breeding",38.2124021426582,36.9860763112731,146427.87611633,9.10035837914715,58.4025552418135,"Escherichia"
"159","Buteo buteo","non-breeding",32.2232897240428,31.6779479642157,82996.2236662452,9.40483619426711,50.9872782448235,"Escherichia"
"160","Buteo lagopus","breeding",48.1797948911911,46.0904747098836,19588.4517517005,7.00572161498772,64.7145686331475,"Escherichia"
"161","Buteo lagopus","non-breeding",36.1760860488018,35.4552888272704,66195.0242405138,9.30632195095172,52.6393893260033,"Escherichia"
"162","Buteo rufinus","breeding",36.4000861562302,35.4250597721585,29650.7750292967,11.0867503635717,51.42214089563,"Escherichia"
"163","Buteo rufinus","non-breeding",29.135136327613,29.8942078762288,10672.2322118137,15.5950207293059,42.9061236824603,"Escherichia"
"164","Cairina moschata","breeding",47.9497894672489,45.65102506919,3834.68610581196,24.6120817989289,55.6855273125626,"Escherichia"
"165","Calandrella brachydactyla","breeding",18.2386093155548,18.4644456970661,15768.6366252944,6.09885000728801,33.046595295772,"Escherichia"
"166","Calandrella brachydactyla","non-breeding",18.2060308948601,17.9246247669031,358.492495338062,11.2221195477663,25.81130816659,"Escherichia"
"167","Calandrella rufescens","non-breeding",18.9133637466469,18.9678733813511,6487.01269642209,7.74595917287919,30.6100279986777,"Escherichia"
"168","Calcarius lapponicus","breeding",33.1605419852901,31.9474997919344,6964.55495464169,3.18303473188479,46.7998978488436,"Escherichia"
