"","species","season","median","mean","sum","min","max","pathogen"
"1","Acanthis flammea","breeding",22.7741673054525,22.5006506877316,29385.8497981774,14.4271603747089,30.1815217298649,"Haemoproteus"
"2","Accipiter badius","breeding",30.8300604462271,32.2152999953646,225.507099967552,28.1575589629115,37.0772198238156,"Haemoproteus"
"3","Accipiter badius","non-breeding",33.4274269319725,32.5539152501182,390.646983001418,28.1575589629115,36.0322171463223,"Haemoproteus"
"4","Accipiter brevipes","breeding",33.2241119735965,33.2752406283122,10881.0036854581,26.1769628053956,38.5101989475588,"Haemoproteus"
"5","Accipiter gentilis","breeding",37.4805761376006,37.5357541013932,121315.557255703,27.9341577453048,48.2545983133422,"Haemoproteus"
"6","Accipiter gentilis","non-breeding",37.7915155177046,37.9120609905176,155401.538000132,27.1809595978151,47.3599545820125,"Haemoproteus"
"7","Accipiter nisus","breeding",30.9347083985277,30.8470652824041,111573.835126456,21.7547990315803,38.5335215649884,"Haemoproteus"
"8","Accipiter nisus","non-breeding",30.1067596480023,29.8792818361516,114736.442250822,21.7547990315803,37.2435695872625,"Haemoproteus"
"9","Acridotheres cristatellus","breeding",15.0050066225737,15.0050066225737,30.0100132451475,14.9817114833341,15.0283017618134,"Haemoproteus"
"10","Acridotheres cristatellus","non-breeding",15.0283017618134,15.1326948666655,75.6634743333277,14.9817114833341,15.3648885596296,"Haemoproteus"
"11","Acridotheres tristis","breeding",17.6282133992641,17.838490249874,196.223392748614,16.7736024887925,20.3618793430542,"Haemoproteus"
"12","Acridotheres tristis","non-breeding",16.7302493107619,16.8032935843272,67.2131743373087,16.202062473689,17.5506132420959,"Haemoproteus"
"13","Acrocephalus agricola","breeding",10.4668665340451,10.5000684338715,3244.5211460663,8.51473253126462,12.7500292171748,"Haemoproteus"
"14","Acrocephalus arundinaceus","breeding",11.6708480829181,11.5221593665964,29416.0728629207,7.37345744578931,14.9294550768993,"Haemoproteus"
"15","Acrocephalus dumetorum","breeding",11.7524463988183,11.7302721571375,16281.6177541069,6.72253913886845,15.0553384073248,"Haemoproteus"
