"","species","season","median","mean","sum","min","max","pathogen"
"1","Acanthis flammea","breeding",29.0066685799182,28.6314450017004,37392.6671722208,21.6158812056933,32.7875610043825,"Leucocytozoon"
"2","Accipiter badius","breeding",31.2358307803173,31.6904231022635,221.832961715845,29.3799017810607,33.9504163367794,"Leucocytozoon"
"3","Accipiter badius","non-breeding",32.2251318177758,31.7838641466399,381.406369759679,29.3799017810607,33.1696846453137,"Leucocytozoon"
"4","Accipiter brevipes","breeding",33.0156371697625,32.963712392397,10779.1339523138,28.685609226464,35.3915398687801,"Leucocytozoon"
"5","Accipiter gentilis","breeding",40.8286083647467,40.6170734115061,131274.381265988,33.2984499746314,45.4487023249642,"Leucocytozoon"
"6","Accipiter gentilis","non-breeding",40.9584192185624,40.7944160691964,167216.311467636,32.5062994558434,44.992293215076,"Leucocytozoon"
"7","Accipiter nisus","breeding",36.6647592721411,36.4219838253535,131738.315496304,28.8871710412151,40.1460388166954,"Leucocytozoon"
"8","Accipiter nisus","non-breeding",36.3035749515757,36.0225954739348,138326.76661991,28.835408124522,39.295675766451,"Leucocytozoon"
"9","Acridotheres cristatellus","breeding",28.5537920367819,28.5537920367819,57.1075840735638,28.5491823076936,28.5584017658701,"Leucocytozoon"
"10","Acridotheres cristatellus","non-breeding",28.5584017658701,28.6518856184432,143.259428092216,28.5406275511421,28.8932377628081,"Leucocytozoon"
"11","Acridotheres tristis","breeding",30.4936224695504,30.7052814368178,337.758095804995,30.0032852796437,32.4042323570187,"Leucocytozoon"
"12","Acridotheres tristis","non-breeding",29.0296204156206,29.0124016718329,116.049606687332,28.2264093782447,29.7639564778457,"Leucocytozoon"
"13","Acrocephalus agricola","breeding",15.1605414767213,15.159564524209,4684.30543798058,14.1423901032751,16.2277545033497,"Leucocytozoon"
"14","Acrocephalus arundinaceus","breeding",16.2197168082809,16.0406470149203,40951.7718290916,12.4817888731836,17.8372977699244,"Leucocytozoon"
"15","Acrocephalus dumetorum","breeding",15.7430123605087,15.6765839945645,21759.0985844555,10.9349868372032,17.2109666242531,"Leucocytozoon"
"16","Acrocephalus dumetorum","non-breeding",15.1848084856932,15.2099636972942,26906.4257805135,11.426431495582,16.7193410214911,"Leucocytozoon"
"17","Acrocephalus melanopogon","breeding",14.7480514719114,14.6662028986137,3270.56324639085,11.7950104492753,16.0815196179278,"Leucocytozoon"
"18","Acrocephalus melanopogon","non-breeding",13.9074847342466,13.897696722384,5572.97638567599,12.1895063835704,16.0856507930423,"Leucocytozoon"
"19","Acrocephalus paludicola","breeding",14.9948083609723,14.969029647535,748.451482376751,14.5049363033339,15.1351677215522,"Leucocytozoon"
"20","Acrocephalus palustris","breeding",27.4691956642973,27.311787921874,66394.9564380756,20.8320231639935,29.2447696974448,"Leucocytozoon"
"21","Acrocephalus schoenobaenus","breeding",15.0630378230807,15.0114786017627,43983.6323031646,10.7914578157433,17.8456463095713,"Leucocytozoon"
"22","Acrocephalus scirpaceus","breeding",15.9219814296703,15.8132207347197,39153.534539166,12.4810078803598,18.0665462222116,"Leucocytozoon"
"23","Actitis hypoleucos","breeding",18.0441221289033,17.9201262266067,56645.5190023039,13.0118024827844,20.9833996730063,"Leucocytozoon"
"24","Actitis hypoleucos","non-breeding",16.4919910045681,16.4612831301237,4115.32078253093,14.9765316249981,17.3598356875205,"Leucocytozoon"
"25","Actitis macularius","breeding",14.7703430804212,14.7703430804212,14.7703430804212,14.7703430804212,14.7703430804212,"Leucocytozoon"
"26","Aegithalos caudatus","breeding",29.9002862323403,29.7102694897074,101698.252463268,23.180509580195,33.3570913528542,"Leucocytozoon"
"27","Aegithalos caudatus","non-breeding",30.1728673030083,29.9207162498987,113997.928912114,23.180509580195,33.170164340079,"Leucocytozoon"
"28","Aegolius funereus","breeding",33.8428272353473,33.7357030938594,46521.5345664322,25.9966910578853,36.7838976972506,"Leucocytozoon"
"29","Aegolius funereus","non-breeding",34.4507707682272,34.2129859595543,80537.3689487908,26.6908543237655,37.5632670673537,"Leucocytozoon"
"30","Aegypius monachus","breeding",56.2940026358866,56.1215868447565,7351.9278766631,53.3745564549697,58.0985755764615,"Leucocytozoon"
"31","Aegypius monachus","non-breeding",56.233073850685,55.9979373839223,27886.9728171933,50.9576184672003,58.4974270699454,"Leucocytozoon"
"32","Agapornis fischeri","breeding",32.7498959586855,32.7498959586855,32.7498959586855,32.7498959586855,32.7498959586855,"Leucocytozoon"
"33","Agapornis personatus","breeding",33.0505171368086,33.0505171368086,33.0505171368086,33.0505171368086,33.0505171368086,"Leucocytozoon"
"34","Aix galericulata","breeding",33.779295560343,33.7502804755048,10361.33610598,28.5412076210385,37.9906791982699,"Leucocytozoon"
"35","Aix sponsa","breeding",26.1221389593291,26.1209276178656,1488.89287421834,24.1744778148774,27.6230974164892,"Leucocytozoon"
"36","Alaemon alaudipes","non-breeding",30.0707675424118,30.0707675424118,30.0707675424118,30.0707675424118,30.0707675424118,"Leucocytozoon"
"37","Alauda arvensis","breeding",28.6969862144599,28.4578033056879,105578.450264102,21.9962651290556,31.7497922085205,"Leucocytozoon"
"38","Alauda arvensis","non-breeding",27.4817957523447,27.4039299383502,47710.2420226677,23.0183303662941,30.5468810376513,"Leucocytozoon"
"39","Alauda leucoptera","breeding",28.6824961479715,28.6538699325413,2034.42476521043,28.0567466663888,29.1660699988059,"Leucocytozoon"
"40","Alaudala rufescens","breeding",25.7376870201169,25.5781482088464,6880.52186817967,22.7929980869885,27.0926567594201,"Leucocytozoon"
"41","Alca torda","breeding",32.1361104901038,31.9188385636314,6447.60538985354,25.7708581407062,35.5365662799096,"Leucocytozoon"
"42","Alca torda","non-breeding",31.6082760050315,31.3638255955517,17438.2870311267,25.7708581407062,34.7003410144595,"Leucocytozoon"
"43","Alcedo atthis","breeding",22.1019761178742,21.9510522653041,53999.588572648,17.5542003540027,24.3273513472829,"Leucocytozoon"
"44","Alcedo atthis","non-breeding",21.2958730146235,21.2361085910442,40008.8285855272,17.7252044111924,24.0957411222318,"Leucocytozoon"
"45","Alectoris barbara","breeding",32.1842113861605,32.2007180582183,676.215079222584,31.1602125600025,33.0093422195693,"Leucocytozoon"
"46","Alectoris barbara","non-breeding",32.385465114751,32.3617347908175,711.958165397985,31.6849980596998,33.1952644892092,"Leucocytozoon"
"47","Alectoris chukar","breeding",36.180090702578,36.0847669805189,14469.9915591881,32.7702134019938,38.6396535297508,"Leucocytozoon"
"48","Alectoris chukar","non-breeding",36.1768379392166,36.0103356880941,22146.3564481779,30.7708780570363,38.7694519439036,"Leucocytozoon"
"49","Alectoris graeca","breeding",34.0520219672016,34.0591330281725,6948.06313774719,30.8744677482898,37.8798783863672,"Leucocytozoon"
"50","Alectoris rufa","breeding",34.970910597716,34.8885589783154,22189.1235102086,30.2100391932063,38.7192184685774,"Leucocytozoon"
"51","Alle alle","breeding",23.4041958322802,23.4041958322802,23.4041958322802,23.4041958322802,23.4041958322802,"Leucocytozoon"
"52","Alle alle","non-breeding",20.558273654333,20.4353078097576,8133.25250828354,15.9826197256527,23.9499113324078,"Leucocytozoon"
"53","Alopochen aegyptiaca","breeding",25.8167944797212,25.7549033160468,10739.7946827915,22.2473071657473,27.0319187585969,"Leucocytozoon"
"54","Amandava amandava","breeding",28.1015709794601,28.1270393922831,815.684142376209,26.3140698086449,29.2410505932859,"Leucocytozoon"
"55","Amazona aestiva","breeding",54.4776789921982,54.4776789921982,54.4776789921982,54.4776789921982,54.4776789921982,"Leucocytozoon"
"56","Amazona oratrix","breeding",57.4399196938286,57.4399196938286,114.879839387657,57.2934986752313,57.5863407124259,"Leucocytozoon"
"57","Ammomanes cinctura","non-breeding",24.5824145725216,24.7035372869091,148.221223721455,24.4213950350354,25.2531322351209,"Leucocytozoon"
"58","Ammomanes deserti","breeding",25.6564471443218,25.6131548842108,102.452619536843,25.1430328968825,25.996692351317,"Leucocytozoon"
"59","Ammomanes deserti","non-breeding",25.8572801715084,25.6049596271415,537.704152169972,24.450338608721,26.5984282548823,"Leucocytozoon"
