"","species","season","median","mean","sum","min","max","pathogen"
"1","Acanthis flammea","breeding",3.25219466093193,4.03196182531118,5265.7421438564,1.02024230830872,12.0215764398696,"Salmonella"
"2","Accipiter badius","breeding",5.96241305763208,5.39255463100803,37.7478824170562,2.37315530760645,8.25373368690492,"Salmonella"
"3","Accipiter badius","non-breeding",4.03308156196565,4.86211333897944,58.3453600677533,2.58419753346653,8.25373368690492,"Salmonella"
"4","Accipiter brevipes","breeding",4.34669204703742,4.51472345956975,1476.31457127931,1.91915460183701,11.4277562928285,"Salmonella"
"5","Accipiter gentilis","breeding",10.1574717454078,10.6217195281822,34329.397515085,2.59518939711662,26.4257557300897,"Salmonella"
"6","Accipiter gentilis","non-breeding",9.79998419723009,10.3842778596009,42565.154946504,2.78027087610393,27.6532913037028,"Salmonella"
"7","Accipiter nisus","breeding",7.60350664902391,8.25813087025726,29869.6593577205,2.58786613620234,21.5442354310888,"Salmonella"
"8","Accipiter nisus","non-breeding",8.61506482412127,9.40211336453342,36104.1153198083,2.9707050218444,22.6549141408354,"Salmonella"
"9","Acridotheres cristatellus","breeding",13.0254583324303,13.0254583324303,26.0509166648607,12.9214539952105,13.1294626696502,"Salmonella"
"10","Acridotheres cristatellus","non-breeding",12.9214539952105,12.7332609423206,63.6663047116029,12.2300746929314,13.1294626696502,"Salmonella"
"11","Acridotheres tristis","breeding",10.3200240877684,10.0881285260889,110.969413786978,6.4633294216581,12.1929691789585,"Salmonella"
"12","Acridotheres tristis","non-breeding",10.2816901203645,10.1882680565612,40.7530722262448,9.17230743683342,11.0173845486824,"Salmonella"
"13","Acrocephalus agricola","breeding",1.76915726773516,1.82840395712131,564.976822750485,0.812190676886156,3.83193860293368,"Salmonella"
"14","Acrocephalus arundinaceus","breeding",2.36352629993148,2.72408074132892,6954.57813261275,0.885627880998772,8.27032272733615,"Salmonella"
"15","Acrocephalus dumetorum","breeding",1.19467229117662,1.23963527879534,1720.61376696794,0.446705679595838,5.68352374388395,"Salmonella"
"16","Acrocephalus dumetorum","non-breeding",1.76011000001442,1.81609461113444,3212.67136709683,0.813297840248183,7.55574080392733,"Salmonella"
"17","Acrocephalus melanopogon","breeding",2.85188784553972,3.27212688878457,729.684296198958,1.1876275918505,8.12051000249596,"Salmonella"
"18","Acrocephalus melanopogon","non-breeding",4.82987436040946,4.92642336507137,1975.49576939362,1.46884053528057,8.36115318222873,"Salmonella"
"19","Acrocephalus paludicola","breeding",1.59270314412545,1.60501954461079,80.2509772305395,1.34173630521499,1.91057153235267,"Salmonella"
"20","Acrocephalus palustris","breeding",2.20857599791332,2.35622425357951,5727.9811604518,1.02826969814925,9.28906268701374,"Salmonella"
"21","Acrocephalus schoenobaenus","breeding",1.34709848375887,1.49512444515935,4380.71462431691,0.277274257754471,6.60403501837523,"Salmonella"
"22","Acrocephalus scirpaceus","breeding",2.69905433671624,3.02368890350596,7486.65372508075,0.834760712053402,8.48517171772942,"Salmonella"
"23","Actitis hypoleucos","breeding",1.97143316385012,2.2994088184449,7268.43127510432,0.467246027084877,9.2907292233478,"Salmonella"
"24","Actitis hypoleucos","non-breeding",4.64366964146378,4.92164104130531,1230.41026032633,2.73367237611379,9.40823409349396,"Salmonella"
"25","Actitis macularius","breeding",3.70075166650861,3.70075166650861,3.70075166650861,3.70075166650861,3.70075166650861,"Salmonella"
