"","species","season","median","mean","sum","min","max","pathogen"
"1","Acanthis flammea","breeding",18.2467057998177,22.9508332305541,29973.7881991037,9.75176806201159,93.0651291869269,"Usutu virus"
"2","Accipiter badius","breeding",9.70275456870284,10.2540086855014,71.7780607985096,5.3410176723622,16.5916856486303,"Usutu virus"
"3","Accipiter badius","non-breeding",9.63952171893007,10.9379559970356,131.255471964427,7.13297847338758,16.5916856486303,"Usutu virus"
"4","Accipiter brevipes","breeding",10.4371898243386,11.7828367527497,3852.98761814914,4.81229831515157,41.3080033979895,"Usutu virus"
"5","Accipiter gentilis","breeding",19.3448355074612,20.9819154135196,67813.5506164955,4.67486282000731,93.5512655693165,"Usutu virus"
"6","Accipiter gentilis","non-breeding",19.7133709936919,21.0890984013631,86444.2143471874,4.21094099847275,95.201114092059,"Usutu virus"
"7","Accipiter nisus","breeding",16.9326678028378,18.8059715319602,68021.1990310999,3.93224664030305,94.3000093468983,"Usutu virus"
"8","Accipiter nisus","non-breeding",15.3141626487266,17.6210326353117,67664.7653195968,3.43924320134359,94.5982625489228,"Usutu virus"
"9","Acridotheres cristatellus","breeding",8.77486517011488,8.77486517011488,17.5497303402298,8.52686726963227,9.02286307059749,"Usutu virus"
"10","Acridotheres cristatellus","non-breeding",8.82348075818999,8.64260690482233,43.2130345241116,7.66312769624124,9.17669572945066,"Usutu virus"
"11","Acridotheres tristis","breeding",11.2117812265219,10.583062480323,116.413687283553,4.46291184749103,14.006507144289,"Usutu virus"
"12","Acridotheres tristis","non-breeding",31.2599156148302,33.4448905272238,133.779562108895,25.2219044132818,46.0378264659533,"Usutu virus"
"13","Acrocephalus agricola","breeding",7.84725587730404,7.77806484003022,2403.42203556934,3.42180086428661,16.9164420741923,"Usutu virus"
"14","Acrocephalus arundinaceus","breeding",10.9712899700885,11.7472029083329,29990.6090249738,2.57402387311918,67.1326138598868,"Usutu virus"
"15","Acrocephalus dumetorum","breeding",13.7612794801961,13.9972799976464,19428.2246367332,4.12649003993378,91.0601103818586,"Usutu virus"
"16","Acrocephalus dumetorum","non-breeding",10.7147909530776,11.0405442448854,19530.7227692023,2.88058729839343,50.4883159406008,"Usutu virus"
"17","Acrocephalus melanopogon","breeding",7.66795119752441,8.56632384366492,1910.29021713728,3.11741391141599,47.5420064706194,"Usutu virus"
"18","Acrocephalus melanopogon","non-breeding",7.4015579699561,8.3551795881321,3350.42701484097,2.54743266237566,34.0530330188408,"Usutu virus"
