"","species","season","median","mean","sum","min","max","pathogen"
"1","Acanthis flammea","breeding",6.47956306685237,7.83752933472105,10235.8133111457,1.42571881432682,20.8539027862421,"Avian influenza virus"
"2","Accipiter badius","breeding",6.03571339821159,5.97976952201109,41.8583866540776,2.12838918882732,11.2685359892491,"Avian influenza virus"
"3","Accipiter badius","non-breeding",4.49629242103023,5.66739034701693,68.0086841642032,3.2510956396692,11.2685359892491,"Avian influenza virus"
"4","Accipiter brevipes","breeding",5.42968601196547,5.82775614893753,1905.67626070257,1.79521741786041,16.1264025140162,"Avian influenza virus"
"5","Accipiter gentilis","breeding",5.43429661147467,6.1127611394614,19756.4440027392,1.1095394039224,18.6980265635775,"Avian influenza virus"
"6","Accipiter gentilis","non-breeding",5.1995966866698,5.91188375287128,24232.8115030194,1.32032682875517,19.8854325739282,"Avian influenza virus"
"7","Accipiter nisus","breeding",6.74722600551156,7.61174819810339,27531.6932325399,2.06415223371798,22.6302141462743,"Avian influenza virus"
"8","Accipiter nisus","non-breeding",7.45514487136137,8.36691615290625,32128.95802716,2.42160782187637,22.6302141462743,"Avian influenza virus"
"9","Acridotheres cristatellus","breeding",12.2631108032537,12.2631108032537,24.5262216065073,12.2609472637712,12.2652743427362,"Avian influenza virus"
"10","Acridotheres cristatellus","non-breeding",12.2609472637712,11.9162830048943,59.5814150244715,11.1046095234247,12.3083930616359,"Avian influenza virus"
"11","Acridotheres tristis","breeding",7.55189340459518,7.06389450915393,77.7028396006932,3.67690764293163,8.81556983338091,"Avian influenza virus"
"12","Acridotheres tristis","non-breeding",9.85855260431564,9.71184855982118,38.8473942392847,8.44960406235276,10.6806849683007,"Avian influenza virus"
"13","Acrocephalus agricola","breeding",7.0103731212402,7.13405692473558,2204.42358974329,3.43700233622009,12.2390832237839,"Avian influenza virus"
"14","Acrocephalus arundinaceus","breeding",8.54409421459665,9.59106724869882,24485.9946859281,2.9409691898249,26.3040794547595,"Avian influenza virus"
"15","Acrocephalus dumetorum","breeding",6.16363513137024,6.54278764353647,9081.38924922862,2.97153636792455,21.5612047860912,"Avian influenza virus"
"16","Acrocephalus dumetorum","non-breeding",8.14032631632676,8.14459360414452,14407.7860857317,2.93553709312878,28.0628482215187,"Avian influenza virus"
"17","Acrocephalus melanopogon","breeding",10.3236736818102,11.039947869062,2461.90837480083,4.03814519303692,26.3040408993493,"Avian influenza virus"
"18","Acrocephalus melanopogon","non-breeding",15.5080907203297,15.6996753674307,6295.56982233972,4.83010737642313,26.2650701667353,"Avian influenza virus"
"19","Acrocephalus paludicola","breeding",8.37530825235006,8.47013206166867,423.506603083434,7.66173044461392,10.4453037720846,"Avian influenza virus"
"20","Acrocephalus palustris","breeding",6.34498421952306,6.8693129353956,16699.2997459467,2.83853452653573,23.1405556431042,"Avian influenza virus"
"21","Acrocephalus schoenobaenus","breeding",8.3366063762875,8.97916573701058,26308.955609441,1.80719329487848,28.7027060394731,"Avian influenza virus"
"22","Acrocephalus scirpaceus","breeding",11.0809013269774,11.9684161911644,29633.798489323,3.72085078208928,29.124099749456,"Avian influenza virus"
"23","Actitis hypoleucos","breeding",6.76115450921818,7.64064020100626,24152.0636753808,1.67037750144656,25.8778235892659,"Avian influenza virus"
"24","Actitis hypoleucos","non-breeding",13.2087030886221,13.3312177029827,3332.80442574569,8.74651849006374,22.5941232737526,"Avian influenza virus"
"25","Actitis macularius","breeding",14.4295065008598,14.4295065008598,14.4295065008598,14.4295065008598,14.4295065008598,"Avian influenza virus"
"26","Aegithalos caudatus","breeding",12.1435497126416,13.1693096290176,45078.5468601273,4.0043179044439,32.7009778663552,"Avian influenza virus"
"27","Aegithalos caudatus","non-breeding",11.1386941203637,12.4261595509722,47343.6678892041,4.02439773004708,32.7009778663552,"Avian influenza virus"
"28","Aegolius funereus","breeding",5.6812474513193,6.07073040767265,8371.53723218059,1.98496941929209,20.3162362663323,"Avian influenza virus"
"29","Aegolius funereus","non-breeding",4.67236186198726,5.32375475322859,12532.1186891001,1.5892418634767,17.220348134383,"Avian influenza virus"
"30","Aegypius monachus","breeding",6.56170780197425,7.12548018464363,933.437904188315,3.76736179979197,13.3114102812274,"Avian influenza virus"
"31","Aegypius monachus","non-breeding",6.89032793145346,7.5258167550627,3747.85674402122,2.99188824492738,16.8309916085638,"Avian influenza virus"
"32","Agapornis fischeri","breeding",16.7084886666833,16.7084886666833,16.7084886666833,16.7084886666833,16.7084886666833,"Avian influenza virus"
"33","Agapornis personatus","breeding",16.6655287283054,16.6655287283054,16.6655287283054,16.6655287283054,16.6655287283054,"Avian influenza virus"
"34","Aix galericulata","breeding",8.4887316260259,8.52592879857571,2617.46014116274,2.05638742545228,15.5734759027135,"Avian influenza virus"
"35","Aix sponsa","breeding",16.5407440424691,16.5319578913096,942.321599804648,10.6172989781478,24.8815735752689,"Avian influenza virus"
"36","Alaemon alaudipes","non-breeding",16.0843159184681,16.0843159184681,16.0843159184681,16.0843159184681,16.0843159184681,"Avian influenza virus"
"37","Alauda arvensis","breeding",6.01652281119889,6.82864032693318,25334.2556129221,1.87157694851632,21.4588557282234,"Avian influenza virus"
"38","Alauda arvensis","non-breeding",8.91748012463094,9.28036503146819,16157.1155197861,2.31025203962606,21.4588557282234,"Avian influenza virus"
"39","Alauda leucoptera","breeding",2.67615026520013,2.63296755569095,186.940696454057,1.8117132965746,3.77353405314726,"Avian influenza virus"
"40","Alaudala rufescens","breeding",5.3024848511229,5.93729779162219,1597.13310594637,2.05157392251423,16.0375039652507,"Avian influenza virus"
"41","Alca torda","breeding",11.3602516063598,11.7214760627597,2367.73816467746,3.73090061510171,21.8640325946651,"Avian influenza virus"
"42","Alca torda","non-breeding",13.2337267599702,13.84117170611,7695.69146859715,5.00462090973406,25.4271911943845,"Avian influenza virus"
"43","Alcedo atthis","breeding",14.6575883033766,15.6301604841013,38450.1947908892,6.09225744126415,36.3402721707958,"Avian influenza virus"
"44","Alcedo atthis","non-breeding",18.5241036540169,19.169356989291,36115.0685678242,7.19437910013017,34.6605864164933,"Avian influenza virus"
"45","Alectoris barbara","breeding",12.5692818822093,12.4668657698315,261.804181166462,9.12584714747211,16.4161764112713,"Avian influenza virus"
"46","Alectoris barbara","non-breeding",11.8335894871179,11.8317293402919,260.298045486422,8.11733695555572,14.2548051846681,"Avian influenza virus"
"47","Alectoris chukar","breeding",9.48251829853842,10.1933697752441,4087.5412798729,4.4143481925208,20.8251449782469,"Avian influenza virus"
"48","Alectoris chukar","non-breeding",9.3498581111094,10.2568578214719,6307.96756020524,3.77432546909804,23.3889177319107,"Avian influenza virus"
"49","Alectoris graeca","breeding",9.6296910710763,9.98350975022553,2036.63598904601,3.02543495195533,18.2901404984609,"Avian influenza virus"
"50","Alectoris rufa","breeding",12.0524348185496,12.2264925717615,7776.04927564034,3.74819932562147,21.4503805245532,"Avian influenza virus"
"51","Alle alle","breeding",2.67946009352277,2.67946009352277,2.67946009352277,2.67946009352277,2.67946009352277,"Avian influenza virus"
"52","Alle alle","non-breeding",8.47023568376397,8.53836999607623,3398.27125843834,2.01974176339318,16.6010407415938,"Avian influenza virus"
"53","Alopochen aegyptiaca","breeding",11.4572374673359,11.8327524757408,4934.25778238389,7.7582474390059,24.1770237465437,"Avian influenza virus"
"54","Amandava amandava","breeding",16.2373178990151,15.7880444348343,457.853288610194,11.0548737372067,20.1520223930848,"Avian influenza virus"
"55","Amazona aestiva","breeding",16.9240679118003,16.9240679118003,16.9240679118003,16.9240679118003,16.9240679118003,"Avian influenza virus"
"56","Amazona oratrix","breeding",18.5700675329307,18.5700675329307,37.1401350658613,17.9455366460439,19.1945984198175,"Avian influenza virus"
"57","Ammomanes cinctura","non-breeding",16.1631074338003,15.5685164727914,93.4110988367481,12.9610502659523,17.0287784627399,"Avian influenza virus"
"58","Ammomanes deserti","breeding",11.4130739570684,11.5371884138053,46.1487536552212,9.61602063023437,13.7065851108501,"Avian influenza virus"
"59","Ammomanes deserti","non-breeding",10.7158204192995,11.4175878248629,239.769344322121,7.0296619359614,16.8142232002416,"Avian influenza virus"
"60","Ammoperdix griseogularis","breeding",14.1175936689843,13.1367869240649,407.240394646013,6.20446332774224,18.8422834761826,"Avian influenza virus"
"61","Ammoperdix griseogularis","non-breeding",11.48746646493,11.3969869385534,718.010177128866,5.0472929945311,20.3089014764935,"Avian influenza virus"
"62","Anas acuta","breeding",5.43272004708926,6.22761283088321,5094.18729566247,1.5543161588837,16.9435216795978,"Avian influenza virus"
"63","Anas acuta","non-breeding",12.5220214629932,12.9846263875661,13607.8884541692,4.47284049885516,26.7904392454016,"Avian influenza virus"
