"","species","season","median","mean","sum","min","max","pathogen"
"1","Acanthis flammea","breeding",3.36853408534275,3.11361694038375,4066.38372414117,0.560983499897135,7.04090114985882,"Borrelia"
"2","Accipiter badius","breeding",11.9232729512596,13.4109634942607,93.8767444598246,7.28571916726566,17.9990132820698,"Borrelia"
"3","Accipiter badius","non-breeding",12.0486152571673,12.5679227187713,150.815072625255,7.28571916726566,17.8267397580045,"Borrelia"
"4","Accipiter brevipes","breeding",15.5057284804448,15.8807479051728,5193.0045649915,5.89690481940282,32.4555242920544,"Borrelia"
"5","Accipiter gentilis","breeding",29.8019910182832,29.0393264569334,93855.1031088088,9.58654765619758,46.2695907122937,"Borrelia"
"6","Accipiter gentilis","non-breeding",30.115337798248,29.4814921168895,120844.63618713,9.07158249661325,51.9194716367402,"Borrelia"
"7","Accipiter nisus","breeding",17.5244118819476,17.1380963565146,61988.4945215132,4.27633995018184,37.8983414149207,"Borrelia"
"8","Accipiter nisus","non-breeding",17.6179225180311,17.7313595935023,68088.420839049,4.2389218692542,44.848444674678,"Borrelia"
"9","Acridotheres cristatellus","breeding",17.1218430776316,17.1218430776316,34.2436861552632,16.9147121836433,17.32897397162,"Borrelia"
"10","Acridotheres cristatellus","non-breeding",17.0606901550969,17.3941596828817,86.9707984144083,16.9147121836433,18.647255667066,"Borrelia"
"11","Acridotheres tristis","breeding",5.98618980498091,6.78600418277907,74.6460460105698,5.12792211100478,12.3590814082914,"Borrelia"
"12","Acridotheres tristis","non-breeding",3.05666121608263,3.01647827546493,12.0659131018597,2.38041070570635,3.57217996398812,"Borrelia"
"13","Acrocephalus agricola","breeding",7.63173895546539,8.50435406288318,2627.8454054309,4.21679281335907,20.831830181417,"Borrelia"
"14","Acrocephalus arundinaceus","breeding",10.5251108302007,10.9992668340131,28081.1282272356,3.15580051031576,32.6772426763539,"Borrelia"
"15","Acrocephalus dumetorum","breeding",5.98850790168732,6.18238160552265,8581.14566846544,1.07524189139418,15.7938262784551,"Borrelia"
"16","Acrocephalus dumetorum","non-breeding",6.43115503079411,7.26851944483598,12858.0108979148,1.83781673071515,22.4884039020997,"Borrelia"
"17","Acrocephalus melanopogon","breeding",6.666128006932,7.31385031797785,1630.98862090906,1.90731236531876,16.3799715164186,"Borrelia"
"18","Acrocephalus melanopogon","non-breeding",5.84996611470038,6.24387442458073,2503.79364425687,2.28339458693182,14.5456143399838,"Borrelia"
"19","Acrocephalus paludicola","breeding",6.42892277426349,6.55909592511223,327.954796255611,4.75816590101126,8.10297468662292,"Borrelia"
"20","Acrocephalus palustris","breeding",2.5186733342568,2.56689710516592,6240.12686265836,0.36705721307966,9.91677696193337,"Borrelia"
"21","Acrocephalus schoenobaenus","breeding",6.56372902636505,6.51262906982018,19082.0031745731,1.2010669774019,20.9967854187267,"Borrelia"
"22","Acrocephalus scirpaceus","breeding",6.58612270345644,6.80480824495245,16848.7052145023,1.51225573019559,23.6121915331997,"Borrelia"
"23","Actitis hypoleucos","breeding",13.3855725762858,13.1916762001655,41698.8884687231,2.92965566084369,37.4000601578658,"Borrelia"
"24","Actitis hypoleucos","non-breeding",11.9973020819527,13.1088667024694,3277.21667561735,6.13745560752989,28.5784979641842,"Borrelia"
"25","Actitis macularius","breeding",5.15131790691764,5.15131790691764,5.15131790691764,5.15131790691764,5.15131790691764,"Borrelia"
"26","Aegithalos caudatus","breeding",3.87219776543739,3.78619664255163,12960.1511074542,0.642330870350978,12.4434787396302,"Borrelia"
"27","Aegithalos caudatus","non-breeding",3.99146394218709,4.04451038302208,15409.5845593141,0.642330870350978,11.3429015308361,"Borrelia"
"28","Aegolius funereus","breeding",12.6024324799453,11.8526709620627,16344.8332566844,2.8175654970447,22.3592562679147,"Borrelia"
"29","Aegolius funereus","non-breeding",13.0281232984444,12.6945583919477,29882.9904546449,3.01137669097628,25.8065004289076,"Borrelia"
"30","Aegypius monachus","breeding",62.8485781122035,61.8012247391786,8095.96044083239,41.6581547302873,73.5731638997951,"Borrelia"
"31","Aegypius monachus","non-breeding",62.8944742880355,62.1893620451096,30970.3022984646,40.105779676741,76.7410552938752,"Borrelia"
"32","Agapornis fischeri","breeding",5.95641386617445,5.95641386617445,5.95641386617445,5.95641386617445,5.95641386617445,"Borrelia"
"33","Agapornis personatus","breeding",6.29811056453361,6.29811056453361,6.29811056453361,6.29811056453361,6.29811056453361,"Borrelia"
"34","Aix galericulata","breeding",26.8739010012527,26.697290107473,8196.06806299422,11.1595333617175,37.042886539108,"Borrelia"
"35","Aix sponsa","breeding",51.9584116764681,51.8284557082874,2954.22197537238,40.1677498127266,60.204281710737,"Borrelia"
"36","Alaemon alaudipes","non-breeding",10.7872694636869,10.7872694636869,10.7872694636869,10.7872694636869,10.7872694636869,"Borrelia"
"37","Alauda arvensis","breeding",10.1690445184242,10.1895323535209,37803.1650315625,2.13924603085411,27.4771267302487,"Borrelia"
