"","species","season","median","mean","sum","min","max","pathogen"
"1","Acanthis flammea","breeding",14.9807592269088,14.6650238486423,19152.5211463269,11.2671827730949,17.236247464583,"Campylobacter"
"2","Accipiter badius","breeding",14.0030947074517,14.4888787646424,101.422151352497,12.7644651815472,15.6367369546405,"Campylobacter"
"3","Accipiter badius","non-breeding",14.0458975628115,14.2436518237658,170.92382188519,12.7644651815472,15.6367369546405,"Campylobacter"
"4","Accipiter brevipes","breeding",14.0618621969131,14.1202716502809,4617.32882964187,11.3648781247286,17.671106409663,"Campylobacter"
"5","Accipiter gentilis","breeding",18.9497450187228,18.8174718598446,60818.0690510176,14.2507815511809,22.6050197355362,"Campylobacter"
"6","Accipiter gentilis","non-breeding",19.0008822668383,18.9056648655493,77494.3202838868,14.1134785539842,23.5817852366389,"Campylobacter"
"7","Accipiter nisus","breeding",17.3309523292683,17.2196488133507,62283.4697578896,12.8752016497292,21.9707078772623,"Campylobacter"
"8","Accipiter nisus","non-breeding",17.3914926104299,17.3870697378971,66766.3477935249,12.8514753701577,23.4902673440522,"Campylobacter"
"9","Acridotheres cristatellus","breeding",17.0297366421614,17.0297366421614,34.0594732843228,16.9740085306205,17.0854647537023,"Campylobacter"
"10","Acridotheres cristatellus","non-breeding",17.0155534784636,17.0849300096711,85.4246500483557,16.973181222951,17.3764420626183,"Campylobacter"
"11","Acridotheres tristis","breeding",23.7846635195614,24.1962870794803,266.159157874284,23.1292800877075,27.2533832502909,"Campylobacter"
"12","Acridotheres tristis","non-breeding",21.1834900853313,21.0976048854734,84.3904195418935,20.3192301215439,21.7042092496869,"Campylobacter"
"13","Acrocephalus agricola","breeding",14.3702891049576,14.6335499853746,4521.76694548074,12.6906701360516,18.4141290516598,"Campylobacter"
"14","Acrocephalus arundinaceus","breeding",13.8851013835169,13.9761448298088,35681.0977505017,10.8305477213789,19.1034839924963,"Campylobacter"
