"","species","season","median","mean","sum","min","max","pathogen"
"1","Acanthis flammea","breeding",11.2949875578536,12.4182343882336,16218.2141110331,5.34373619317061,21.1003781682629,"Chlamydia"
"2","Accipiter badius","breeding",24.8379566627507,22.7750448418036,159.425313892625,14.4500149038098,28.6847184175729,"Chlamydia"
"3","Accipiter badius","non-breeding",20.0913461484461,21.4640529078556,257.568634894268,14.6663541152216,28.6847184175729,"Chlamydia"
"4","Accipiter brevipes","breeding",21.6915845140658,21.7782526662898,7121.48862187677,13.5669686711498,36.0206010454729,"Chlamydia"
"5","Accipiter gentilis","breeding",21.9768900293677,22.2218945069854,71821.1630465769,8.93217797018555,41.9285375401777,"Chlamydia"
"6","Accipiter gentilis","non-breeding",21.3800200708437,21.7956872723302,89340.5221292815,9.0516511406148,43.8787041838655,"Chlamydia"
"7","Accipiter nisus","breeding",19.4918847407526,20.0756213420502,72613.5223941956,9.42306869770791,39.2370640255977,"Chlamydia"
"8","Accipiter nisus","non-breeding",21.2093486892242,22.1207059069504,84943.5106826894,9.91230284484165,41.0761175796549,"Chlamydia"
"9","Acridotheres cristatellus","breeding",35.5357289787694,35.5357289787694,71.0714579575387,35.3141535098888,35.75730444765,"Chlamydia"
"10","Acridotheres cristatellus","non-breeding",35.3141535098888,35.1123345648336,175.561672824168,34.1936212625009,35.75730444765,"Chlamydia"
"11","Acridotheres tristis","breeding",31.1332871562701,31.0025950235817,341.028545259398,24.2965458518796,34.8216433676492,"Chlamydia"
"12","Acridotheres tristis","non-breeding",27.4665410931133,28.0428552972685,112.171421189074,27.3500948720406,29.8882441308068,"Chlamydia"
"13","Acrocephalus agricola","breeding",5.71736068278041,5.82136382903993,1798.80142317334,3.11772319969318,10.4775920245631,"Chlamydia"
"14","Acrocephalus arundinaceus","breeding",6.90669977524499,7.55135061923313,19278.5981309022,3.36945276377591,17.5196632529791,"Chlamydia"
"15","Acrocephalus dumetorum","breeding",3.99633132594437,4.0524274939457,5624.76936159663,1.94351570752916,7.31180660610206,"Chlamydia"
"16","Acrocephalus dumetorum","non-breeding",5.43504226090209,5.50219274135353,9733.37895945439,2.97664567693348,11.6923266512616,"Chlamydia"
"17","Acrocephalus melanopogon","breeding",7.39950105559055,8.09182751146446,1804.47753505657,3.64110091745028,16.0203984029106,"Chlamydia"
"18","Acrocephalus melanopogon","non-breeding",10.9870133922939,11.0272384813447,4421.92263101923,4.70567520243236,16.0280104126552,"Chlamydia"
"19","Acrocephalus paludicola","breeding",5.49052537483603,5.50080403927718,275.040201963859,4.69925715685531,6.42173588891917,"Chlamydia"
"20","Acrocephalus palustris","breeding",12.2036661037037,12.4323403142054,30223.0193038333,7.07495536041934,23.8259725623775,"Chlamydia"
"21","Acrocephalus schoenobaenus","breeding",5.06904344945801,5.2375634033993,15346.0607719599,1.75088900223874,15.6204189008554,"Chlamydia"
"22","Acrocephalus scirpaceus","breeding",5.94885927671396,6.48480749249802,16056.3833514251,2.55985731757682,15.062745255461,"Chlamydia"
"23","Actitis hypoleucos","breeding",5.2665756938116,5.69898081261633,18014.4783486802,1.96138969606899,16.770278680119,"Chlamydia"
"24","Actitis hypoleucos","non-breeding",9.89613288142624,10.5997882237598,2649.94705593995,6.20546734466472,17.4763163551609,"Chlamydia"
"25","Actitis macularius","breeding",7.2952816018575,7.2952816018575,7.2952816018575,7.2952816018575,7.2952816018575,"Chlamydia"
"26","Aegithalos caudatus","breeding",24.6976225400631,25.1985094226683,86254.4977537936,9.97759567964997,45.9377102058394,"Chlamydia"
"27","Aegithalos caudatus","non-breeding",23.8385575759929,24.5261559210266,93444.6540591113,12.6456091640982,46.7267681400384,"Chlamydia"
"28","Aegolius funereus","breeding",17.2009275188253,17.2213233183798,23748.2048560457,9.53034849610125,30.8960016896702,"Chlamydia"
"29","Aegolius funereus","non-breeding",15.4302621573425,16.1407695170965,37995.3714432452,7.48849431594054,32.8135024979403,"Chlamydia"
"30","Aegypius monachus","breeding",38.3185933878139,38.2936229797191,5016.4646103432,22.4249370831545,51.0831046478509,"Chlamydia"
