"","species","season","median","mean","sum","min","max","pathogen"
"1","Acanthis flammea","breeding",0.26649581998331,0.292473343189071,381.970186204927,0.0189277603224761,1.61597244611029,"Coxiella"
"2","Accipiter badius","breeding",4.40627341266884,4.99857340475606,34.9900138332924,2.2226877730215,9.47872594925402,"Coxiella"
"3","Accipiter badius","non-breeding",3.56836291516693,3.84324236604576,46.1189083925492,2.2226877730215,6.75389939472299,"Coxiella"
"4","Accipiter brevipes","breeding",4.60424517292692,5.19259266274936,1697.97780071904,0.814770976337597,17.2641515420517,"Coxiella"
"5","Accipiter gentilis","breeding",9.99100628876482,11.2059137673361,36217.5132960303,1.55090745296989,47.9958187126938,"Coxiella"
"6","Accipiter gentilis","non-breeding",9.87639495952934,11.5421494153355,47311.2704534604,1.55090745296989,51.8701347680177,"Coxiella"
"7","Accipiter nisus","breeding",4.12764749373178,5.03446984750102,18209.6774384112,0.428034598123766,29.7172496374891,"Coxiella"
"8","Accipiter nisus","non-breeding",4.72108025953591,6.37197339665801,24468.3778431668,0.428034598123766,35.0123798140819,"Coxiella"
"9","Acridotheres cristatellus","breeding",3.0888461355481,3.0888461355481,6.17769227109621,2.97038570299253,3.20730656810367,"Coxiella"
"10","Acridotheres cristatellus","non-breeding",3.08195367836067,3.01937235654487,15.0968617827243,2.65499090939666,3.20730656810367,"Coxiella"
"11","Acridotheres tristis","breeding",3.70246338139685,4.73503060351265,52.0853366386391,2.66238631748521,13.52693039045,"Coxiella"
"12","Acridotheres tristis","non-breeding",1.15215210625904,1.14370668641882,4.57482674567527,0.841978690546987,1.42854384261022,"Coxiella"
"13","Acrocephalus agricola","breeding",0.337917393864311,0.652108478108346,201.501519735479,0.0552342872936878,5.5209067640111,"Coxiella"
"14","Acrocephalus arundinaceus","breeding",0.404881818361001,0.690304200455978,1762.34662376411,0.0248500072139131,9.43026399682063,"Coxiella"
"15","Acrocephalus dumetorum","breeding",0.124579420623239,0.155205506798881,215.425243436847,0.014813234122767,2.48637297812187,"Coxiella"
"16","Acrocephalus dumetorum","non-breeding",0.176263842436114,0.413804324419269,732.019849897686,0.0138954751349033,6.12573762074293,"Coxiella"
"17","Acrocephalus melanopogon","breeding",0.371535184011658,0.642222130748546,143.215535156926,0.0231965705276818,3.11802646275756,"Coxiella"
"18","Acrocephalus melanopogon","non-breeding",0.685701144448016,0.873365848621517,350.219705297228,0.0773083078580279,4.2340096978907,"Coxiella"
"19","Acrocephalus paludicola","breeding",0.141154051259344,0.156836940545389,7.84184702726946,0.0672586905005364,0.282211585429581,"Coxiella"
"20","Acrocephalus palustris","breeding",0.237940594129175,0.323795932278598,787.147911369272,0.0136276049524135,6.00883915437816,"Coxiella"
"21","Acrocephalus schoenobaenus","breeding",0.129301193982208,0.177389511299516,519.751268107582,0.00517917610631355,4.1357960584333,"Coxiella"
"22","Acrocephalus scirpaceus","breeding",0.318288987169227,0.554076358320087,1371.89306320053,0.0197369661251475,7.49519495206604,"Coxiella"
"23","Actitis hypoleucos","breeding",0.538423879806095,0.752329211927453,2378.11263890268,0.0329047892501351,11.8880970731914,"Coxiella"
"24","Actitis hypoleucos","non-breeding",0.757378909445242,1.95304090682372,488.26022670593,0.142521949982183,10.9317784803322,"Coxiella"
"25","Actitis macularius","breeding",0.109593571854177,0.109593571854177,0.109593571854177,0.109593571854177,0.109593571854177,"Coxiella"
