"","species","season","median","mean","sum","min","max","pathogen"
"1","Acanthis flammea","breeding",25.4165726726432,25.3590416280115,33118.9083661831,11.375292398218,49.0962031865744,"Escherichia"
"2","Accipiter badius","breeding",18.9906043068191,23.0888774860779,161.622142402545,14.3170196564503,35.4711587379708,"Escherichia"
"3","Accipiter badius","non-breeding",24.9033563474057,23.4586454160724,281.503744992869,14.3170196564503,31.3382935520372,"Escherichia"
"4","Accipiter brevipes","breeding",25.1996229523091,25.8125376870903,8440.69982367852,11.983218240312,39.6055918119956,"Escherichia"
"5","Accipiter gentilis","breeding",40.3233056054112,40.8012958471334,131869.788177935,19.5629392432571,68.6792740231529,"Escherichia"
"6","Accipiter gentilis","non-breeding",41.2407824312156,41.8670229817846,171612.927202335,18.9904384242269,66.3288583822719,"Escherichia"
"7","Accipiter nisus","breeding",32.9714285116656,33.2111741067618,120124.816744157,14.9738156208583,54.8293913076378,"Escherichia"
"8","Accipiter nisus","non-breeding",30.9814455961831,30.6657785874063,117756.58977564,14.0420288704549,50.8592189034519,"Escherichia"
"9","Acridotheres cristatellus","breeding",16.9204274196562,16.9204274196562,33.8408548393124,16.8469852430908,16.9938695962216,"Escherichia"
"10","Acridotheres cristatellus","non-breeding",16.9938695962216,17.2746661710416,86.3733308552081,16.8469852430908,17.9030569601682,"Escherichia"
"11","Acridotheres tristis","breeding",22.0419864861676,22.7815677129626,250.597244842589,19.3244695275189,31.3822027442956,"Escherichia"
"12","Acridotheres tristis","non-breeding",21.3667865334296,21.3819977743078,85.5279910972311,20.0659010797342,22.7285169506377,"Escherichia"
"13","Acrocephalus agricola","breeding",17.1724590184433,17.3022535056644,5346.3963332503,10.2652049747425,26.1230192952315,"Escherichia"
"14","Acrocephalus arundinaceus","breeding",18.0543173261451,17.8410217286235,45548.1284731758,7.16414864233332,30.7597643388715,"Escherichia"
"15","Acrocephalus dumetorum","breeding",21.0536370317242,21.0837252965956,29264.2107116746,10.0719760535496,35.1482522067816,"Escherichia"
"16","Acrocephalus dumetorum","non-breeding",16.799784604592,17.2632561098854,30538.7000583872,6.08834610158747,28.1551039711099,"Escherichia"
"17","Acrocephalus melanopogon","breeding",12.7606362088286,12.6002530209533,2809.85642367258,5.37538394111531,21.5649202654543,"Escherichia"
"18","Acrocephalus melanopogon","non-breeding",8.61018333067776,8.80964402237928,3532.66725297409,5.15896254840709,21.2552164179106,"Escherichia"
"19","Acrocephalus paludicola","breeding",17.0610545629962,16.8599674849762,842.998374248808,15.1632328337364,18.4297938215118,"Escherichia"
"20","Acrocephalus palustris","breeding",17.1065445277016,17.2855212763732,42021.1022228634,6.14457610215608,27.0172507714234,"Escherichia"
"21","Acrocephalus schoenobaenus","breeding",18.015777805884,18.9252018423382,55450.841398051,6.09166169861111,42.0190217074862,"Escherichia"
"22","Acrocephalus scirpaceus","breeding",13.6921880598427,13.8072500894839,34186.7512215621,5.55941642281567,28.9565248627418,"Escherichia"
