"","species","season","median","mean","sum","min","max","pathogen"
"1","Acanthis flammea","breeding",22.5473273835031,22.3832329069012,29232.502176413,17.5869461271984,29.5902509545048,"Haemoproteus"
"2","Accipiter badius","breeding",30.0997472132467,31.5761527580994,221.033069306696,28.010904007071,36.3870792193152,"Haemoproteus"
"3","Accipiter badius","non-breeding",32.661466836844,31.8911387032492,382.693664438991,28.010904007071,35.2511557592431,"Haemoproteus"
"4","Accipiter brevipes","breeding",32.5195938140355,32.6983308359587,10692.3541833585,26.4030286752469,37.7959912712799,"Haemoproteus"
"5","Accipiter gentilis","breeding",36.8018123246577,36.9816352657573,119524.645178928,28.9006956215426,47.3867149905317,"Haemoproteus"
"6","Accipiter gentilis","non-breeding",37.1153361469269,37.3473534863422,153086.801940517,28.4161454714184,46.5654837169524,"Haemoproteus"
"7","Accipiter nisus","breeding",30.3714503177565,30.4212329569852,110033.599605415,23.2427301099354,37.7445157317515,"Haemoproteus"
"8","Accipiter nisus","non-breeding",29.6257863541178,29.4799837955413,113203.137774879,22.8301593906232,36.578225591051,"Haemoproteus"
"9","Acridotheres cristatellus","breeding",14.5676716973941,14.5676716973941,29.1353433947881,14.533353030222,14.6019903645661,"Haemoproteus"
"10","Acridotheres cristatellus","non-breeding",14.6019903645661,14.6804498082731,73.4022490413655,14.533353030222,14.8593039173968,"Haemoproteus"
"11","Acridotheres tristis","breeding",17.1143135876445,17.3735169127568,191.108686040325,16.311647980441,19.7115013464016,"Haemoproteus"
"12","Acridotheres tristis","non-breeding",17.4801549361527,17.4146499259442,69.6585997037768,16.9511395285987,17.7471503028727,"Haemoproteus"
"13","Acrocephalus agricola","breeding",10.3317923022852,10.3793863133271,3207.23037081808,8.36196824671962,12.5773894045987,"Haemoproteus"
"14","Acrocephalus arundinaceus","breeding",11.576183112892,11.4601802851485,29257.8402679842,8.01174964298824,14.7863837226968,"Haemoproteus"
"15","Acrocephalus dumetorum","breeding",11.6229668265495,11.6409419374298,16157.6274091525,8.97328649563228,14.9654833368701,"Haemoproteus"
"16","Acrocephalus dumetorum","non-breeding",10.5360274879563,10.6078036169489,18765.2045983826,7.4280253490147,13.0159201403374,"Haemoproteus"
"17","Acrocephalus melanopogon","breeding",9.7155951008503,9.57077251938882,2134.28227182371,7.01559292268194,12.1771215786741,"Haemoproteus"
"18","Acrocephalus melanopogon","non-breeding",8.33855211326888,8.37667487770288,3359.04662595885,6.99976134829121,11.8105708981604,"Haemoproteus"
"19","Acrocephalus paludicola","breeding",10.2196466829196,10.2001506232231,510.007531161153,9.7632800738286,10.6559914966478,"Haemoproteus"
"20","Acrocephalus palustris","breeding",25.08508360924,25.1158509332078,61056.6336186282,19.223068645744,29.0326183091496,"Haemoproteus"
"21","Acrocephalus schoenobaenus","breeding",10.2202747212452,10.3803276041446,30414.3598801437,6.629845849777,15.4993638059352,"Haemoproteus"
"22","Acrocephalus scirpaceus","breeding",10.5343551350364,10.478413726053,25944.5523857071,7.45720968780155,14.3536642349015,"Haemoproteus"
"23","Actitis hypoleucos","breeding",14.1365027044485,14.1993593714717,44884.1749732221,9.28478039112762,20.1494332605382,"Haemoproteus"
"24","Actitis hypoleucos","non-breeding",11.2686614826579,11.2520547467725,2813.01368669313,9.093044769716,12.9784802266272,"Haemoproteus"
"25","Actitis macularius","breeding",11.658426476573,11.658426476573,11.658426476573,11.658426476573,11.658426476573,"Haemoproteus"
"26","Aegithalos caudatus","breeding",15.3990415035505,15.4899058026303,53021.9475624035,10.8743434257268,21.9908585852345,"Haemoproteus"
"27","Aegithalos caudatus","non-breeding",15.7140263928234,15.7393832415637,59967.0501503579,10.837976268137,20.7165115020926,"Haemoproteus"
"28","Aegolius funereus","breeding",28.6555715905247,28.9443904536315,39914.3144355578,22.4061993640947,34.4659329936945,"Haemoproteus"
"29","Aegolius funereus","non-breeding",29.9088280735201,29.7105201891976,69938.5645253711,22.4180117844238,37.0607377654228,"Haemoproteus"
"30","Aegypius monachus","breeding",49.150041614995,49.0446053456227,6424.84330027658,44.362115790481,54.9856680741932,"Haemoproteus"
"31","Aegypius monachus","non-breeding",49.0006156688849,48.6615651398034,24233.4594396221,42.0862122053338,54.9856680741932,"Haemoproteus"
"32","Agapornis fischeri","breeding",19.4297553674414,19.4297553674414,19.4297553674414,19.4297553674414,19.4297553674414,"Haemoproteus"
"33","Agapornis personatus","breeding",19.6842410935676,19.6842410935676,19.6842410935676,19.6842410935676,19.6842410935676,"Haemoproteus"
"34","Aix galericulata","breeding",30.0197028893619,30.1917556219552,9268.86897594025,26.8514880467645,38.5300735990658,"Haemoproteus"
"35","Aix sponsa","breeding",11.1226424252467,11.1167163714201,633.652833170945,9.4461920201332,12.8629900833661,"Haemoproteus"
"36","Alaemon alaudipes","non-breeding",12.4954492101596,12.4954492101596,12.4954492101596,12.4954492101596,12.4954492101596,"Haemoproteus"
"37","Alauda arvensis","breeding",16.2817122261637,16.3881183731946,60799.9191645519,11.6537490903713,21.6124547266666,"Haemoproteus"
"38","Alauda arvensis","non-breeding",14.9157546467322,14.8293810095069,25817.9523375516,11.7790103338266,19.3008420131356,"Haemoproteus"
"39","Alauda leucoptera","breeding",20.1644311726128,20.0598073686621,1424.24632317501,18.7901464428692,21.0947101490667,"Haemoproteus"
"40","Alaudala rufescens","breeding",14.001693070295,13.8328270964623,3721.03048894835,10.3564069611911,16.2312368774346,"Haemoproteus"
"41","Alca torda","breeding",26.834296760573,27.3630543270466,5527.33697406342,23.4898796494952,32.9582517852466,"Haemoproteus"
"42","Alca torda","non-breeding",25.8317636005836,25.6402211488899,14255.9629587828,21.2934990510133,30.9713796937827,"Haemoproteus"
"43","Alcedo atthis","breeding",9.07032400081466,9.07714416926514,22329.7746563922,6.62321033942618,12.0046303492216,"Haemoproteus"
"44","Alcedo atthis","non-breeding",8.39431391289106,8.30039412182217,15637.942525513,6.17090132665994,11.5178843292552,"Haemoproteus"
"45","Alectoris barbara","breeding",12.870633518157,12.7931839657003,268.656863279706,11.9320929648287,13.5129686325047,"Haemoproteus"
"46","Alectoris barbara","non-breeding",12.9053116253078,12.9132542539087,284.091593585991,12.2892078811858,13.5129686325047,"Haemoproteus"
"47","Alectoris chukar","breeding",22.8670439717356,22.7449511038681,9120.7253926511,18.3850392775115,28.4296261202859,"Haemoproteus"
"48","Alectoris chukar","non-breeding",22.9003239868819,22.7302319256998,13979.0926343054,18.3483509814924,28.4296261202859,"Haemoproteus"
"49","Alectoris graeca","breeding",16.285561314383,16.2392918292311,3312.81553316315,13.4712242994154,20.8321670826561,"Haemoproteus"
"50","Alectoris rufa","breeding",21.3100691272238,21.2929371966591,13542.3080570752,18.3887144302816,27.5190707574812,"Haemoproteus"
"51","Alle alle","breeding",23.4589590636729,23.4589590636729,23.4589590636729,23.4589590636729,23.4589590636729,"Haemoproteus"
"52","Alle alle","non-breeding",18.4584100399499,19.2035260006579,7643.00334826183,16.8359050698205,24.4762343568094,"Haemoproteus"
"53","Alopochen aegyptiaca","breeding",15.8565481367876,15.6844348046095,6540.40931352215,12.6191548877561,17.6379824737089,"Haemoproteus"
"54","Amandava amandava","breeding",15.0287439124065,15.2128815822674,441.173565885754,14.2581356131736,16.6920903701606,"Haemoproteus"
"55","Amazona aestiva","breeding",38.7190369276032,38.7190369276032,38.7190369276032,38.7190369276032,38.7190369276032,"Haemoproteus"
"56","Amazona oratrix","breeding",40.8183123372571,40.8183123372571,81.6366246745142,40.4984817837555,41.1381428907587,"Haemoproteus"
"57","Ammomanes cinctura","non-breeding",11.4570412149977,11.6080257439941,69.6481544639648,11.0496088994198,12.5155234275934,"Haemoproteus"
"58","Ammomanes deserti","breeding",12.0361170557981,11.9909848458198,47.9639393832791,11.6223064824419,12.269398789241,"Haemoproteus"
"59","Ammomanes deserti","non-breeding",12.2152988918359,11.9860776737029,251.70763114776,10.8540081641758,13.2015081961114,"Haemoproteus"
"60","Ammoperdix griseogularis","breeding",19.3462608644563,20.0051735269671,620.160379335982,18.0980534573208,23.5840576157706,"Haemoproteus"
"61","Ammoperdix griseogularis","non-breeding",19.7740414550954,20.7157222682597,1305.09050290036,17.4335376299977,25.0023425408416,"Haemoproteus"
"62","Anas acuta","breeding",21.7545653433099,21.6211046214248,17686.0635803255,14.7702339570649,27.8356244425831,"Haemoproteus"
"63","Anas acuta","non-breeding",17.228976856448,17.0392661491311,17857.1509242894,13.6162131281369,21.9350800709912,"Haemoproteus"
"64","Anas bahamensis","breeding",11.9809193214317,12.0858626917264,36.2575880751791,11.9581236862282,12.3185450675193,"Haemoproteus"
"65","Anas crecca","breeding",12.9438055755364,13.0427686146291,31537.4145101731,8.71369011773461,18.5439857775748,"Haemoproteus"
"66","Anas crecca","non-breeding",10.6750440323157,10.5548997968016,16560.6377811817,8.03948442447765,14.4268305686193,"Haemoproteus"
"67","Anas platyrhynchos","breeding",14.0068040858952,14.1535351357971,58454.1001108419,9.76328003069317,19.9059998132334,"Haemoproteus"
"68","Anas platyrhynchos","non-breeding",12.8758953353248,12.8249982516025,31805.9956639741,9.52856063200977,17.7238685043546,"Haemoproteus"
"69","Anas rubripes","breeding",13.3596286252472,13.3596286252472,13.3596286252472,13.3596286252472,13.3596286252472,"Haemoproteus"
"70","Anser albifrons","breeding",43.9006726278408,40.8112636353629,2285.43076358032,32.4557110702272,46.2012000857911,"Haemoproteus"
