"","species","season","median","mean","sum","min","max","pathogen"
"1","Acanthis flammea","breeding",27.7990670095927,27.5375646305552,35964.0594075051,22.823658573636,32.7587865478777,"Leucocytozoon"
"2","Accipiter badius","breeding",31.1662185992167,31.2344652041019,218.641256428714,28.1839124029423,34.2711130692193,"Leucocytozoon"
"3","Accipiter badius","non-breeding",31.7661351719512,31.2097666550592,374.517199860711,28.1839124029423,33.0073678300795,"Leucocytozoon"
"4","Accipiter brevipes","breeding",32.4152350154896,32.4830911430618,10621.9708037812,27.8887144203094,36.8341217683074,"Leucocytozoon"
"5","Accipiter gentilis","breeding",40.2840014348677,40.0270499836128,129367.425547037,34.5034441568661,45.5108571520345,"Leucocytozoon"
"6","Accipiter gentilis","non-breeding",40.4252206013529,40.2449813317128,164964.178478691,34.1543052208587,44.9832035710566,"Leucocytozoon"
"7","Accipiter nisus","breeding",35.9254092170197,35.6676140228742,129009.759920736,30.1602138786157,40.0107679069488,"Leucocytozoon"
"8","Accipiter nisus","non-breeding",35.6009293555646,35.327413810304,135657.269031567,30.1602138786157,40.8235165467644,"Leucocytozoon"
"9","Acridotheres cristatellus","breeding",27.2621953660628,27.2621953660628,54.5243907321256,27.2472156456743,27.2771750864513,"Leucocytozoon"
"10","Acridotheres cristatellus","non-breeding",27.2771750864513,27.3796614541027,136.898307270514,27.2453704373661,27.7019040768348,"Leucocytozoon"
"11","Acridotheres tristis","breeding",29.6645773284918,30.0092787936134,330.102066729747,29.0655712070417,32.2661922121041,"Leucocytozoon"
"12","Acridotheres tristis","non-breeding",28.1710286816782,28.2101759697819,112.840703879128,27.702287085131,28.7963594306403,"Leucocytozoon"
"13","Acrocephalus agricola","breeding",14.7548612630971,14.8855926280774,4599.64812207593,13.3949733470938,17.1626048356028,"Leucocytozoon"
"14","Acrocephalus arundinaceus","breeding",15.663770660106,15.4957128061882,39560.5547941984,12.29967381952,19.1381850969329,"Leucocytozoon"
"15","Acrocephalus dumetorum","breeding",15.0884189614884,15.0199801183642,20847.7324042896,11.5631148313755,16.5327408202014,"Leucocytozoon"
"16","Acrocephalus dumetorum","non-breeding",14.5503160492815,14.7029536580502,26009.5250210908,11.1649631851882,17.5106275622654,"Leucocytozoon"
"17","Acrocephalus melanopogon","breeding",14.1553788587808,14.1774581749901,3161.5731730228,11.4004076042434,16.7544255636157,"Leucocytozoon"
"18","Acrocephalus melanopogon","non-breeding",13.2045216187598,13.2607890594916,5317.57641285614,11.5839454185646,16.0245863732044,"Leucocytozoon"
"19","Acrocephalus paludicola","breeding",14.3255911233714,14.3188824690932,715.944123454659,13.696477924215,14.6715309505372,"Leucocytozoon"
"20","Acrocephalus palustris","breeding",26.3281068109725,26.1877254089437,63662.3604691422,21.3061881055833,29.486665606692,"Leucocytozoon"
"21","Acrocephalus schoenobaenus","breeding",14.4260066696296,14.3869075631902,42153.6391601473,11.0489533924595,17.8561667092926,"Leucocytozoon"
"22","Acrocephalus scirpaceus","breeding",15.2483093323007,15.1317001758601,37466.0896354296,12.2292766724216,18.7874660170865,"Leucocytozoon"
"23","Actitis hypoleucos","breeding",17.4564131519634,17.3635080109859,54886.0488227266,13.4685788245437,20.8061666159605,"Leucocytozoon"
"24","Actitis hypoleucos","non-breeding",15.8915610003195,15.8553654380638,3963.84135951595,14.2112509262576,17.6551598045844,"Leucocytozoon"
"25","Actitis macularius","breeding",14.2220660189105,14.2220660189105,14.2220660189105,14.2220660189105,14.2220660189105,"Leucocytozoon"
"26","Aegithalos caudatus","breeding",28.6479514294253,28.4094152927979,97245.4285472472,23.69380146061,32.4547025932161,"Leucocytozoon"
"27","Aegithalos caudatus","non-breeding",28.9376335590342,28.68471257909,109288.754926333,23.69380146061,33.1952854921579,"Leucocytozoon"
"28","Aegolius funereus","breeding",32.9938555009392,32.8935043725826,45360.1425297914,27.4232189996038,36.5889230912781,"Leucocytozoon"
"29","Aegolius funereus","non-breeding",33.6063236832511,33.4393337356618,78716.1916137479,28.2265076725883,37.0538900892006,"Leucocytozoon"
"30","Aegypius monachus","breeding",55.5386466491512,55.4602623953899,7265.29437379607,52.3058927059997,57.7614817248257,"Leucocytozoon"
"31","Aegypius monachus","non-breeding",55.5330828262411,55.3534508516494,27566.0185241214,50.7913760763171,58.7491178744469,"Leucocytozoon"
"32","Agapornis fischeri","breeding",31.1381753951691,31.1381753951691,31.1381753951691,31.1381753951691,31.1381753951691,"Leucocytozoon"
"33","Agapornis personatus","breeding",31.4472350327083,31.4472350327083,31.4472350327083,31.4472350327083,31.4472350327083,"Leucocytozoon"
"34","Aix galericulata","breeding",33.2366602879995,33.3141840745825,10227.4545108968,30.1127275816318,38.1595561056698,"Leucocytozoon"
"35","Aix sponsa","breeding",25.5403727163284,25.5963787379813,1458.99358806493,23.6632093615945,27.2123620425783,"Leucocytozoon"
"36","Alaemon alaudipes","non-breeding",28.3013471197399,28.3013471197399,28.3013471197399,28.3013471197399,28.3013471197399,"Leucocytozoon"
"37","Alauda arvensis","breeding",27.4693430791558,27.2340794104437,101038.434612746,22.4087589101101,31.3310930669441,"Leucocytozoon"
"38","Alauda arvensis","non-breeding",26.0759114743832,26.1779505418475,45575.8118933565,22.4087589101101,31.6580911842184,"Leucocytozoon"
"39","Alauda leucoptera","breeding",28.8083182604329,28.9605066313729,2056.19597082747,27.2443834367266,30.5978967960071,"Leucocytozoon"
"40","Alaudala rufescens","breeding",24.964091990728,25.0238676961564,6731.42041026607,21.2686298305244,28.5123117128994,"Leucocytozoon"
"41","Alca torda","breeding",31.2611511685391,31.3752549693119,6337.80150380101,27.7324089032435,35.2797617216428,"Leucocytozoon"
"42","Alca torda","non-breeding",30.7119257001093,30.6893393224019,17063.2726632555,27.5761799216758,34.3712864096976,"Leucocytozoon"
"43","Alcedo atthis","breeding",21.2729688108539,21.0822628522364,51862.3666165016,17.2499364872939,24.6884794674754,"Leucocytozoon"
"44","Alcedo atthis","non-breeding",20.3124243173292,20.3187895851425,38280.5995784086,17.4834656900837,23.6541308155743,"Leucocytozoon"
"45","Alectoris barbara","breeding",31.2950442518171,31.3877927581937,659.143647922067,30.0452902173679,32.9860204949383,"Leucocytozoon"
"46","Alectoris barbara","non-breeding",31.466843283947,31.6359058294925,695.989928248835,30.6016114890829,33.5964502752728,"Leucocytozoon"
"47","Alectoris chukar","breeding",35.553216278412,35.5825742157675,14268.6122605228,31.9903719829905,38.5859138574867,"Leucocytozoon"
"48","Alectoris chukar","non-breeding",35.6151328981453,35.5538431818866,21865.6135568602,30.8870728579477,39.2271749290659,"Leucocytozoon"
"49","Alectoris graeca","breeding",33.116902876219,33.1590469378022,6764.44557531165,30.356592814015,37.5734252772809,"Leucocytozoon"
"50","Alectoris rufa","breeding",34.2744371885742,34.3211495269261,21828.251099125,31.243669798294,38.7020770254339,"Leucocytozoon"
"51","Alle alle","breeding",23.0189126382772,23.0189126382772,23.0189126382772,23.0189126382772,23.0189126382772,"Leucocytozoon"
"52","Alle alle","non-breeding",19.7534686247012,19.8839192778868,7913.79987259893,17.1896147998616,23.8529058779002,"Leucocytozoon"
"53","Alopochen aegyptiaca","breeding",25.5095633121429,25.5069508906831,10636.3985214149,22.3680464551249,27.0629853559797,"Leucocytozoon"
"54","Amandava amandava","breeding",26.5757263363526,26.6823834773184,773.789120842232,24.9063424440499,28.4012802631456,"Leucocytozoon"
"55","Amazona aestiva","breeding",52.9677658907195,52.9677658907195,52.9677658907195,52.9677658907195,52.9677658907195,"Leucocytozoon"
"56","Amazona oratrix","breeding",55.9816022729367,55.9816022729367,111.963204545873,55.8280115216951,56.1351930241783,"Leucocytozoon"
"57","Ammomanes cinctura","non-breeding",23.0305662171229,23.0949646950094,138.569788170056,22.8023447112075,23.6252092037427,"Leucocytozoon"
"58","Ammomanes deserti","breeding",24.5241449567679,24.5297376440138,98.118950576055,23.7326220095001,25.3380386530191,"Leucocytozoon"
"59","Ammomanes deserti","non-breeding",24.6317167343081,24.7326055532808,519.384716618896,22.8904953945024,26.5717643695241,"Leucocytozoon"
"60","Ammoperdix griseogularis","breeding",34.1343070342126,34.4716165463456,1068.62011293671,32.5827438789279,37.858609759731,"Leucocytozoon"
"61","Ammoperdix griseogularis","non-breeding",35.1421331773503,35.3357312584876,2226.15106928472,32.2192593711331,38.3827633418446,"Leucocytozoon"
"62","Anas acuta","breeding",26.8679588458051,26.75964626074,21889.3906412853,22.5813790430643,30.8157420180045,"Leucocytozoon"
"63","Anas acuta","non-breeding",24.2724742202888,24.3110643148757,25477.9954019898,20.9140939632461,27.9935216973687,"Leucocytozoon"
"64","Anas bahamensis","breeding",19.3918325086965,19.3406670439454,58.0220011318363,19.2001127396295,19.4300558835104,"Leucocytozoon"
"65","Anas crecca","breeding",22.1752727036954,22.0924878477052,53419.6356157513,17.3840845499421,26.4583066680045,"Leucocytozoon"
"66","Anas crecca","non-breeding",20.3773205924357,20.4035400807588,32013.1543867105,17.3840845499421,23.9063750997333,"Leucocytozoon"
"67","Anas platyrhynchos","breeding",25.7511656892722,25.5734829699517,105618.484665901,20.9066878406283,29.9112319983977,"Leucocytozoon"
"68","Anas platyrhynchos","non-breeding",24.5662527267563,24.5242883847634,60820.2351942133,20.9066878406283,28.337664374943,"Leucocytozoon"
"69","Anas rubripes","breeding",22.0246927223758,22.0246927223758,22.0246927223758,22.0246927223758,22.0246927223758,"Leucocytozoon"
"70","Anser albifrons","breeding",46.7104828654193,44.9894288657538,2519.40801648221,40.1722471019135,48.6009647914478,"Leucocytozoon"
"71","Anser albifrons","non-breeding",40.8564967057606,40.6288608284176,19054.9357285279,36.68608909288,43.8737726974645,"Leucocytozoon"
"72","Anser anser","breeding",27.296902078637,27.1019870885729,38728.7395495707,23.2849015024742,31.3892575037748,"Leucocytozoon"
"73","Anser anser","non-breeding",26.0967584689488,26.0757921262963,10925.7569009181,22.5809533778754,29.8838408236192,"Leucocytozoon"
"74","Anser brachyrhynchus","breeding",48.0925444491013,48.0212346028042,288.127407616825,44.7122100154294,50.5341447754771,"Leucocytozoon"
"75","Anser caerulescens","breeding",41.4866776617631,42.1413439321355,674.261502914167,38.269625617756,46.0799791730692,"Leucocytozoon"
"76","Anser canagicus","breeding",25.6573933195937,25.685626176485,77.0568785294551,25.6249683981747,25.7745168116867,"Leucocytozoon"
"77","Anser cygnoid","breeding",28.6565850269585,28.2745725978686,565.491451957372,26.6015621457732,29.0547654679526,"Leucocytozoon"
"78","Anser erythropus","breeding",43.7065308058518,43.6365170049894,654.547755074841,42.0027765007766,44.5033529296694,"Leucocytozoon"
"79","Anser erythropus","non-breeding",38.7383155794884,38.5921460603802,12272.3024472009,34.3262869699613,42.3032552000234,"Leucocytozoon"
"80","Anser fabalis","breeding",29.903218772969,30.0376181390289,9341.69924123798,26.2292297963079,33.6167479313343,"Leucocytozoon"
"81","Anser fabalis","non-breeding",26.5394997498336,26.5765031963528,10231.9537305958,23.3042126873104,28.6003570308747,"Leucocytozoon"
"82","Anser indicus","breeding",24.3702705359988,24.5250842870864,1250.7792986414,23.044039936549,27.9011698413673,"Leucocytozoon"
"83","Anthropoides virgo","breeding",45.2254689839897,45.0454143764298,8873.94663215667,41.9117096382001,47.746013037209,"Leucocytozoon"
"84","Anthus campestris","breeding",24.3040592169485,24.0832156024702,37931.0645738906,20.1652657120021,28.3816466834938,"Leucocytozoon"
"85","Anthus cervinus","breeding",27.418326241021,27.4237495354278,3619.93493867647,24.315741779627,29.8961729579278,"Leucocytozoon"
"86","Anthus cervinus","non-breeding",22.4780136244572,22.5350686755488,2614.06796636366,20.4116981902961,24.9294313821523,"Leucocytozoon"
"87","Anthus hodgsoni","breeding",26.0922110303329,26.0765085849309,3728.94072764512,25.111504236645,27.5091545686724,"Leucocytozoon"
"88","Anthus petrosus","breeding",24.1193788086639,24.6314598951899,7438.70088834735,21.8456765152866,28.8274342256462,"Leucocytozoon"
"89","Anthus pratensis","breeding",25.4197376426978,25.3132972784579,52651.6583391924,20.8075437832307,30.677482488644,"Leucocytozoon"
"90","Anthus pratensis","non-breeding",23.8212105457333,23.8459927836295,44258.1626064164,20.8075437832307,27.524162072575,"Leucocytozoon"
"91","Anthus spinoletta","breeding",23.9617116292179,24.0414937633671,10650.3817371716,20.6490405169452,27.2760791576833,"Leucocytozoon"
"92","Anthus spinoletta","non-breeding",23.6851521932244,23.7348320806228,35602.2481209343,20.3859350692912,27.3881120038303,"Leucocytozoon"
"93","Anthus trivialis","breeding",27.043504770458,26.8700472429277,93400.2842164165,21.848637981787,30.4406349424289,"Leucocytozoon"
"94","Apus affinis","breeding",26.2281306788444,26.1851263010977,995.034799441711,24.2261777045114,28.7968103764131,"Leucocytozoon"
"95","Apus apus","breeding",32.9499327307081,32.6931422012065,132636.077910295,27.5192908917866,37.6240868674866,"Leucocytozoon"
"96","Apus caffer","breeding",25.9542676044574,26.0273575272061,1327.39523388751,24.6022439756893,27.4198354501607,"Leucocytozoon"
"97","Apus pallidus","breeding",26.7804566662657,26.8314743526594,13764.5463429142,24.0875772881949,29.5363673405907,"Leucocytozoon"
"98","Apus pallidus","non-breeding",26.9114980856906,26.7806127821947,348.147966168531,25.7336793646148,27.2436484819387,"Leucocytozoon"
"99","Aquila adalberti","breeding",51.8609221136802,51.7045502348152,3877.84126761114,49.212894284847,53.4790175418499,"Leucocytozoon"
"100","Aquila adalberti","non-breeding",51.3096157726179,51.5698489519472,4022.44821825188,49.3839098731759,53.4818557425992,"Leucocytozoon"
"101","Aquila chrysaetos","breeding",50.1120872365093,50.0417595995738,71159.3821505939,45.1397413861406,54.7914667745071,"Leucocytozoon"
"102","Aquila chrysaetos","non-breeding",50.963208142329,50.803662853863,190056.502736302,44.290686329902,55.2866932648864,"Leucocytozoon"
"103","Aquila fasciata","breeding",43.1136636138863,43.2926232443728,11082.9115505594,40.7152625033568,45.7693032604093,"Leucocytozoon"
"104","Aquila fasciata","non-breeding",43.0469079029718,43.1617600732496,22487.276998163,40.1753760664628,45.7693032604093,"Leucocytozoon"
"105","Aquila heliaca","breeding",58.4535298330323,58.2350607403285,20906.3868057779,55.3340414664875,61.504476003825,"Leucocytozoon"
"106","Aquila heliaca","non-breeding",56.8271016858668,56.5621782727397,16289.907342549,51.8361712711422,59.1264792140566,"Leucocytozoon"
"107","Aquila nipalensis","breeding",51.760440686347,51.6876750928766,6564.33473679533,48.4434459481529,53.8037147722761,"Leucocytozoon"
"108","Aratinga nenday","breeding",36.0607782444533,36.0607782444533,36.0607782444533,36.0607782444533,36.0607782444533,"Leucocytozoon"
"109","Ardea alba","breeding",24.8630982389862,24.7833850823306,22404.1801144268,20.0061880527102,29.0442750745739,"Leucocytozoon"
"110","Ardea alba","non-breeding",23.0998277791995,23.2164736912268,13488.7712146028,20.5358328721875,28.0905887981392,"Leucocytozoon"
"111","Ardea cinerea","breeding",35.4311712690388,35.1861912874731,103552.960959033,29.8293453264432,40.3487174193825,"Leucocytozoon"
"112","Ardea cinerea","non-breeding",33.6662950410066,33.7212221673925,60057.496680126,29.8293453264432,38.1107766821598,"Leucocytozoon"
"113","Ardea purpurea","breeding",25.2184550837864,25.1059694776939,22017.9352319375,21.1385033523867,30.0621404483322,"Leucocytozoon"
"114","Ardenna gravis","non-breeding",23.5481390702295,23.4706316403593,3708.35979917678,21.8896037832193,25.6331651860765,"Leucocytozoon"
"115","Ardenna grisea","non-breeding",26.5471060343001,26.6431598644969,13374.8662519774,24.6122752212498,28.9083864703073,"Leucocytozoon"
"116","Ardeola ralloides","breeding",17.5393704703318,17.5126414605299,6199.4750770276,14.9714731406248,21.125375267273,"Leucocytozoon"
"117","Arenaria interpres","breeding",21.4903780697206,21.530737556482,4155.43234840103,17.3063140404435,26.1965669614211,"Leucocytozoon"
"118","Arenaria interpres","non-breeding",19.0619754493905,19.107356420631,6534.71589585579,17.1816352040408,21.4246811363358,"Leucocytozoon"
"119","Argya altirostris","breeding",17.6081542910537,17.8018916184475,89.0094580922376,17.4358075926145,18.2630393589131,"Leucocytozoon"
"120","Asio flammeus","breeding",36.0157040513546,35.8427886142214,61613.7536278466,29.3241098955439,40.1562764480166,"Leucocytozoon"
"121","Asio flammeus","non-breeding",34.3702477795362,34.2443336988032,59002.9869630379,29.3241098955439,39.7193611723568,"Leucocytozoon"
"122","Asio otus","breeding",40.012701641492,39.7415707004157,128087.08236744,34.312715756268,44.8855583911283,"Leucocytozoon"
"123","Asio otus","non-breeding",39.8674694596045,39.6850794277892,130762.336714565,33.9604034844095,44.8776285881217,"Leucocytozoon"
"124","Athene noctua","breeding",36.3363685208165,36.2293522996225,85211.4366087121,31.6366378973491,41.7540482871253,"Leucocytozoon"
"125","Athene noctua","non-breeding",36.7205376394773,36.5809745505507,122692.588642547,31.2998224422209,42.0083383486132,"Leucocytozoon"
"126","Aythya affinis","breeding",21.0862898014775,21.0862898014775,21.0862898014775,21.0862898014775,21.0862898014775,"Leucocytozoon"
"127","Aythya collaris","breeding",22.72712930622,22.72712930622,45.45425861244,20.0024242881422,25.4518343242978,"Leucocytozoon"
"128","Aythya ferina","breeding",27.8952302851593,27.7380417565774,53534.4205901945,22.7854649355657,32.1570800193936,"Leucocytozoon"
"129","Aythya ferina","non-breeding",26.3063180362428,26.3512245926817,38841.7050496128,22.7854649355657,30.2711620255731,"Leucocytozoon"
"130","Aythya fuligula","breeding",23.6509822833993,23.5815001771897,50888.8773823754,19.4769820883813,27.9305278220556,"Leucocytozoon"
"131","Aythya fuligula","non-breeding",22.0374163601811,22.1683754545657,20062.379786382,18.8493128781674,27.2909209165778,"Leucocytozoon"
"132","Aythya marila","breeding",25.7101450213554,25.6417365967402,5025.78037296108,20.2177974840729,28.97911130904,"Leucocytozoon"
"133","Aythya marila","non-breeding",22.5371362066597,22.6302146619887,15162.2438235324,19.3467050393941,28.0593080352017,"Leucocytozoon"
"134","Aythya nyroca","breeding",21.0784518131047,20.9525110618394,9428.62997782775,17.3411534545828,25.6122387478169,"Leucocytozoon"
"135","Aythya nyroca","non-breeding",20.5654368714735,20.6465733512719,22133.1266325635,17.3411534545828,25.4572975433214,"Leucocytozoon"
"136","Bombycilla garrulus","breeding",31.6253003746924,31.6083217100203,20798.2756851934,26.4771840303371,34.6306467693954,"Leucocytozoon"
"137","Bombycilla garrulus","non-breeding",30.1374374029624,30.1744607785529,82557.3246901209,24.7256582162259,34.4599409949565,"Leucocytozoon"
"138","Bonasa bonasia","breeding",38.1316281255023,37.9374487420719,63659.0389891966,32.6316957883942,41.0887253046442,"Leucocytozoon"
"139","Bonasa bonasia","non-breeding",38.110421316211,37.9688795242158,89302.8046409555,32.6316957883942,42.2403706823387,"Leucocytozoon"
"140","Botaurus stellaris","breeding",22.6831153777615,22.6890245763588,42723.4332772837,18.0415718052533,26.4379374647553,"Leucocytozoon"
"141","Botaurus stellaris","non-breeding",21.0205027794917,21.0211397315221,13012.0854938122,18.5280264948311,23.8900684055162,"Leucocytozoon"
"142","Branta canadensis","breeding",42.974550032619,43.2486379108415,31052.5220199842,38.720862079445,47.1451369402968,"Leucocytozoon"
"143","Branta hutchinsii","breeding",42.3605630502587,42.3824333914662,593.354067480527,42.1912334611468,42.6245210721155,"Leucocytozoon"
"144","Branta leucopsis","breeding",44.3655512074483,44.1825112535932,15242.9663824897,39.1075591219808,50.605096789224,"Leucocytozoon"
"145","Branta ruficollis","non-breeding",40.2674811043722,40.1058897357314,13555.7907306772,35.7324143156962,43.580153373563,"Leucocytozoon"
