,species,season,median,mean,sum,min,max,pathogen
1,Barbastella_barbastellus,all,33.52052724,34.25644437,60565.39364,17.06664709,55.31121523,Lyssavirus
2,Eptesicus_isabellinus,all,77.13013471,76.55023236,8037.774398,69.4081627,80.95760974,Lyssavirus
3,Eptesicus_nilssonii,all,53.33953531,52.97769939,128735.8095,35.42801666,73.78914444,Lyssavirus
4,Eptesicus_serotinus,all,64.74912791,65.30374593,159275.8363,44.1109975,82.32772889,Lyssavirus
5,Miniopterus_schreibersii,all,14.6606915,15.58342025,14570.49793,5.312176441,27.69198227,Lyssavirus
6,Myotis_alcathoe,all,38.1043328,37.98406279,11661.10728,25.14072664,53.04880297,Lyssavirus
7,Myotis_aurascens,all,67.0846115,67.13063745,50213.71682,48.45924084,82.2739033,Lyssavirus
8,Myotis_bechsteinii,all,33.77236474,34.8541546,44927.00528,16.20969308,53.37801335,Lyssavirus
9,Myotis_blythii,all,34.34579391,35.57457359,42120.29513,15.86364161,53.11635773,Lyssavirus
10,Myotis_brandtii,all,41.73310759,42.2853903,100131.8042,25.18702699,68.10272101,Lyssavirus
11,Myotis_capaccinii,all,38.28895336,37.76792189,20961.19665,15.91035971,52.54551053,Lyssavirus
12,Myotis_dasycneme,all,27.45049561,27.86878408,45676.9371,15.83517343,41.04344495,Lyssavirus
13,Myotis_daubentonii,all,38.50315813,38.79818678,117946.4878,19.06858617,63.11152474,Lyssavirus
14,Myotis_emarginatus,all,14.08666998,15.22837396,20527.84809,5.449353168,28.25280797,Lyssavirus
15,Myotis_escalerai,all,20.00983601,19.76052077,5276.059044,9.532488834,27.54550189,Lyssavirus
16,Myotis_myotis,all,19.67362189,21.01885308,31486.24192,9.506191249,35.94847802,Lyssavirus
17,Myotis_mystacinus,all,19.16903462,19.19737957,40890.41848,8.626617671,40.47975777,Lyssavirus
18,Myotis_nattereri,all,30.15559753,30.24236215,56341.52068,17.06184854,52.81216637,Lyssavirus
19,Myotis_punicus,all,45.1670452,44.49078697,1290.232822,38.46635722,51.44931639,Lyssavirus
20,Nyctalus_lasiopterus,all,13.28065902,14.5995603,20512.38222,8.549717081,30.59154861,Lyssavirus
21,Nyctalus_leisleri,all,11.63251567,12.24202732,26601.92537,5.825016645,24.28807096,Lyssavirus
22,Nyctalus_noctula,all,36.31183705,36.8650387,96033.42582,22.25276959,61.00526549,Lyssavirus
23,Pipistrellus_hanaki,all,68.60485939,68.4694157,890.1024041,65.81898493,70.01754343,Lyssavirus
24,Pipistrellus_kuhlii,all,40.90591322,41.21606847,74188.92324,21.75121655,60.4579204,Lyssavirus
25,Pipistrellus_nathusii,all,28.43176989,28.96731313,78530.38589,15.24621314,50.43682396,Lyssavirus
26,Pipistrellus_pipistrellus,all,47.9253801,48.76455835,96992.70655,27.0889364,67.86761123,Lyssavirus
27,Pipistrellus_pygmaeus,all,61.45265104,62.29416102,68212.10631,37.30147604,78.94075709,Lyssavirus
28,Pipistrellus_savii,all,39.84599308,39.74320977,32589.43201,18.82793507,54.49298742,Lyssavirus
29,Plecotus_auritus,all,34.66974542,34.92770746,94758.87034,17.67774386,62.05750398,Lyssavirus
30,Plecotus_austriacus,all,41.65882558,42.36034596,56889.94462,21.20693055,62.17681935,Lyssavirus
31,Plecotus_kolombatovici,all,56.24003829,55.26639323,4918.708997,39.38766997,63.79866607,Lyssavirus
32,Plecotus_macrobullaris,all,42.00247977,42.04087168,10468.17705,21.1630961,62.10430487,Lyssavirus
33,Plecotus_sardus,all,47.73979407,47.2672046,992.6112965,42.17856694,50.79034512,Lyssavirus
34,Rhinolophus_blasii,all,28.2271657,29.55470004,6797.581009,16.90894519,42.53761685,Lyssavirus
35,Rhinolophus_euryale,all,33.92957821,33.68471071,31124.6727,15.34045108,48.06618081,Lyssavirus
36,Rhinolophus_ferrumequinum,all,43.99382147,45.13600741,58315.72157,21.28207556,63.62859537,Lyssavirus
37,Rhinolophus_hipposideros,all,36.92877953,37.96452547,59794.12762,17.68072946,55.85435785,Lyssavirus
38,Rhinolophus_mehelyi,all,37.4137123,36.14274278,13842.67049,15.01547292,49.71369379,Lyssavirus
39,Rousettus_aegyptiacus,all,52.39978661,51.51948053,618.2337663,46.13752443,53.48563384,Lyssavirus
40,Tadarida_teniotis,all,33.43322409,32.75081463,27117.67451,13.30711016,46.45410873,Lyssavirus
41,Vespertilio_murinus,all,4.959218827,5.13997574,11842.50411,2.477407159,13.30335474,Lyssavirus
