"","species","season","median","mean","sum","min","max","pathogen"
"1","Acanthis flammea","breeding",11.6289784036077,11.7859705895157,15392.4775899075,9.24322281923054,14.1264181148605,"Plasmodium"
"2","Accipiter badius","breeding",11.9725448049666,11.5093095759133,80.5651670313934,9.93017180761593,12.8503410614309,"Plasmodium"
"3","Accipiter badius","non-breeding",11.1026710638651,11.3903303197803,136.683963837364,10.3282466755662,12.8503410614309,"Plasmodium"
"4","Accipiter brevipes","breeding",11.4707350983606,11.4742143804853,3752.06810241869,9.8605274418439,13.9292367004417,"Plasmodium"
"5","Accipiter gentilis","breeding",12.4560666536582,12.4511563292403,40242.1372561047,9.4196547892564,15.5412555528912,"Plasmodium"
"6","Accipiter gentilis","non-breeding",12.3478319977217,12.3424991139275,50591.903867989,9.6642154525886,15.6833675503896,"Plasmodium"
"7","Accipiter nisus","breeding",12.2060986473127,12.2657123210578,44365.081465266,9.91496229004015,15.1943889541727,"Plasmodium"
"8","Accipiter nisus","non-breeding",12.4710021292978,12.5850373644541,48326.5434795038,10.2846201760048,15.4376619241099,"Plasmodium"
"9","Acridotheres cristatellus","breeding",15.6706340702598,15.6706340702598,31.3412681405195,15.6520897445046,15.689178396015,"Plasmodium"
"10","Acridotheres cristatellus","non-breeding",15.6520897445046,15.5919096193241,77.9595480966203,15.4577947144901,15.689178396015,"Plasmodium"
"11","Acridotheres tristis","breeding",22.0889128137207,21.9861461015193,241.847607116713,20.282288236174,22.7784606776871,"Plasmodium"
"12","Acridotheres tristis","non-breeding",22.2167003843494,22.2196066266559,88.8784265066234,21.9079441119139,22.5370816260107,"Plasmodium"
"13","Acrocephalus agricola","breeding",6.76019382687292,6.78094115644946,2095.31081734288,5.95580277946951,7.74099004165901,"Plasmodium"
"14","Acrocephalus arundinaceus","breeding",7.01201550921258,7.11322572765245,18160.0652826967,5.913399154662,8.94840508259447,"Plasmodium"
"15","Acrocephalus dumetorum","breeding",6.37433617925748,6.39417380025266,8875.11323475069,5.36497767133675,7.77453859406131,"Plasmodium"
"16","Acrocephalus dumetorum","non-breeding",6.80126819913713,6.78916381162372,12010.0307827624,5.82917048280584,8.77934031859183,"Plasmodium"
"17","Acrocephalus melanopogon","breeding",7.19014801915382,7.29831347417016,1627.52390473995,6.22213656034633,8.87394600563346,"Plasmodium"
"18","Acrocephalus melanopogon","non-breeding",7.93560286362716,7.95067920900373,3188.2223628105,6.26606896991523,8.95173018928256,"Plasmodium"
"19","Acrocephalus paludicola","breeding",6.9371126821606,6.96244315947575,348.122157973788,6.78648114689233,7.16018532424217,"Plasmodium"
"20","Acrocephalus palustris","breeding",10.2676698063053,10.3042704458064,25049.6814537554,9.05967581971631,12.9227729802503,"Plasmodium"
"21","Acrocephalus schoenobaenus","breeding",6.92007228804724,6.912892699596,20254.7756098163,5.16316556883402,9.11278800884526,"Plasmodium"
"22","Acrocephalus scirpaceus","breeding",6.71153199425937,6.76849873326942,16758.8028635751,5.37280008769024,8.38377031431579,"Plasmodium"
"23","Actitis hypoleucos","breeding",6.34325758428926,6.3939605847633,20211.3094084368,4.80050186107549,8.47867396575364,"Plasmodium"
"24","Actitis hypoleucos","non-breeding",7.45205671614103,7.47951942146939,1869.87985536735,6.83037531943157,8.60675309879509,"Plasmodium"
"25","Actitis macularius","breeding",7.46789041696947,7.46789041696947,7.46789041696947,7.46789041696947,7.46789041696947,"Plasmodium"
"26","Aegithalos caudatus","breeding",14.5631797889742,14.6023236685413,49983.7539174167,11.4758267612169,17.8656859181618,"Plasmodium"
"27","Aegithalos caudatus","non-breeding",14.3743758293812,14.4482327082801,55047.7666185473,11.8988504733368,17.9783154571119,"Plasmodium"
"28","Aegolius funereus","breeding",12.6106811411046,12.5569012722769,17315.9668544699,10.6669698164023,15.5687048982333,"Plasmodium"
"29","Aegolius funereus","non-breeding",12.1491844656445,12.2739674859899,28892.9194620202,9.97873072030895,15.402986223285,"Plasmodium"
