"","species","season","median","mean","sum","min","max","pathogen"
"1","Acanthis flammea","breeding",2.37476517000559,2.53637069974778,3312.5001338706,1.56338918516184,3.88171210422893,"Rickettsia"
"2","Accipiter badius","breeding",6.11552428014757,5.9754202997979,41.8279420985853,4.12568826671319,7.65852672859247,"Rickettsia"
"3","Accipiter badius","non-breeding",5.65063860664826,5.56724657906676,66.8069589488011,4.12568826671319,6.84715646583156,"Rickettsia"
"4","Accipiter brevipes","breeding",6.03568896479645,6.04592073292735,1977.01607966724,3.9089133012005,9.22668273874125,"Rickettsia"
"5","Accipiter gentilis","breeding",7.96368770378469,8.15055513495762,26342.594196183,4.70507002816413,15.7366415863951,"Rickettsia"
"6","Accipiter gentilis","non-breeding",7.75552041306478,8.08653943243364,33146.7251335455,4.50685818798664,16.1897042687931,"Rickettsia"
"7","Accipiter nisus","breeding",5.89933519694134,6.14989429087825,22244.1676501066,3.19926030477023,12.1244587004304,"Rickettsia"
"8","Accipiter nisus","non-breeding",6.37544113859355,6.7468178907541,25907.7807004957,3.17332886236263,13.1700797263941,"Rickettsia"
"9","Acridotheres cristatellus","breeding",6.87679812491371,6.87679812491371,13.7535962498274,6.80581221771051,6.94778403211691,"Rickettsia"
"10","Acridotheres cristatellus","non-breeding",6.83013847086716,6.80370407054155,34.0185203527078,6.55787182576977,6.94778403211691,"Rickettsia"
"11","Acridotheres tristis","breeding",9.46774502189066,9.84729832761759,108.320281603794,8.47007299708641,12.5156375473872,"Rickettsia"
"12","Acridotheres tristis","non-breeding",7.66326141370574,7.74042903906719,30.9617161562687,7.32458852934294,8.31060479951433,"Rickettsia"
"13","Acrocephalus agricola","breeding",2.49032912197241,2.60603578637529,805.265057989966,1.59086355821944,4.04743948921288,"Rickettsia"
"14","Acrocephalus arundinaceus","breeding",3.01846935406209,3.21984859360777,8220.27345948064,1.71940896741948,6.17964661423635,"Rickettsia"
"15","Acrocephalus dumetorum","breeding",1.9054751148203,1.92691330457238,2674.55566674646,1.39125655899722,3.5510332700412,"Rickettsia"
"16","Acrocephalus dumetorum","non-breeding",2.29058726751091,2.39003296743763,4227.96831939716,1.3292806970176,4.46342249172874,"Rickettsia"
"17","Acrocephalus melanopogon","breeding",2.97913937075649,3.08917411565587,688.885827791259,1.60932234980217,4.79992718572062,"Rickettsia"
"18","Acrocephalus melanopogon","non-breeding",3.72490646817013,3.7125719133589,1488.74133725692,2.18895435421808,5.17367098020846,"Rickettsia"
"19","Acrocephalus paludicola","breeding",2.24763434886885,2.27444205462457,113.722102731228,1.99821105676798,2.59917760404044,"Rickettsia"
"20","Acrocephalus palustris","breeding",2.43171507463624,2.48993728459576,6053.0375388523,1.39599852450265,4.47493284909625,"Rickettsia"
"21","Acrocephalus schoenobaenus","breeding",2.11723055253922,2.17536621124009,6373.82299893345,1.26958037946036,4.80113486044406,"Rickettsia"
"22","Acrocephalus scirpaceus","breeding",2.63779368254089,2.81469166009422,6969.1765503933,1.44998348029259,5.47926207785971,"Rickettsia"
"23","Actitis hypoleucos","breeding",2.84512785962078,2.98963178205265,9450.22606306842,1.70852972051773,6.64818278443427,"Rickettsia"
"24","Actitis hypoleucos","non-breeding",4.00195962908168,4.47381704811122,1118.4542620278,2.70577883959461,7.1900772032582,"Rickettsia"
"25","Actitis macularius","breeding",2.67407381232959,2.67407381232959,2.67407381232959,2.67407381232959,2.67407381232959,"Rickettsia"
"26","Aegithalos caudatus","breeding",3.73480438532308,3.93153564291138,13457.6465056857,1.88818358336468,8.3930819307079,"Rickettsia"
"27","Aegithalos caudatus","non-breeding",3.66112742900967,3.88532327174722,14803.0816653569,1.87884139694117,8.93244675854324,"Rickettsia"
"28","Aegolius funereus","breeding",4.4189405761951,4.47607334792816,6172.50514679293,3.00012231671909,8.13568546300247,"Rickettsia"
"29","Aegolius funereus","non-breeding",4.2454332937554,4.34502164391714,10228.1809497809,2.72069026297669,8.45311278540087,"Rickettsia"
"30","Aegypius monachus","breeding",19.5788976734427,19.4870340942302,2552.80146634415,11.6449314611,25.5717642540928,"Rickettsia"
"31","Aegypius monachus","non-breeding",20.1166777243218,19.9938905471515,9956.95749248144,11.6449314611,29.2249839280211,"Rickettsia"
"32","Agapornis fischeri","breeding",7.38085992196688,7.38085992196688,7.38085992196688,7.38085992196688,7.38085992196688,"Rickettsia"
"33","Agapornis personatus","breeding",7.51294239601272,7.51294239601272,7.51294239601272,7.51294239601272,7.51294239601272,"Rickettsia"
"34","Aix galericulata","breeding",7.97493035835432,7.89531372812649,2423.86131453483,4.97361882107303,10.5676117889306,"Rickettsia"
"35","Aix sponsa","breeding",10.2102122462161,10.2527679041876,584.407770538692,8.51797463600246,13.6689612493414,"Rickettsia"
"36","Alaemon alaudipes","non-breeding",8.71766184227079,8.71766184227079,8.71766184227079,8.71766184227079,8.71766184227079,"Rickettsia"
"37","Alauda arvensis","breeding",3.157472139594,3.28186928238411,12175.7350376451,1.66362935845679,6.51266715568671,"Rickettsia"
"38","Alauda arvensis","non-breeding",3.78069423564822,3.9539324025472,6883.79631283467,1.81574309692493,7.24652698135136,"Rickettsia"
"39","Alauda leucoptera","breeding",3.75603362001966,3.73765725415548,265.373665045039,2.6681775215368,4.9841041071679,"Rickettsia"
"40","Alaudala rufescens","breeding",4.15387408993697,4.26362702643791,1146.9156701118,2.69289987216424,6.39600539113392,"Rickettsia"
"41","Alca torda","breeding",7.44636706456889,7.4330609320372,1501.47830827151,5.95610223035361,9.44808475078694,"Rickettsia"
"42","Alca torda","non-breeding",8.27535142482255,8.62995129811776,4798.25292175347,6.05075241630355,13.4977932185996,"Rickettsia"
"43","Alcedo atthis","breeding",4.66468599644744,4.85578272428901,11945.225501751,2.67026401906262,9.04709200796404,"Rickettsia"
"44","Alcedo atthis","non-breeding",5.20215684835666,5.51492195206621,10390.1129576927,2.73801191952763,9.79620213989923,"Rickettsia"
"45","Alectoris barbara","breeding",11.9352602621982,11.8473418534927,248.794178923348,10.2982967724969,12.9593434639708,"Rickettsia"
"46","Alectoris barbara","non-breeding",11.9322865307432,11.8745090479587,261.239199055092,10.2982967724969,13.4901851321795,"Rickettsia"
"47","Alectoris chukar","breeding",11.9430597446129,12.2198596348676,4900.16371358192,5.84372828739558,17.8941163335324,"Rickettsia"
"48","Alectoris chukar","non-breeding",11.8178727177207,12.2045307371609,7505.78640335395,5.84372828739558,18.424331896374,"Rickettsia"
"49","Alectoris graeca","breeding",8.51409181925889,8.76550005055034,1788.16201031227,5.05672303697779,13.5585128364466,"Rickettsia"
"50","Alectoris rufa","breeding",11.8834059190667,12.2940512273219,7819.01658057671,7.43096349515029,18.2818307591322,"Rickettsia"
"51","Alle alle","breeding",3.47541323407085,3.47541323407085,3.47541323407085,3.47541323407085,3.47541323407085,"Rickettsia"
"52","Alle alle","non-breeding",3.9834290024003,3.96322114676528,1577.36201641258,2.5348338247146,5.26190824430401,"Rickettsia"
"53","Alopochen aegyptiaca","breeding",9.75835818378295,10.0964411174744,4210.21594598681,6.62712687585052,15.6854761563389,"Rickettsia"
"54","Amandava amandava","breeding",6.08044259857396,5.86252310067827,170.01316991967,4.05212767049564,7.04870874827894,"Rickettsia"
"55","Amazona aestiva","breeding",12.2438717660981,12.2438717660981,12.2438717660981,12.2438717660981,12.2438717660981,"Rickettsia"
"56","Amazona oratrix","breeding",13.5427942203807,13.5427942203807,27.0855884407614,13.2796695474073,13.8059188933542,"Rickettsia"
"57","Ammomanes cinctura","non-breeding",5.26865883615568,5.25446174517922,31.5267704710753,4.32120227652583,6.23833957250739,"Rickettsia"
