"","species","season","median","mean","sum","min","max","pathogen"
"1","Acanthis flammea","breeding",9.25216587533065,19.988096027103,26104.4534113966,2.25014751269882,85.8203500681813,"Sindbis virus"
"2","Accipiter badius","breeding",20.6698540953046,21.1267889081571,147.8875223571,4.40356280291279,59.7773986699565,"Sindbis virus"
"3","Accipiter badius","non-breeding",19.726473698644,22.53685404758,270.442248570961,4.40356280291279,59.7773986699565,"Sindbis virus"
"4","Accipiter brevipes","breeding",22.904605666434,27.6549268344282,9043.16107485804,2.22229095553193,85.3884817976268,"Sindbis virus"
"5","Accipiter gentilis","breeding",52.1175358603485,53.5150125326648,172960.520505572,5.59575272627012,96.9346297264973,"Sindbis virus"
"6","Accipiter gentilis","non-breeding",51.0775593172174,52.151512252773,213769.048724116,3.39466097154724,96.9346297264973,"Sindbis virus"
"7","Accipiter nisus","breeding",33.1215206896073,37.6815827513756,136294.284811726,1.55903760978314,94.5374119231738,"Sindbis virus"
"8","Accipiter nisus","non-breeding",31.7968087557179,36.1084959770155,138656.624551739,1.18414637089776,94.6166498475497,"Sindbis virus"
"9","Acridotheres cristatellus","breeding",0.814907021429785,0.814907021429785,1.62981404285957,0.782522038511909,0.847292004347662,"Sindbis virus"
"10","Acridotheres cristatellus","non-breeding",0.823358319529294,0.782260166618426,3.91130083309213,0.6202927132875,0.847292004347662,"Sindbis virus"
"11","Acridotheres tristis","breeding",8.23306826172843,7.85934810567961,86.4528291624758,0.379674715877643,14.7824136859765,"Sindbis virus"
"12","Acridotheres tristis","non-breeding",48.2446877377241,49.1397918768494,196.559167507397,37.928646635041,62.1411453969084,"Sindbis virus"
"13","Acrocephalus agricola","breeding",0.0837302021220112,0.130581915623374,40.3498119276227,0.00883777307679033,1.48440382482854,"Sindbis virus"
"14","Acrocephalus arundinaceus","breeding",0.740516880483045,2.53228403136954,6464.92113208644,0.00964756765545046,50.5966540897687,"Sindbis virus"
"15","Acrocephalus dumetorum","breeding",0.577609745151636,0.94616015287771,1313.27029219426,0.0137837844050043,60.6384481777874,"Sindbis virus"
"16","Acrocephalus dumetorum","non-breeding",0.311016864003042,1.02081573021671,1805.82302675336,0.00669619577787966,37.2272105714298,"Sindbis virus"
"17","Acrocephalus melanopogon","breeding",0.172041786586879,1.12516142735024,250.910998299103,0.0106266217436825,32.8561556095799,"Sindbis virus"
"18","Acrocephalus melanopogon","non-breeding",0.478238964930842,1.7008220418399,682.0296387778,0.00560085348704995,23.522619835441,"Sindbis virus"
"19","Acrocephalus paludicola","breeding",0.351749963664278,0.395598003617805,19.7799001808902,0.112229901117915,1.77482781575344,"Sindbis virus"
"20","Acrocephalus palustris","breeding",11.3619918844308,16.1441490463465,39246.4263316683,0.306268126177022,89.1037008129023,"Sindbis virus"
"21","Acrocephalus schoenobaenus","breeding",0.552100879569171,2.55247277284887,7478.74522444719,0.0086486861520825,61.1533120345807,"Sindbis virus"
"22","Acrocephalus scirpaceus","breeding",0.658838579677946,2.54543619518482,6302.50001927763,0.00663473226561331,55.3819919835989,"Sindbis virus"
"23","Actitis hypoleucos","breeding",1.54735219010993,5.23430370790454,16545.6340206862,0.0238485646477984,71.1103334748972,"Sindbis virus"
"24","Actitis hypoleucos","non-breeding",2.46089199541186,5.38412468422995,1346.03117105749,0.0150001568972647,34.3906794749163,"Sindbis virus"
"25","Actitis macularius","breeding",32.8651924439626,32.8651924439626,32.8651924439626,32.8651924439626,32.8651924439626,"Sindbis virus"
"26","Aegithalos caudatus","breeding",7.91124345557578,14.6243263196539,50059.0689921752,0.142687326454132,86.0853082666275,"Sindbis virus"
"27","Aegithalos caudatus","non-breeding",7.13698321077053,13.2087323395132,50325.2702135455,0.157246466142334,86.0853082666275,"Sindbis virus"
"28","Aegolius funereus","breeding",27.6030369484074,35.4666186210844,48908.4670784753,2.40824113389628,93.1230021288378,"Sindbis virus"
"29","Aegolius funereus","non-breeding",25.3544653567181,30.8613885749725,72647.7087054853,1.45532935391832,92.922850164839,"Sindbis virus"
"30","Aegypius monachus","breeding",79.8613539646471,77.2419651018405,10118.6974283411,35.3419048480175,98.9036133963698,"Sindbis virus"
"31","Aegypius monachus","non-breeding",79.056120660522,76.212409825365,37953.7800930318,24.1084995883869,98.9036133963698,"Sindbis virus"
"32","Agapornis fischeri","breeding",40.0688969485686,40.0688969485686,40.0688969485686,40.0688969485686,40.0688969485686,"Sindbis virus"
"33","Agapornis personatus","breeding",41.1018727583537,41.1018727583537,41.1018727583537,41.1018727583537,41.1018727583537,"Sindbis virus"
"34","Aix galericulata","breeding",69.0881962150791,67.2713156395505,20652.293901342,29.3862703879928,95.6201604989064,"Sindbis virus"
"35","Aix sponsa","breeding",13.1789246371237,15.5653823584533,887.226794431837,2.40037662394828,50.6987379510179,"Sindbis virus"
"36","Alaemon alaudipes","non-breeding",0.565611489886654,0.565611489886654,0.565611489886654,0.565611489886654,0.565611489886654,"Sindbis virus"
"37","Alauda arvensis","breeding",0.659061608853582,0.848714931291757,3148.73239509242,0.0390509532229158,6.0022792912568,"Sindbis virus"
"38","Alauda arvensis","non-breeding",0.700896186728096,0.97896174336056,1704.37239519074,0.0215369242530315,4.89096100354341,"Sindbis virus"
"39","Alauda leucoptera","breeding",0.155765840112116,0.197933651794998,14.0532892774449,0.0782881616394454,0.761525903590911,"Sindbis virus"
