"","species","season","median","mean","sum","min","max","pathogen"
"1","Acanthis flammea","breeding",2.38214104185475,3.14363706437188,4105.59000606967,0.724783470739466,14.7163135617016,"Tick-borne encephalitis virus"
"2","Accipiter badius","breeding",9.05577605941954,9.39548266952253,65.7683786866577,5.09369727428373,16.3320881054227,"Tick-borne encephalitis virus"
"3","Accipiter badius","non-breeding",8.61213589056915,8.54338639678644,102.520636761437,5.09369727428373,11.4338269484627,"Tick-borne encephalitis virus"
"4","Accipiter brevipes","breeding",5.31360689312406,6.13726903706265,2006.88697511948,2.71891102434397,15.111102432362,"Tick-borne encephalitis virus"
"5","Accipiter gentilis","breeding",4.21045898953951,5.13626402438739,16600.4053268201,1.50084853904037,23.8052284172124,"Tick-borne encephalitis virus"
"6","Accipiter gentilis","non-breeding",4.46212598750436,5.81033626969957,23816.5683694985,1.50084853904037,21.4346089108619,"Tick-borne encephalitis virus"
"7","Accipiter nisus","breeding",1.92830275646481,2.53998714687732,9187.13351025528,0.743761368511721,11.2249487386919,"Tick-borne encephalitis virus"
"8","Accipiter nisus","non-breeding",1.76104641817351,2.03731781841857,7823.3004227273,0.743761368511721,8.45476279199344,"Tick-borne encephalitis virus"
"9","Acridotheres cristatellus","breeding",1.24763748299551,1.24763748299551,2.49527496599102,1.22490681832988,1.27036814766114,"Tick-borne encephalitis virus"
"10","Acridotheres cristatellus","non-breeding",1.24456739850614,1.2482311778821,6.24115588941048,1.18834470210591,1.31296882280741,"Tick-borne encephalitis virus"
"11","Acridotheres tristis","breeding",1.8567589442523,2.08270410932878,22.9097452026166,1.68163051439105,3.30149474474485,"Tick-borne encephalitis virus"
"12","Acridotheres tristis","non-breeding",1.35536893219548,1.35927404170152,5.43709616680607,1.26645360691723,1.45990469549788,"Tick-borne encephalitis virus"
"13","Acrocephalus agricola","breeding",1.67243182158102,1.79653124493813,555.128154685883,1.0624523411877,3.55911129500686,"Tick-borne encephalitis virus"
"14","Acrocephalus arundinaceus","breeding",1.05605339118181,1.13385393260053,2894.72908992915,0.567406376610616,3.18531900294791,"Tick-borne encephalitis virus"
"15","Acrocephalus dumetorum","breeding",2.02642276751823,2.15738633910934,2994.45223868377,0.769165937024245,7.61237368860251,"Tick-borne encephalitis virus"
