"","species","season","median","mean","sum","min","max","pathogen"
"1","Acanthis flammea","breeding",36.1762207354496,35.6625272721926,46575.2606174835,26.0752142831899,45.9877352779697,"Trichomonas"
"2","Accipiter badius","breeding",22.1451134065555,22.3118458733987,156.182921113791,17.6642754731251,27.4236676868806,"Trichomonas"
"3","Accipiter badius","non-breeding",22.9256397961946,22.161398675152,265.936784101824,17.6642754731251,25.0990773079397,"Trichomonas"
"4","Accipiter brevipes","breeding",20.4115877096756,20.6868362699175,6764.59546026304,14.7318908196863,28.0430656955163,"Trichomonas"
"5","Accipiter gentilis","breeding",31.0751557840592,30.7211213479252,99290.6641964943,22.4332607098175,40.5055188020147,"Trichomonas"
"6","Accipiter gentilis","non-breeding",31.3142214173868,31.1211234412155,127565.484985542,22.1231925254854,39.5569148267401,"Trichomonas"
"7","Accipiter nisus","breeding",31.5320517298166,31.1485391200512,112664.265997225,22.6153169290172,39.0672200245184,"Trichomonas"
"8","Accipiter nisus","non-breeding",30.9850770673669,30.5863396897788,117451.544408751,22.6153169290172,40.8386176858458,"Trichomonas"
"9","Acridotheres cristatellus","breeding",19.3284033599035,19.3284033599035,38.656806719807,19.2956332558356,19.3611734639714,"Trichomonas"
"10","Acridotheres cristatellus","non-breeding",19.3611734639714,19.4789108878005,97.3945544390025,19.2956332558356,19.9321052481945,"Trichomonas"
"11","Acridotheres tristis","breeding",18.8301566252347,19.2362840858452,211.599124944297,17.980320818325,22.4973140523513,"Trichomonas"
"12","Acridotheres tristis","non-breeding",16.6145440385896,16.6481674947066,66.5926699788263,16.0061886501817,17.3573932514654,"Trichomonas"
"13","Acrocephalus agricola","breeding",10.7936951701777,11.0497617774376,3414.37638922822,8.7813990673906,15.0409560937716,"Trichomonas"
"14","Acrocephalus arundinaceus","breeding",8.16256637443311,8.06776995775512,20597.0167021488,5.19782144965595,13.310109069113,"Trichomonas"
"15","Acrocephalus dumetorum","breeding",10.7835330467771,10.7008189287092,14852.7366730483,6.29165184137767,13.7171336220208,"Trichomonas"
"16","Acrocephalus dumetorum","non-breeding",9.88382208498548,10.1875453992663,18021.7678113022,6.15203959875799,14.9389841371471,"Trichomonas"
"17","Acrocephalus melanopogon","breeding",9.88105511217537,10.0217834166452,2234.85770191189,6.75073166547375,14.2277219338061,"Trichomonas"
"18","Acrocephalus melanopogon","non-breeding",8.70220263766799,8.84600815464828,3547.24927001396,6.9590445234261,12.9258547768677,"Trichomonas"
"19","Acrocephalus paludicola","breeding",9.0326586609083,9.02381467451893,451.190733725947,8.17274361445592,9.52787770770566,"Trichomonas"
"20","Acrocephalus palustris","breeding",27.3433764130832,27.1176386448796,65922.9795457024,18.8680307724011,33.8992942568735,"Trichomonas"
"21","Acrocephalus schoenobaenus","breeding",8.67858377943922,8.77587691032175,25713.3193472427,5.33570284134651,14.993018650023,"Trichomonas"
