"","species","season","median","mean","sum","min","max","pathogen"
"1","Acanthis flammea","breeding",26.9981360265531,28.0385207728275,36618.3081293128,13.7976715908897,58.8514752786569,"Usutu virus"
"2","Accipiter badius","breeding",11.5129887470398,11.771153873989,82.3980771179228,5.40713265781566,18.5275658573124,"Usutu virus"
"3","Accipiter badius","non-breeding",11.710638498866,12.9107863377561,154.929436053074,7.90689320238663,18.5275658573124,"Usutu virus"
"4","Accipiter brevipes","breeding",12.4312451174114,13.2936142270376,4347.0118522413,4.31967021170614,32.3429213788188,"Usutu virus"
"5","Accipiter gentilis","breeding",23.4188689361626,23.9985696243609,77563.3770259344,3.85017959960807,63.1945904506455,"Usutu virus"
"6","Accipiter gentilis","non-breeding",24.0312125274542,24.3363447615276,99754.6771775015,3.05039341593587,63.1945904506455,"Usutu virus"
"7","Accipiter nisus","breeding",21.3383533487147,21.8623334544121,79076.0601046085,3.3764945108771,61.281668809299,"Usutu virus"
"8","Accipiter nisus","non-breeding",19.2763774048838,19.6568153372182,75482.1708949179,2.65798610672202,61.281668809299,"Usutu virus"
"9","Acridotheres cristatellus","breeding",9.99604541267099,9.99604541267099,19.992090825342,9.72598257669095,10.266108248651,"Usutu virus"
"10","Acridotheres cristatellus","non-breeding",10.0389176636124,9.92376194508408,49.6188097254204,8.98875760627199,10.599043630194,"Usutu virus"
"11","Acridotheres tristis","breeding",12.4803215149057,11.8548544052615,130.403398457876,4.10138641319287,15.423278839215,"Usutu virus"
"12","Acridotheres tristis","non-breeding",26.3666506648543,27.4753203735021,109.901281494008,24.0391414608684,33.1288387034313,"Usutu virus"
"13","Acrocephalus agricola","breeding",10.9226021591616,10.6995475522911,3306.16019365795,2.48273192751841,25.1354179287873,"Usutu virus"
"14","Acrocephalus arundinaceus","breeding",14.3557623948208,14.4294064316712,36838.2746200565,1.98705320333334,45.356291601681,"Usutu virus"
