"","species","season","median","mean","sum","min","max","pathogen"
"1","Acanthis flammea","breeding",16.5664499716449,16.9603562414707,22150.2252513607,6.19495797681463,39.1743886925124,"West Nile virus"
"2","Accipiter badius","breeding",8.68122751529541,11.5286407923065,80.7004855461452,5.64295871277709,20.4632330658129,"West Nile virus"
"3","Accipiter badius","non-breeding",12.245752496248,11.5364938236292,138.43792588355,5.64295871277709,16.6161410802296,"West Nile virus"
"4","Accipiter brevipes","breeding",11.625844855226,12.3083699202416,4024.836963919,4.05607216386754,22.4153084605374,"West Nile virus"
"5","Accipiter gentilis","breeding",18.2177945628966,18.930691004819,61183.9933275751,6.09878581425446,45.4359776414251,"West Nile virus"
"6","Accipiter gentilis","non-breeding",18.8031433559644,19.8882556797429,81521.960031266,5.94557366892878,42.42174491569,"West Nile virus"
"7","Accipiter nisus","breeding",15.8579128451589,16.4072472871677,59345.0134376856,5.2275916052033,34.454584381217,"West Nile virus"
"8","Accipiter nisus","non-breeding",14.5603780235723,14.642588193824,56227.5386642843,4.79383497920712,30.0890244780168,"West Nile virus"
"9","Acridotheres cristatellus","breeding",5.14774593841306,5.14774593841306,10.2954918768261,5.12133757585889,5.17415430096723,"West Nile virus"
"10","Acridotheres cristatellus","non-breeding",5.17415430096723,5.31060724358364,26.5530362179182,5.12133757585889,5.62187862313317,"West Nile virus"
"11","Acridotheres tristis","breeding",7.83185019931367,8.48123025007196,93.2935327507916,6.62937485967463,13.7006011679709,"West Nile virus"
"12","Acridotheres tristis","non-breeding",7.18697380992255,7.2423797134841,28.9695188539364,6.63417818938893,7.96139304470238,"West Nile virus"
"13","Acrocephalus agricola","breeding",6.89981505149941,7.05877071262463,2181.16015020101,3.57299299699274,11.8974852747863,"West Nile virus"
"14","Acrocephalus arundinaceus","breeding",5.83113958199243,5.86702129584295,14978.5053682871,1.62664795412082,12.5108112590738,"West Nile virus"
"15","Acrocephalus dumetorum","breeding",8.55766872560621,8.57831093712974,11906.6955807361,3.14658407580719,17.1877294844175,"West Nile virus"
"16","Acrocephalus dumetorum","non-breeding",6.32600531618511,6.69846231868677,11849.5798417569,1.66722266360006,13.3991644934377,"West Nile virus"
"17","Acrocephalus melanopogon","breeding",4.47484749674638,4.54298329487726,1013.08527475763,1.42664724065385,9.69140727042824,"West Nile virus"
"18","Acrocephalus melanopogon","non-breeding",2.66979919253116,2.80447134715141,1124.59301020772,1.34699150789103,9.11043590942186,"West Nile virus"
"19","Acrocephalus paludicola","breeding",6.37927350525747,6.29202076657672,314.601038328836,5.36633229979325,7.00896183080919,"West Nile virus"
"20","Acrocephalus palustris","breeding",10.474041315338,10.6861043023873,25977.9195591035,2.99192272176653,18.2115905492636,"West Nile virus"
"21","Acrocephalus schoenobaenus","breeding",6.79291916941313,7.43751045258108,21791.9056260626,1.5906840761154,22.8848939993779,"West Nile virus"
"22","Acrocephalus scirpaceus","breeding",4.62456631040469,4.76654013611161,11801.9533770123,1.41207729261901,12.8354165260941,"West Nile virus"
"23","Actitis hypoleucos","breeding",7.70885566414605,8.22026444527153,25984.2559115033,1.80671904673781,23.2865961084296,"West Nile virus"
"24","Actitis hypoleucos","non-breeding",3.53253480077818,3.62674121790957,906.685304477392,1.65959680300692,5.32464699453372,"West Nile virus"
"25","Actitis macularius","breeding",4.03669049125489,4.03669049125489,4.03669049125489,4.03669049125489,4.03669049125489,"West Nile virus"
"26","Aegithalos caudatus","breeding",11.5132607987965,12.1018237061534,41424.542546163,3.62597858506501,30.5852952549086,"West Nile virus"
"27","Aegithalos caudatus","non-breeding",12.3783625437652,12.8139105530315,48820.9992070499,3.4111365891899,27.8503772176277,"West Nile virus"
"28","Aegolius funereus","breeding",18.0167032665865,19.0450960832036,26263.1874987378,6.25693406761841,34.1620961217427,"West Nile virus"
"29","Aegolius funereus","non-breeding",21.1242839219592,21.0549882427119,49563.4423233438,6.68414484264181,40.4181617521908,"West Nile virus"
"30","Aegypius monachus","breeding",14.9656982047359,14.8037892967163,1939.29639786983,8.24637331456265,25.1214019936084,"West Nile virus"
"31","Aegypius monachus","non-breeding",14.5518346811478,14.383548117042,7163.0069622869,6.29292413067509,25.1214019936084,"West Nile virus"
"32","Agapornis fischeri","breeding",5.50391878008609,5.50391878008609,5.50391878008609,5.50391878008609,5.50391878008609,"West Nile virus"
"33","Agapornis personatus","breeding",5.55056343372653,5.55056343372653,5.55056343372653,5.55056343372653,5.55056343372653,"West Nile virus"
"34","Aix galericulata","breeding",15.8150748914863,16.3156220669867,5008.89597456491,9.56573877021208,37.9224926393854,"West Nile virus"
"35","Aix sponsa","breeding",9.33870658834314,9.49103077602081,540.988754233186,5.9789086079896,14.4568109587494,"West Nile virus"
"36","Alaemon alaudipes","non-breeding",2.5719955178415,2.5719955178415,2.5719955178415,2.5719955178415,2.5719955178415,"West Nile virus"
"37","Alauda arvensis","breeding",10.497585219143,10.932967095325,40561.3079236558,3.11201403066736,25.0201801166462,"West Nile virus"
"38","Alauda arvensis","non-breeding",7.52637009173484,7.79291747828532,13567.4693296947,3.3418815728041,18.1628893652919,"West Nile virus"
"39","Alauda leucoptera","breeding",13.7079799360053,14.0045885460485,994.325786769442,11.0397792723945,16.336051338257,"West Nile virus"
"40","Alaudala rufescens","breeding",9.99262386874311,10.0288305344465,2697.7554137661,3.27258000514821,17.7057797343372,"West Nile virus"
"41","Alca torda","breeding",6.41382496017127,7.47147870281651,1509.23869796894,3.24683288936513,16.4980670807115,"West Nile virus"
"42","Alca torda","non-breeding",5.333575015383,5.57726959424214,3100.96189439863,2.42036786945475,12.8918387275785,"West Nile virus"
